# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.420
metadata : {}


# id : NWRW1800000036.420.1.1
문, 든든한 후보론 vs 안, 이기는 후보론

문,	문/NNP+,/SP
든든한	든든하/VA+ㄴ/ETM
후보론	후보/NNG+론/XSN
vs	vs/SL
안,	안/NNP+,/SP
이기는	이기/VV+는/ETM


# id : NWRW1800000036.420.2.1
[한겨레] 한겨레-리서치플러스 여론조사

[한겨레]	[/SS+한겨레/NNP+]/SS
한겨레-리서치플러스	한겨레/NNP+-/SP+리서치플러스/NNP
여론조사	여론/NNG+조사/NNG


# id : NWRW1800000036.420.3.1
‘야권대표 안정감’ ‘본선 경쟁력’ 맞세워

‘야권대표	‘/SS+야권/NNG+대표/NNG
안정감’	안정감/NNG+’/SS
‘본선	‘/SS+본선/NNG
경쟁력’	경쟁력/NNG+’/SS
맞세워	맞세우/VV+어/EF


# id : NWRW1800000036.420.4.1
문재인 민주통합당 대통령 후보와 안철수 후보의 단일화 방식 협상이 13일 시작된 가운데 두 후보가 각각 ‘든든한 후보론’과 ‘이기는 후보론’을 내세우고 있다.

문재인	문재인/NNP
민주통합당	민주통합당/NNP
대통령	대통령/NNG
후보와	후보/NNG+와/JC
안철수	안철수/NNP
후보의	후보/NNG+의/JKG
단일화	단일/NNG+화/XSN
방식	방식/NNG
협상이	협상/NNG+이/JKS
13일	13/SN+일/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
가운데	가운데/NNG
두	두/MMN
후보가	후보/NNG+가/JKS
각각	각각/MAG
‘든든한	‘/SS+든든하/VA+ㄴ/ETM
후보론’과	후보/NNG+론/XSN+’/SS+과/JC
‘이기는	‘/SS+이기/VV+는/ETM
후보론’을	후보/NNG+론/XSN+’/SS+을/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.420.5.1
안 후보는 서울 여의도에서 열린 중소기업중앙회 초청 간담회에서 “단일화에 대해서는 분명한 원칙을 가지고 있다.

안	안/NNP
후보는	후보/NNG+는/JX
서울	서울/NNP
여의도에서	여의도/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
중소기업중앙회	중소기업/NNG+중앙회/NNG
초청	초청/NNG
간담회에서	간담회/NNG+에서/JKB
“단일화에	“/SS+단일/NNG+화/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
분명한	분명/MAG+하/XSA+ㄴ/ETM
원칙을	원칙/NNG+을/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.420.5.2
국민이 이기는 단일화가 가장 중요하다”라고 말했다.

국민이	국민/NNG+이/JKS
이기는	이기/VV+는/ETM
단일화가	단일/NNG+화/XSN+가/JKS
가장	가장/MAG
중요하다”라고	중요/NNG+하/XSA+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.420.5.3
이어 “박근혜 새누리당 후보를 이길 수 있는 단일화를 이뤄서 기득권을 가진 사람들이 우선이 아니라 서민과 중소기업인, 국민의 우선순위에 맞추는 정치로 돌아가야 한다.

이어	이어/MAG
“박근혜	“/SS+박근혜/NNP
새누리당	새누리당/NNP
후보를	후보/NNG+를/JKO
이길	이기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
단일화를	단일/NNG+화/XSN+를/JKO
이뤄서	이루/VV+어서/EC
기득권을	기득/NNG+권/XSN+을/JKO
가진	가지/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
우선이	우선/NNG+이/JKC
아니라	아니/VCN+라/EC
서민과	서민/NNG+과/JC
중소기업인,	중소기업인/NNG+,/SP
국민의	국민/NNG+의/JKG
우선순위에	우선순위/NNG+에/JKB
맞추는	맞추/VV+는/ETM
정치로	정치/NNG+로/JKB
돌아가야	돌아가/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.420.5.4
국민이 이기는, 상식이 이기는, 미래가 이기는 단일화가 돼야 한다는 믿음을 가지고 최선을 다하겠다”고 말했다.

국민이	국민/NNG+이/JKS
이기는,	이기/VV+는/ETM+,/SP
상식이	상식/NNG+이/JKS
미래가	미래/NNG+가/JKS
이기는	이기/VV+는/ETM
단일화가	단일/NNG+화/XSN+가/JKC
돼야	되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
믿음을	믿음/NNG+을/JKO
가지고	가지/VV+고/EC
최선을	최선/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.420.5.5
전날 부산대 강연에 이어 이른바 ‘이기는 후보론’으로 본선 경쟁력을 강조한 것이다.

전날	전날/NNG
부산대	부산대/NNP
강연에	강연/NNG+에/JKB
이어	잇/VV+어/EC
이른바	이른바/MAG
‘이기는	‘/SS+이기/VV+는/ETM
후보론’으로	후보/NNG+론/XSN+’/SS+으로/JKB
본선	본선/NNG
경쟁력을	경쟁력/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.420.6.1
문재인 후보 쪽에서는 든든한 후보론을 내세우고 있다.

문재인	문재인/NNP
후보	후보/NNG
쪽에서는	쪽/NNB+에서/JKB+는/JX
든든한	든든하/VA+ㄴ/ETM
후보론을	후보/NNG+론/XSN+을/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.420.6.2
문재인 캠프 관계자는 “문재인 후보는 ‘통 큰 맏형’ 이미지, 든든한 후보론으로 가고 있다.

문재인	문재인/NNP
캠프	캠프/NNG
관계자는	관계자/NNG+는/JX
“문재인	“/SS+문재인/NNP
후보는	후보/NNG+는/JX
‘통	‘/SS+통/NNG
큰	크/VA+ㄴ/ETM
맏형’	맏/XPN+형/NNG+’/SS
이미지,	이미지/NNG+,/SP
든든한	든든하/VA+ㄴ/ETM
후보론으로	후보/NNG+론/XSN+으로/JKB
가고	가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.420.6.3
지지자들은 문재인 후보가 그간 보여온 꾸준하고 믿음직스런 행보를 통해 ‘정권교체도 중요하지만, 대통령이 된 이후 대통령의 역할을 잘할 수 있는 인물을 뽑아야 한다’는 생각을 하는 것 같다”고 말했다.

지지자들은	지지자/NNG+들/XSN+은/JX
문재인	문재인/NNP
후보가	후보/NNG+가/JKS
그간	그/NP+간/XSN
보여온	보이/VV+어/EC+오/VX+ㄴ/ETM
꾸준하고	꾸준하/VA+고/EC
믿음직스런	믿음직스럽/VA+ㄴ/ETM
행보를	행보/NNG+를/JKO
통해	통하/VV+아/EC
‘정권교체도	‘/SS+정권/NNG+교체/NNG+도/JX
중요하지만,	중요/NNG+하/XSA+지만/EC+,/SP
대통령이	대통령/NNG+이/JKC
된	되/VV+ㄴ/ETM
이후	이후/NNG
대통령의	대통령/NNG+의/JKG
역할을	역할/NNG+을/JKO
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인물을	인물/NNG+을/JKO
뽑아야	뽑/VV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
생각을	생각/NNG+을/JKO
하는	하/VV+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.420.6.4
문 후보는 “많이 담을 수 있는 그릇은 큰 그릇 아닌 빈 그릇”이라는 말로 안 후보에 대한 자신의 포용력을 에둘러 강조하고 있다.

문	문/NNP
후보는	후보/NNG+는/JX
“많이	“/SS+많이/MAG
담을	담/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
그릇은	그릇/NNG+은/JX
큰	크/VA+ㄴ/ETM
그릇	그릇/NNG
아닌	아니/VCN+ㄴ/ETM
빈	비/VV+ㄴ/ETM
그릇”이라는	그릇/NNG+”/SS+이/VCP+라는/ETM
말로	말/NNG+로/JKB
안	안/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자신의	자신/NNG+의/JKG
포용력을	포용력/NNG+을/JKO
에둘러	에두르/VV+어/EC
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


