# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.26
metadata : {}


# id : NWRW1800000022.26.1.1
[클래식 ABC] "이스라엘이여 반성하라"

[클래식	[/SS+클래식/NNG
ABC]	ABC/SL+]/SS
"이스라엘이여	"/SS+이스라엘/NNP+이여/JKV
반성하라"	반성/NNG+하/XSV+라/EF+"/SS


# id : NWRW1800000022.26.2.1
지휘자이자 명 피아니스트 다니엘 바렌보임(Barenboim)이 또다시 발언대에 올랐습니다.

지휘자이자	지휘자/NNG+이/VCP+자/EC
명	명/NA
피아니스트	피아니스트/NNG
다니엘	다니엘/NNP
바렌보임(Barenboim)이	바렌보임/NNP+(/SS+Barenboim/SL+)/SS+이/JKS
또다시	또다시/MAG
발언대에	발언대/NNG+에/JKB
올랐습니다.	오르/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.26.2.2
매년 새해 아침을 요한 슈트라우스 부자(父子)의 왈츠로 여는 빈 필하모닉의 신년 음악회 자리입니다.

매년	매년/MAG
새해	새해/NNG
아침을	아침/NNG+을/JKO
요한	요한/NNP
슈트라우스	슈트라우스/NNP
부자(父子)의	부자/NNG+(/SS+父子/SH+)/SS+의/JKG
왈츠로	왈츠/NNG+로/JKB
여는	열/VV+는/ETM
빈	빈/NNP
필하모닉의	필하모닉/NNP+의/JKG
신년	신년/NNG
음악회	음악회/NNG
자리입니다.	자리/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.26.2.3
69년 전통의 이 음악회에서 올해 지휘자로 초청받은 그는 요한 슈트라우스 1·2세의 경쾌하고 발랄한 왈츠와 폴카 등을 선사한 뒤, 앙코르에서 신년 인사를 보냅니다.

69년	69/SN+년/NNB
전통의	전통/NNG+의/JKG
이	이/MMD
음악회에서	음악회/NNG+에서/JKB
올해	올해/NNG
지휘자로	지휘자/NNG+로/JKB
초청받은	초청/NNG+받/XSV+은/ETM
그는	그/NP+는/JX
요한	요한/NNP
슈트라우스	슈트라우스/NNP
1·2세의	1/SN+·/SP+2/SN+세/NNB+의/JKG
경쾌하고	경쾌하/VA+고/EC
발랄한	발랄하/VA+ㄴ/ETM
왈츠와	왈츠/NNG+와/JC
폴카	폴카/NNG
등을	등/NNB+을/JKO
선사한	선사/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
앙코르에서	앙코르/NNG+에서/JKB
신년	신년/NNG
인사를	인사/NNG+를/JKO
보냅니다.	보내/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.26.2.4
인사말은 짧지만 진지하기 그지없습니다.

인사말은	인사말/NNG+은/JX
짧지만	짧/VA+지만/EC
진지하기	진지하/VA+기/ETN
그지없습니다.	그지없/VA+습니다/EF+./SF


# id : NWRW1800000022.26.3.1
"우리는 2009년이 세계 평화와 중동에서 인류 정의가 실현되는 해이기를 기원합니다."

"우리는	"/SS+우리/NP+는/JX
2009년이	2009/SN+년/NNB+이/JKS
세계	세계/NNG
평화와	평화/NNG+와/JC
중동에서	중동/NNP+에서/JKB
인류	인류/NNG
정의가	정의/NNG+가/JKS
실현되는	실현/NNG+되/XSV+는/ETM
해이기를	해/NNG+이/VCP+기/ETN+를/JKO
기원합니다."	기원/NNG+하/XSV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000022.26.4.1
최근 이 공연 영상(DVD)과 음반이 동시 출시(도이치그라모폰)됐습니다.

최근	최근/MAG
이	이/MMD
공연	공연/NNG
영상(DVD)과	영상/NNG+(/SS+DVD/SL+)/SS+과/JC
음반이	음반/NNG+이/JKS
동시	동시/NNG
출시(도이치그라모폰)됐습니다.	출시/NNG+(/SS+도이치그라모폰/NNP+)/SS+되/XSV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.26.4.2
아르헨티나에서 태어난 러시아계(系) 유대인이라는 복잡한 가계를 지니고 있는 바렌보임은 이스라엘과 팔레스타인의 공존에 관심을 기울이고 있는 음악가입니다.

아르헨티나에서	아르헨티나/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
러시아계(系)	러시아/NNP+계/XSN+(/SS+系/SH+)/SS
유대인이라는	유대인/NNP+이/VCP+라는/ETM
복잡한	복잡하/VA+ㄴ/ETM
가계를	가계/NNG+를/JKO
지니고	지니/VV+고/EC
있는	있/VX+는/ETM
바렌보임은	바렌보임/NNP+은/JX
이스라엘과	이스라엘/NNP+과/JC
팔레스타인의	팔레스타인/NNP+의/JKG
공존에	공존/NNG+에/JKB
관심을	관심/NNG+을/JKO
기울이고	기울이/VV+고/EC
음악가입니다.	음악가/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.26.4.3
1999년 이스라엘과 아랍 출신의 청년 음악가들이 절반씩 참여하는 '서동시집 오케스트라(West-eastern Divan Orchestra)'를 창단해서 10년째 이끌고 있지요.

1999년	1999/SN+년/NNB
이스라엘과	이스라엘/NNP+과/JC
아랍	아랍/NNP
출신의	출신/NNG+의/JKG
청년	청년/NNG
음악가들이	음악가/NNG+들/XSN+이/JKS
절반씩	절반/NNG+씩/XSN
참여하는	참여/NNG+하/XSV+는/ETM
'서동시집	'/SS+서동시집/NNP
오케스트라(West-eastern	오케스트라/NNG+(/SS+West/SL+-/SO+eastern/SL
Divan	Divan/SL
Orchestra)'를	Orchestra/SL+)/SS+'/SS+를/JKO
창단해서	창단/NNG+하/XSV+아서/EC
10년째	10/SN+년/NNB+째/XSN
이끌고	이끌/VV+고/EC
있지요.	있/VX+지요/EF+./SF


# id : NWRW1800000022.26.4.4
