# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.258
metadata : {}


# id : NWRW1800000030.258.1.1
[태평로] 善意에 침을 뱉는 사람들

[태평로]	[/SS+태평로/NNP+]/SS
善意에	善意/SH+에/JKB
침을	침/NNG+을/JKO
뱉는	뱉/VV+는/ETM
사람들	사람/NNG+들/XSN


# id : NWRW1800000030.258.2.1
외교통상부는 얼마 전, 리비아에서 탈출한 교민 60명에게 항공료 납부를 독촉하는 내용증명을 보냈다.

외교통상부는	외교/NNG+통상부/NNG+는/JX
얼마	얼마/NNG
전,	전/NNG+,/SP
리비아에서	리비아/NNP+에서/JKB
탈출한	탈출/NNG+하/XSV+ㄴ/ETM
교민	교민/NNG
60명에게	60/SN+명/NNB+에게/JKB
항공료	항공료/NNG
납부를	납부/NNG+를/JKO
독촉하는	독촉/NNG+하/XSV+는/ETM
내용증명을	내용/NNG+증명/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.258.2.2
리비아에서 타고 온 전세기의 1인당 항공료 750달러를 내라는 것이다.

리비아에서	리비아/NNP+에서/JKB
타고	타/VV+고/EC
온	오/VV+ㄴ/ETM
전세기의	전세기/NNG+의/JKG
1인당	1/SN+인/NNG+당/XSN
항공료	항공료/NNG
750달러를	750/SN+달러/NNB+를/JKO
내라는	내/VV+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.2.3
계속 안 내는 사람에 대해서는 정부가 소송을 할 계획이다.

계속	계속/MAG
안	안/MAG
내는	내/VV+는/ETM
사람에	사람/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
정부가	정부/NNG+가/JKS
소송을	소송/NNG+을/JKO
할	하/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.2.4
지난 2월 리비아 시위가 격화되자 정부는 현지 거주 교민 및 건설사들에 철수를 권고했고, 희망자를 전세기에 태워 데리고 들어왔다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
리비아	리비아/NNP
시위가	시위/NNG+가/JKS
격화되자	격화/NNG+되/XSV+자/EC
정부는	정부/NNG+는/JX
현지	현지/NNG
거주	거주/NNG
교민	교민/NNG
및	및/MAG
건설사들에	건설사/NNG+들/XSN+에/JKB
철수를	철수/NNG+를/JKO
권고했고,	권고/NNG+하/XSV+았/EP+고/EC+,/SP
희망자를	희망자/NNG+를/JKO
전세기에	전세기/NNG+에/JKB
태워	태우/VV+어/EC
데리고	데리/VV+고/EC
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.258.2.5
전세기로 돌아온 교민은 약 500명으로, 이 중 일부가 '돈이 없다' '왜 우리가 내느냐'면서 납부를 하지 않고 있다는 것이다.

전세기로	전세기/NNG+로/JKB
돌아온	돌아오/VV+ㄴ/ETM
교민은	교민/NNG+은/JX
약	약/MMA
500명으로,	500/SN+명/NNB+으로/JKB+,/SP
이	이/NP
