# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.76
metadata : {}


# id : NWRW1800000044.76.1.1
“카타르 가사노동자 성폭행 신고하면 외려 성범죄 처벌”

“카타르	“/SS+카타르/NNP
가사노동자	가사/NNG+노동자/NNG
성폭행	성폭행/NNG
신고하면	신고/NNG+하/XSV+면/EC
외려	외려/MAG
성범죄	성범죄/NNG
처벌”	처벌/NNG+”/SS


# id : NWRW1800000044.76.2.1
[한겨레] 앰네스티 오드리 국장 인터뷰

[한겨레]	[/SS+한겨레/NNP+]/SS
앰네스티	앰네스티/NNP
오드리	오드리/NNP
국장	국장/NNG
인터뷰	인터뷰/NNG


# id : NWRW1800000044.76.3.1
외국인노동자 인권유린 심각

외국인노동자	외국인/NNG+노동자/NNG
인권유린	인권/NNG+유린/NNG
심각	심각/XR


# id : NWRW1800000044.76.4.1
가정 95% 가사도우미 고용

가정	가정/NNG
95%	95/SN+%/SW
가사도우미	가사/NNG+도우미/NNG
고용	고용/NNG


# id : NWRW1800000044.76.5.1
주로 필리핀 등 아시아 여성

주로	주로/MAG
필리핀	필리핀/NNP
등	등/NNB
아시아	아시아/NNP
여성	여성/NNG


# id : NWRW1800000044.76.6.1
고용주 허가없이 출국 금지

고용주	고용주/NNG
허가없이	허가/NNG+없이/MAG
출국	출국/NNG
금지	금지/NNG


# id : NWRW1800000044.76.7.1
“외국인 가사도우미 상당수가 일주일 내내 휴일도 없이 새벽 5시부터 자정을 넘기도록 일을 합니다.

“외국인	“/SS+외국인/NNG
가사도우미	가사/NNG+도우미/NNG
상당수가	상당수/NNG+가/JKS
일주일	일주일/NNG
내내	내내/MAG
휴일도	휴일/NNG+도/JX
없이	없이/MAG
새벽	새벽/NNG
5시부터	5/SN+시/NNB+부터/JX
자정을	자정/NNG+을/JKO
넘기도록	넘기/VV+도록/EC
일을	일/NNG+을/JKO
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000044.76.7.2
남성 고용주한테 성폭행을 당해도 경찰에 신고를 했다가는 오히려 혼외 성관계를 처벌하는 법에 걸려 감옥살이를 하기도 합니다.”

남성	남성/NNG
고용주한테	고용주/NNG+한테/JKB
성폭행을	성폭행/NNG+을/JKO
당해도	당하/VV+아도/EC
경찰에	경찰/NNG+에/JKB
신고를	신고/NNG+를/JKO
했다가는	하/VV+았/EP+다가/EC+는/JX
오히려	오히려/MAG
혼외	혼외/NNG
성관계를	성관계/NNG+를/JKO
처벌하는	처벌/NNG+하/XSV+는/ETM
법에	법/NNG+에/JKB
걸려	걸리/VV+어/EC
감옥살이를	감옥살이/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
합니다.”	하/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000044.76.8.1
23일 국제 인권단체인 앰네스티인터내셔널이 ‘잠잘 때만 쉴 수 있어요: 카타르의 외국인 가사노동자 착취’ 보고서를 발표하기에 앞서, 오드리 고크란(사진) 앰네스티인터내셔널 국제이슈 국장이 지난 15일 <한겨레>를 찾아 카타르 여성 이주노동자의 참혹한 현실을 전했다.

23일	23/SN+일/NNB
국제	국제/NNG
인권단체인	인권/NNG+단체/NNG+이/VCP+ㄴ/ETM
앰네스티인터내셔널이	앰네스티인터내셔널/NNP+이/JKS
‘잠잘	‘/SS+잠자/VV+ㄹ/ETM
때만	때/NNG+만/JX
쉴	쉬/VV+ㄹ/ETM
수	수/NNB
있어요:	있/VA+어요/EF+:/SP
카타르의	카타르/NNP+의/JKG
외국인	외국인/NNG
가사노동자	가사/NNG+노동자/NNG
착취’	착취/NNG+’/SS
보고서를	보고서/NNG+를/JKO
발표하기에	발표/NNG+하/XSV+기에/EC
앞서,	앞서/VV+어/EC+,/SP
오드리	오드리/NNP
고크란(사진)	고크란/NNP+(/SS+사진/NNG+)/SS
앰네스티인터내셔널	앰네스티인터내셔널/NNP
국제이슈	국제/NNG+이슈/NNG
국장이	국장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
<한겨레>를	</SS+한겨레/NNP+>/SS+를/JKO
찾아	찾/VV+아/EC
카타르	카타르/NNP
여성	여성/NNG
이주노동자의	이주/NNG+노동자/NNG+의/JKG
참혹한	참혹/NNG+하/XSA+ㄴ/ETM
현실을	현실/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.76.8.2
카타르는 ‘카팔라 시스템’(스폰서 제도)을 통해 비숙련 이주노동자의 체류 여부를 결정하는 전권을 고용주에게 준다.

카타르는	카타르/NNP+는/JX
‘카팔라	‘/SS+카팔라/NNG
시스템’(스폰서	시스템/NNG+’/SS+(/SS+스폰서/NNG
제도)을	제도/NNG+)/SS+을/JKO
통해	통하/VV+아/EC
비숙련	비/XPN+숙련/NNG
이주노동자의	이주/NNG+노동자/NNG+의/JKG
체류	체류/NNG
여부를	여부/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
전권을	전권/NNG+을/JKO
고용주에게	고용주/NNG+에게/JKB
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.76.8.3
2004년에 근로시간이나 의무휴일 등을 규정하는 노동법 조항이 비로소 마련됐지만, 가사도우미는 이 법의 적용과 보호 대상에서 제외된다.

2004년에	2004/SN+년/NNB+에/JKB
근로시간이나	근로/NNG+시간/NNG+이나/JC
의무휴일	의무/NNG+휴일/NNG
등을	등/NNB+을/JKO
규정하는	규정/NNG+하/XSV+는/ETM
노동법	노동법/NNG
조항이	조항/NNG+이/JKS
비로소	비로소/MAG
마련됐지만,	마련/NNG+되/XSV+었/EP+지만/EC+,/SP
가사도우미는	가사/NNG+도우미/NNG+는/JX
이	이/MMD
법의	법/NNG+의/JKG
적용과	적용/NNG+과/JC
보호	보호/NNG
대상에서	대상/NNG+에서/JKB
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.76.9.1
카타르는 190여만명의 인구 중 국적자 25만여명을 빼면 대부분 이주노동자로 이뤄진 나라다.

카타르는	카타르/NNP+는/JX
190여만명의	190/SN+여/XSN+만/NR+명/NNB+의/JKG
인구	인구/NNG
중	중/NNB
국적자	국적자/NNG
25만여명을	25/SN+만/NR+여/XSN+명/NNB+을/JKO
빼면	빼/VV+면/EC
대부분	대/XPN+부분/NNG
이주노동자로	이주/NNG+노동자/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
나라다.	나라/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.76.9.2
이러다 보니 카타르 가정의 95%가 가사도우미를 고용하고, 절반 넘는 가정이 둘 이상의 가사도우미를 둔다.

이러다	이러/VV+다/EC
보니	보/VX+니/EC
카타르	카타르/NNP
가정의	가정/NNG+의/JKG
95%가	95/SN+%/SW+가/JKS
가사도우미를	가사/NNG+도우미/NNG+를/JKO
고용하고,	고용/NNG+하/XSV+고/EC+,/SP
절반	절반/NNG
넘는	넘/VV+는/ETM
가정이	가정/NNG+이/JKS
둘	둘/NR
이상의	이상/NNG+의/JKG
둔다.	두/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.76.9.3
현재 외국인 가사도우미는 8만4000여명에 이른다.

현재	현재/MAG
외국인	외국인/NNG
가사도우미는	가사/NNG+도우미/NNG+는/JX
8만4000여명에	8/SN+만/NR+4000/SN+여/XSN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.76.9.4
이들 상당수는 계약조건 불이행, 임금 체불, 욕설과 폭력, 성적 학대 등에 시달리고 있다.

이들	이/NP+들/XSN
상당수는	상당수/NNG+는/JX
계약조건	계약/NNG+조건/NNG
불이행,	불/XPN+이행/NNG+,/SP
임금	임금/NNG
체불,	체불/NNG+,/SP
욕설과	욕설/NNG+과/JC
폭력,	폭력/NNG+,/SP
성적	성/NNG+적/XSN
학대	학대/NNG
등에	등/NNB+에/JKB
시달리고	시달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.76.9.5
하지만 법적 보호장치도 없고, 가사노동자 특성상 집집마다 고립돼 고용된 탓에 인권유린 실태가 잘 드러나지 않는다.

하지만	하지만/MAJ
법적	법/NNG+적/XSN
보호장치도	보호/NNG+장치/NNG+도/JX
없고,	없/VA+고/EC+,/SP
가사노동자	가사/NNG+노동자/NNG
특성상	특성/NNG+상/XSN
집집마다	집집/NNG+마다/JX
고립돼	고립/NNG+되/XSV+어/EC
고용된	고용/NNG+되/XSV+ㄴ/ETM
탓에	탓/NNG+에/JKB
인권유린	인권/NNG+유린/NNG
실태가	실태/NNG+가/JKS
잘	잘/MAG
드러나지	드러나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000044.76.10.1
카타르를 수차례 방문했던 고크란 국장은 “가사도우미는 카타르의 열악한 노동권 보호에 여성 인권의 취약성까지 더해져 가혹한 어려움을 겪고 있다”며 “조사 과정에서 만난 필리핀 국적의 여성 가사도우미는 고용주의 성적 학대를 피하려고 창문으로 뛰어내렸다가 다리와 척추가 부러진 상태에서 성폭행을 당했지만, 현지 검찰은 ‘증거 불충분’으로 기소하지 않았다”고 전했다.

카타르를	카타르/NNP+를/JKO
수차례	수차례/NNG
방문했던	방문/NNG+하/XSV+았/EP+던/ETM
고크란	고크란/NNP
국장은	국장/NNG+은/JX
“가사도우미는	“/SS+가사/NNG+도우미/NNG+는/JX
카타르의	카타르/NNP+의/JKG
열악한	열악하/VA+ㄴ/ETM
노동권	노동/NNG+권/XSN
보호에	보호/NNG+에/JKB
여성	여성/NNG
인권의	인권/NNG+의/JKG
취약성까지	취약/NNG+성/XSN+까지/JX
더해져	더/MAG+하/XSV+아/EC+지/VX+어/EC
가혹한	가혹/NNG+하/XSA+ㄴ/ETM
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“조사	“/SS+조사/NNG
과정에서	과정/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
필리핀	필리핀/NNP
국적의	국적/NNG+의/JKG
가사도우미는	가사/NNG+도우미/NNG+는/JX
고용주의	고용주/NNG+의/JKG
성적	성/NNG+적/XSN
학대를	학대/NNG+를/JKO
피하려고	피하/VV+려고/EC
창문으로	창문/NNG+으로/JKB
뛰어내렸다가	뛰어내리/VV+었/EP+다가/EC
다리와	다리/NNG+와/JC
척추가	척추/NNG+가/JKS
부러진	부러지/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
성폭행을	성폭행/NNG+을/JKO
당했지만,	당하/VV+았/EP+지만/EC+,/SP
현지	현지/NNG
검찰은	검찰/NNG+은/JX
‘증거	‘/SS+증거/NNG
불충분’으로	불충분/NNG+’/SS+으로/JKB
기소하지	기소/NNG+하/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.76.11.1
가사도우미 상당수는 입국과 함께 고용주에게 여권을 빼앗긴다.

가사도우미	가사/NNG+도우미/NNG
상당수는	상당수/NNG+는/JX
입국과	입국/NNG+과/JKB
함께	함께/MAG
고용주에게	고용주/NNG+에게/JKB
여권을	여권/NNG+을/JKO
빼앗긴다.	빼앗기/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.76.11.2
허가 없이 외출하면 자칫 불법 도주자로 몰리게 된다.

허가	허가/NNG
없이	없이/MAG
외출하면	외출/NNG+하/XSV+면/EC
자칫	자칫/MAG
불법	불법/NNG
도주자로	도주자/NNG+로/JKB
몰리게	몰리/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.76.11.3
이러다 보니 욕설과 폭력 등 가혹행위를 당해도 고발할 길을 찾기 어렵다.

이러다	이러/VV+다/EC
보니	보/VX+니/EC
욕설과	욕설/NNG+과/JC
폭력	폭력/NNG
등	등/NNB
가혹행위를	가혹/NNG+행위/NNG+를/JKO
당해도	당하/VV+아도/EC
고발할	고발/NNG+하/XSV+ㄹ/ETM
길을	길/NNG+을/JKO
찾기	찾/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000044.76.11.4
이주노동자는 노조 결성 자체가 불법이고, 고용주의 성적 학대를 고발했다가는 오히려 ‘혼외 성관계죄’로 1년가량 감옥에 가기 십상이다.

이주노동자는	이주/NNG+노동자/NNG+는/JX
노조	노조/NNG
결성	결성/NNG
자체가	자체/NNG+가/JKS
불법이고,	불법/NNG+이/VCP+고/EC+,/SP
고용주의	고용주/NNG+의/JKG
성적	성/NNG+적/XSN
학대를	학대/NNG+를/JKO
고발했다가는	고발/NNG+하/XSV+았/EP+다가/EC+는/JX
오히려	오히려/MAG
‘혼외	‘/SS+혼외/NNG
성관계죄’로	성관계/NNG+죄/NNG+’/SS+로/JKB
1년가량	1/SN+년/NNB+가량/XSN
감옥에	감옥/NNG+에/JKB
가기	가/VV+기/ETN
십상이다.	십상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.76.11.5
지난해 3월 현재 카타르 수도 도하의 여성 교도소 수감자의 70%가 이주노동자인 가사도우미들이다.

지난해	지난해/NNG
3월	3/SN+월/NNB
현재	현재/MAG
카타르	카타르/NNP
수도	수도/NNG
도하의	도하/NNP+의/JKG
여성	여성/NNG
교도소	교도소/NNG
수감자의	수감자/NNG+의/JKG
70%가	70/SN+%/SW+가/JKS
이주노동자인	이주/NNG+노동자/NNG+이/VCP+ㄴ/ETM
가사도우미들이다.	가사/NNG+도우미/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000044.76.12.1
결국 가사도우미는 가혹한 처우를 당할 경우 달아나서 체포돼 강제 송환되는 것 말고는 저항할 방법이 없다.

결국	결국/MAG
가사도우미는	가사/NNG+도우미/NNG+는/JX
가혹한	가혹/NNG+하/XSA+ㄴ/ETM
처우를	처우/NNG+를/JKO
당할	당하/VV+ㄹ/ETM
경우	경우/NNG
달아나서	달아나/VV+아서/EC
체포돼	체포/NNG+되/XSV+어/EC
강제	강제/NNG
송환되는	송환/NNG+되/XSV+는/ETM
것	것/NNB
말고는	말/VV+고/EC+는/JX
저항할	저항/NNG+하/XSV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.76.12.2
고크란 국장은 “가사도우미를 보호할 법적 장치를 우선 도입해야 할 것”이라며 “국제사회가 지속적으로 압박해 나가야 한다”고 말했다.

고크란	고크란/NNP
국장은	국장/NNG+은/JX
“가사도우미를	“/SS+가사/NNG+도우미/NNG+를/JKO
보호할	보호/NNG+하/XSV+ㄹ/ETM
법적	법/NNG+적/XSN
장치를	장치/NNG+를/JKO
우선	우선/MAG
도입해야	도입/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“국제사회가	“/SS+국제/NNG+사회/NNG+가/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
압박해	압박/NNG+하/XSV+아/EC
나가야	나가/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


