# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.136
metadata : {}


# id : NWRW1800000045.136.1.1
이승열 “비로소 가벼워졌다”

이승열	이승열/NNP
“비로소	“/SS+비로소/MAG
가벼워졌다”	가볍/VA+어/EC+지/VX+었/EP+다/EF+”/SS


# id : NWRW1800000045.136.2.1
미생 주제곡 ‘날아’ 부른 이승열, 홈리코딩으로 5집 ‘SYX’ 발매

미생	미생/NNP
주제곡	주제곡/NNG
‘날아’	‘/SS+날/VV+아/EF+’/SS
부른	부르/VV+ㄴ/ETM
이승열,	이승열/NNP+,/SP
홈리코딩으로	홈/NNG+리코딩/NNG+으로/JKB
5집	5/SN+집/NNB
‘SYX’	‘/SS+SYX/SL+’/SS
발매	발매/NNG


# id : NWRW1800000045.136.3.1
전쟁, 빈곤, 고난, 불평등….

전쟁,	전쟁/NNG+,/SP
빈곤,	빈곤/NNG+,/SP
고난,	고난/NNG+,/SP
불평등….	불/XPN+평등/NNG+…/SE+./SF


# id : NWRW1800000045.136.3.2
삶과 세계의 천형에 지쳐 연옥에 닿았을 때, 만약 신이 이런 목소리로 노래한다면 그를 용서할 수 있을지 모른다.

삶과	삶/NNG+과/JC
세계의	세계/NNG+의/JKG
천형에	천형/NNG+에/JKB
지쳐	지치/VV+어/EC
연옥에	연옥/NNG+에/JKB
닿았을	닿/VV+았/EP+을/ETM
때,	때/NNG+,/SP
만약	만약/MAG
신이	신/NNG+이/JKS
이런	이런/MMD
목소리로	목소리/NNG+로/JKB
노래한다면	노래/NNG+하/XSV+ㄴ다면/EC
그를	그/NP+를/JKO
용서할	용서/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.136.4.1
드라마 ‘미생’의 주제곡 ‘날아’의 목소리, 싱어송라이터 이승열(45).

드라마	드라마/NNG
‘미생’의	‘/SS+미생/NNP+’/SS+의/JKG
주제곡	주제곡/NNG
‘날아’의	‘/SS+날/VV+아/EF+’/SS+의/JKG
목소리,	목소리/NNG+,/SP
싱어송라이터	싱어송라이터/NNG
이승열(45).	이승열/NNP+(/SS+45/SN+)/SS+./SF


# id : NWRW1800000045.136.4.2
2008년 TV 음악 프로그램에서 그가 애절한 록으로 재해석한 원더걸스의 ‘노바디’는 귀여운 댄스그룹의 노랫말을 다시 읽어보게 만들었다.

2008년	2008/SN+년/NNB
TV	TV/SL
음악	음악/NNG
프로그램에서	프로그램/NNG+에서/JKB
그가	그/NP+가/JKS
애절한	애절하/VA+ㄴ/ETM
록으로	록/NNG+으로/JKB
재해석한	재/XPN+해석/NNG+하/XSV+ㄴ/ETM
원더걸스의	원더걸스/NNP+의/JKG
‘노바디’는	‘/SS+노바디/NNG+’/SS+는/JX
귀여운	귀엽/VA+ㄴ/ETM
댄스그룹의	댄스/NNG+그룹/NNG+의/JKG
노랫말을	노랫말/NNG+을/JKO
다시	다시/MAG
읽어보게	읽/VV+어/EC+보/VX+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.136.4.3
먹먹한 슬픔의 회청색 하늘을 가르는 날개처럼 이승열의 목소리는 강인하게 여리며 단단하게 떨린다.

먹먹한	먹먹하/VA+ㄴ/ETM
슬픔의	슬픔/NNG+의/JKG
회청색	회청색/NNG
하늘을	하늘/NNG+을/JKO
가르는	가르/VV+는/ETM
날개처럼	날개/NNG+처럼/JKB
이승열의	이승열/NNP+의/JKG
목소리는	목소리/NNG+는/JX
강인하게	강인하/VA+게/EC
여리며	여리/VA+며/EC
단단하게	단단하/VA+게/EC
떨린다.	떨리/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.136.5.1
1994년 모던 록 듀오 유앤미블루부터 2003년 이후 네 장의 솔로앨범까지 평단의 극찬을 놓친 적 없는 이승열이 2년 만의 신작, 5집 ‘SYX’를 냈다.

1994년	1994/SN+년/NNB
모던	모던/NNG
록	록/NNG
듀오	듀오/NNG
유앤미블루부터	유앤미블루/NNP+부터/JX
2003년	2003/SN+년/NNB
이후	이후/NNG
네	네/MMN
장의	장/NNB+의/JKG
솔로앨범까지	솔로앨범/NNG+까지/JX
평단의	평단/NNG+의/JKG
극찬을	극찬/NNG+을/JKO
놓친	놓치/VV+ㄴ/ETM
적	적/NNB
없는	없/VA+는/ETM
이승열이	이승열/NNP+이/JKS
2년	2/SN+년/NNB
만의	만/NNB+의/JKG
신작,	신작/NNG+,/SP
5집	5/SN+집/NNB
‘SYX’를	‘/SS+SYX/SL+’/SS+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.136.5.2
모험을 했다.

모험을	모험/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.136.5.3
전문 스튜디오에서 연주자들을 고용해 녹음하지 않았다.

전문	전문/NNG
스튜디오에서	스튜디오/NNG+에서/JKB
연주자들을	연주자/NNG+들/XSN+을/JKO
고용해	고용/NNG+하/XSV+아/EC
녹음하지	녹음/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.136.6.1
“악기 연주, 녹음, 믹스….

“악기	“/SS+악기/NNG
연주,	연주/NNG+,/SP
녹음,	녹음/NNG+,/SP
믹스….	믹스/NNG+…/SE+./SF


# id : NWRW1800000045.136.6.2
제작 공정의 90% 이상을 30m²쯤 되는 저희 집 방안에서 해결했어요.

제작	제작/NNG
공정의	공정/NNG+의/JKG
90%	90/SN+%/SW
이상을	이상/NNG+을/JKO
