# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.374
metadata : {}


# id : NWRW1800000049.374.1.1
[단독]롯데면세점이 미르재단에 준 28억 ‘승인관련 대가성’ 수사

[단독]롯데면세점이	[/SS+단독/NNG+]/SS+롯데면세점/NNP+이/JKS
미르재단에	미르재단/NNP+에/JKB
준	주/VV+ㄴ/ETM
28억	28/SN+억/NR
‘승인관련	‘/SS+승인/NNG+관련/NNG
대가성’	대가/NNG+성/XSN+’/SS
수사	수사/NNG


# id : NWRW1800000049.374.2.1
[최순실 게이트]檢, 뇌물죄 입증 전방위 수사

[최순실	[/SS+최순실/NNP
게이트]檢,	게이트/NNG+]/SS+檢/SH+,/SP
뇌물죄	뇌물죄/NNG
입증	입증/NNG
전방위	전방위/NNG
수사	수사/NNG


# id : NWRW1800000049.374.3.1
청와대를 겨눈 검찰의 칼날이 매서워졌다.

청와대를	청와대/NNP+를/JKO
겨눈	겨누/VV+ㄴ/ETM
검찰의	검찰/NNG+의/JKG
칼날이	칼날/NNG+이/JKS
매서워졌다.	매섭/VA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.374.3.2
최순실 씨(60·구속 기소) 등의 공소장에 대통령의 제3자 뇌물수수 혐의를 명시하지 않은 검찰은 수뢰까지도 밝혀내겠다는 기세로 가용할 수 있는 모든 수단을 동원하고 있다.

최순실	최순실/NNP
씨(60·구속	씨/NNB+(/SS+60/SN+·/SP+구속/NNG
기소)	기소/NNG+)/SS
등의	등/NNB+의/JKG
공소장에	공소장/NNG+에/JKB
대통령의	대통령/NNG+의/JKG
제3자	제3자/NNG
뇌물수수	뇌물/NNG+수수/NNG
혐의를	혐의/NNG+를/JKO
명시하지	명시/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
검찰은	검찰/NNG+은/JX
수뢰까지도	수뢰/NNG+까지/JX+도/JX
밝혀내겠다는	밝혀내/VV+겠/EP+다는/ETM
기세로	기세/NNG+로/JKB
가용할	가용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
