# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.19
metadata : {}


# id : NWRW1800000029.19.1.1
주가뛰어 개인 금융자산 2000조 돌파

주가뛰어	주가/NNG+뛰/VV+어/EC
개인	개인/NNG
금융자산	금융/NNG+자산/NNG
2000조	2000/SN+조/NR
돌파	돌파/NNG


# id : NWRW1800000029.19.2.1
국내 총 금융자산도 1경 넘어

국내	국내/NNG
총	총/MMA
금융자산도	금융/NNG+자산/NNG+도/JX
1경	1/SN+경/NR
넘어	넘/VV+어/EF


# id : NWRW1800000029.19.3.1
지난해 주가 상승 등으로 개인의 금융자산이 큰 폭으로 늘어나면서 처음으로 2000조 원을 돌파했다.

지난해	지난해/NNG
주가	주가/NNG
상승	상승/NNG
등으로	등/NNB+으로/JKB
개인의	개인/NNG+의/JKG
금융자산이	금융/NNG+자산/NNG+이/JKS
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
늘어나면서	늘어나/VV+면서/EC
처음으로	처음/NNG+으로/JKB
2000조	2000/SN+조/NR
원을	원/NNB+을/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.19.3.2
개인의 재무건전성 역시 금융자산 급증에 힘입어 5년 만에 최고치를 기록했다.

개인의	개인/NNG+의/JKG
재무건전성	재무/NNG+건전/NNG+성/XSN
역시	역시/MAG
금융자산	금융/NNG+자산/NNG
급증에	급증/NNG+에/JKB
힘입어	힘입/VV+어/EC
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
최고치를	최고/NNG+치/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.19.4.1
한국은행이 16일 발표한 ‘2010년 중 자금순환동향(잠정)’에 따르면 예금, 보험, 증권과 채권 등을 더한 개인의 금융자산은 지난해 말 현재 2176조4000억 원으로 전년 말보다 222조 원 증가했다.

한국은행이	한국은행/NNP+이/JKS
16일	16/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘2010년	‘/SS+2010/SN+년/NNB
중	중/NNB
자금순환동향(잠정)’에	자금/NNG+순환/NNG+동향/NNG+(/SS+잠정/NNG+)/SS+’/SS+에/JKB
따르면	따르/VV+면/EC
예금,	예금/NNG+,/SP
보험,	보험/NNG+,/SP
증권과	증권/NNG+과/JC
채권	채권/NNG
등을	등/NNB+을/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
개인의	개인/NNG+의/JKG
금융자산은	금융/NNG+자산/NNG+은/JX
지난해	지난해/NNG
말	말/NNB
현재	현재/MAG
2176조4000억	2176/SN+조/NR+4000/SN+억/NR
원으로	원/NNB+으로/JKB
전년	전년/NNG
말보다	말/NNB+보다/JKB
222조	222/SN+조/NR
원	원/NNB
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.19.4.2
연말 기준 개인 금융자산이 2000조 원을 넘어선 것은 2002년 집계 기준 변경 이후 처음이다.

연말	연말/NNG
기준	기준/NNG
개인	개인/NNG
금융자산이	금융/NNG+자산/NNG+이/JKS
2000조	2000/SN+조/NR
원을	원/NNB+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
것은	것/NNB+은/JX
2002년	2002/SN+년/NNB
집계	집계/NNG
변경	변경/NNG
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.19.4.3
개인 금융자산은 2007년 1716조7000억 원에서 2008년 세계적 금융위기 여파로 28조5000억 원이 줄었지만 2009년에는 266조2000억 원이 급증했고 지난해에도 200조 원대 증가세를 유지했다.

개인	개인/NNG
금융자산은	금융/NNG+자산/NNG+은/JX
2007년	2007/SN+년/NNB
1716조7000억	1716/SN+조/NR+7000/SN+억/NR
원에서	원/NNB+에서/JKB
2008년	2008/SN+년/NNB
세계적	세계/NNG+적/XSN
금융위기	금융/NNG+위기/NNG
여파로	여파/NNG+로/JKB
28조5000억	28/SN+조/NR+5000/SN+억/NR
원이	원/NNB+이/JKS
줄었지만	줄/VV+었/EP+지만/EC
2009년에는	2009/SN+년/NNB+에/JKB+는/JX
266조2000억	266/SN+조/NR+2000/SN+억/NR
급증했고	급증/NNG+하/XSV+았/EP+고/EC
지난해에도	지난해/NNG+에/JKB+도/JX
200조	200/SN+조/NR
원대	원/NNB+대/XSN
증가세를	증가세/NNG+를/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.19.5.1
개인 금융부채는 937조3000억 원으로 76조3000억 원 늘었다.

개인	개인/NNG
금융부채는	금융/NNG+부채/NNG+는/JX
937조3000억	937/SN+조/NR+3000/SN+억/NR
원으로	원/NNB+으로/JKB
76조3000억	76/SN+조/NR+3000/SN+억/NR
원	원/NNB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.19.5.2
그러나 금융부채 증가액이 금융자산 증가액의 3분의 1 수준에 불과해 재무건전성을 보여 주는 금융부채 대비 금융자산 비율은 2.32배로 전년의 2.27배보다 개선됐다.

그러나	그러나/MAJ
금융부채	금융/NNG+부채/NNG
증가액이	증가액/NNG+이/JKS
금융자산	금융/NNG+자산/NNG
증가액의	증가액/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1	1/SN
수준에	수준/NNG+에/JKB
불과해	불과/MAG+하/XSA+아/EC
재무건전성을	재무/NNG+건전/NNG+성/XSN+을/JKO
보여	보이/VV+어/EC
주는	주/VX+는/ETM
대비	대비/NNG
비율은	비율/NNG+은/JX
2.32배로	2/SN+./SP+32/SN+배/NNG+로/JKB
전년의	전년/NNG+의/JKG
2.27배보다	2/SN+./SP+27/SN+배/NNG+보다/JKB
