# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.173
metadata : {}


# id : NWRW1800000046.173.1.1
현역의원 성폭행 논란… 당했다던 여인 진술 미묘한 변화

현역의원	현역/NNG+의원/NNG
성폭행	성폭행/NNG
논란…	논란/NNG+…/SE
당했다던	당하/VV+았/EP+다던/ETM
여인	여인/NNG
진술	진술/NNG
미묘한	미묘하/VA+ㄴ/ETM
변화	변화/NNG


# id : NWRW1800000046.173.2.1
대구지방경찰청 수사 중

대구지방경찰청	대구지방경찰청/NNP
수사	수사/NNG
중	중/NNB


# id : NWRW1800000046.173.3.1
현역 국회의원이 대낮에 여성 보험설계사를 성폭행했다는 신고가 접수돼 경찰이 수사 중인 것으로 확인됐다.

현역	현역/NNG
국회의원이	국회/NNG+의원/NNG+이/JKS
대낮에	대낮/NNG+에/JKB
여성	여성/NNG
보험설계사를	보험/NNG+설계사/NNG+를/JKO
성폭행했다는	성폭행/NNG+하/XSV+았/EP+다는/ETM
신고가	신고/NNG+가/JKS
접수돼	접수/NNG+되/XSV+어/EC
경찰이	경찰/NNG+이/JKS
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.173.3.2
그러나 1차 피해자 진술을 마친 피해 여성이 해당 의원을 만난 뒤 진술을 번복해 그 배경을 놓고 이런저런 의혹이 나오고 있다.

그러나	그러나/MAJ
1차	1/SN+차/NNB
피해자	피해자/NNG
진술을	진술/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
피해	피해/NNG
여성이	여성/NNG+이/JKS
해당	해당/NNG
의원을	의원/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
뒤	뒤/NNG
번복해	번복/NNG+하/XSV+아/EC
그	그/MMD
배경을	배경/NNG+을/JKO
놓고	놓/VV+고/EC
이런저런	이런저런/MMD
의혹이	의혹/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.173.4.1
대구지방경찰청은 지난 7월 13일 오전 대구 한 호텔에서 보험설계사인 40대 여성 A씨를 성폭행한 혐의로 새누리당 소속 B의원을 수사하고 있다고 31일 밝혔다.

대구지방경찰청은	대구지방경찰청/NNP+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
13일	13/SN+일/NNB
오전	오전/NNG
대구	대구/NNP
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
보험설계사인	보험/NNG+설계사/NNG+이/VCP+ㄴ/ETM
40대	40/SN+대/NNB
여성	여성/NNG
A씨를	A/SL+씨/NNB+를/JKO
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
새누리당	새누리당/NNP
소속	소속/NNG
B의원을	B/SL+의원/NNG+을/JKO
수사하고	수사/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
31일	31/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.173.4.2
A씨는 지난 24일 대구 중부경찰서를 찾아가 B의원을 성폭행 혐의로 신고했고, 대구지방경찰청은 피의자가 현역 국회의원인 점을 감안해 직접 수사에 나섰다.

A씨는	A/SL+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
대구	대구/NNP
중부경찰서를	중부/NNG+경찰서/NNG+를/JKO
찾아가	찾아가/VV+아/EC
B의원을	B/SL+의원/NNG+을/JKO
성폭행	성폭행/NNG
혐의로	혐의/NNG+로/JKB
신고했고,	신고/NNG+하/XSV+았/EP+고/EC+,/SP
대구지방경찰청은	대구지방경찰청/NNP+은/JX
피의자가	피의자/NNG+가/JKS
현역	현역/NNG
국회의원인	국회/NNG+의원/NNG+이/VCP+ㄴ/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
직접	직접/MAG
수사에	수사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.173.5.1
경찰에 따르면 B의원은 지난 13일 오전 11시부터 약 30분간 이 호텔에서 피해 여성과 강제로 성관계를 가진 혐의를 받고 있다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
B의원은	B/SL+의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
오전	오전/NNG
11시부터	11/SN+시/NNB+부터/JX
약	약/MMA
30분간	30/SN+분/NNB+간/XSN
이	이/MMD
호텔에서	호텔/NNG+에서/JKB
피해	피해/NNG
여성과	여성/NNG+과/JKB
