# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.381
metadata : {}


# id : NWRW1800000037.381.1.1
美 17일 國庫 바닥… 부채한도 못늘리면 첫 국가부도

美	美/SH
17일	17/SN+일/NNB
國庫	國庫/SH
바닥…	바닥/NNG+…/SE
부채한도	부채/NNG+한도/NNG
못늘리면	못/MAG+늘리/VV+면/EC
첫	첫/MMN
국가부도	국가/NNG+부도/NNG


# id : NWRW1800000037.381.2.1
[美 연방정부 17년만에 셧다운] 민주-공화 극한대립이 부른 파국… 美언론 “디폴트 가능성 높아졌다” 軍-비자-통관업무는 정상 운영… 주미대사관 “당분간 한국인 영향 미미”

[美	[/SS+美/SH
연방정부	연방/NNG+정부/NNG
17년만에	17/SN+년/NNB+만/NNB+에/JKB
셧다운]	셧다운/NNG+]/SS
민주-공화	민주/NNP+-/SO+공화/NNP
극한대립이	극한/NNG+대립/NNG+이/JKS
부른	부르/VV+ㄴ/ETM
파국…	파국/NNG+…/SE
美언론	美/SH+언론/NNG
“디폴트	“/SS+디폴트/NNG
가능성	가능/NNG+성/XSN
높아졌다”	높아지/VV+었/EP+다/EF+”/SS
軍-비자-통관업무는	軍/SH+-/SO+비자/NNG+-/SO+통관/NNG+업무/NNG+는/JX
정상	정상/NNG
운영…	운영/NNG+…/SE
주미대사관	주미/NNG+대사관/NNG
“당분간	“/SS+당분간/MAG
한국인	한국인/NNG
영향	영향/NNG
미미”	미미/XR+”/SS


# id : NWRW1800000037.381.3.1
미국 연방정부가 잠정 폐쇄된 1일 오전 9시(한국 시간 1일 오후 10시) 수도 워싱턴의 상징인 내셔널 몰 주변은 인적이 드물어 을씨년스럽기까지 했다.

미국	미국/NNP
연방정부가	연방/NNG+정부/NNG+가/JKS
잠정	잠정/NNG
폐쇄된	폐쇄/NNG+되/XSV+ㄴ/ETM
1일	1/SN+일/NNB
오전	오전/NNG
9시(한국	9/SN+시/NNB+(/SS+한국/NNP
시간	시간/NNG
오후	오후/NNG
10시)	10/SN+시/NNB+)/SS
수도	수도/NNG
워싱턴의	워싱턴/NNP+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
내셔널	내셔널/NNP
몰	몰/NNP
주변은	주변/NNG+은/JX
인적이	인/NNG+적/XSN+이/JKS
드물어	드물/VA+어/EC
을씨년스럽기까지	을씨년스럽/VA+기/ETN+까지/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.381.3.2
지하철역 바로 옆에 붉은 벽돌로 예쁘게 지어진 중세 성 모양의 스미스소니언 정보센터 정문은 굳게 닫혀 있었다.

지하철역	지하철역/NNG
바로	바로/MAG
옆에	옆/NNG+에/JKB
붉은	붉/VA+은/ETM
벽돌로	벽돌/NNG+로/JKB
예쁘게	예쁘/VA+게/EC
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
중세	중세/NNG
성	성/NNG
모양의	모양/NNG+의/JKG
스미스소니언	스미스소니언/NNP
정보센터	정보/NNG+센터/NNG
정문은	정문/NNG+은/JX
굳게	굳/VA+게/EC
닫혀	닫히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.381.4.1
문 안쪽에 ‘불편을 끼쳐 사과드립니다.

문	문/NNG
안쪽에	안쪽/NNG+에/JKB
‘불편을	‘/SS+불편/NNG+을/JKO
끼쳐	끼치/VV+어/EC
사과드립니다.	사과/NNG+드리/VV+ㅂ니다/EF+./SF


# id : NWRW1800000037.381.4.2
정부 폐쇄로 오늘은 문을 열지 않습니다’라는 흰색 게시판이 눈에 들어왔다.

정부	정부/NNG
폐쇄로	폐쇄/NNG+로/JKB
오늘은	오늘/NNG+은/JX
문을	문/NNG+을/JKO
열지	열/VV+지/EC
않습니다’라는	않/VX+습니다/EF+’/SS+이/VCP+라는/ETM
흰색	흰색/NNG
게시판이	게시판/NNG+이/JKS
눈에	눈/NNG+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.381.4.3
정보센터 왼쪽 우주과학박물관과 그 맞은편 국립미술관도 마찬가지다.

정보센터	정보/NNG+센터/NNG
왼쪽	왼쪽/NNG
우주과학박물관과	우주과학박물관/NNP+과/JC
그	그/MMD
맞은편	맞은편/NNG
국립미술관도	국립미술관/NNP+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


