# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.169
metadata : {}


# id : NWRW1800000038.169.1.1
세종청사 주변 수목원·녹지공원 공사 金개구리 보호 위해 1년째 전면 중단

세종청사	세종청사/NNP
주변	주변/NNG
수목원·녹지공원	수목원/NNG+·/SP+녹지/NNG+공원/NNG
공사	공사/NNG
金개구리	金/SH+개구리/NNG
보호	보호/NNG
위해	위하/VV+아/EC
1년째	1/SN+년/NNB+째/XSN
전면	전면/NNG
중단	중단/NNG


# id : NWRW1800000038.169.2.1
2급 멸종위기종 집단 서식11월에 생태조사 결과 나와

2급	2/SN+급/NNG
멸종위기종	멸종/NNG+위기종/NNG
집단	집단/NNG
서식11월에	서식/NNG+11/SN+월/NNB+에/JKB
생태조사	생태/NNG+조사/NNG
결과	결과/NNG
나와	나오/VV+아/EF


# id : NWRW1800000038.169.3.1
정부세종청사 주변에 조성키로 했던 수목원과 녹지공원 공사가 1년째 이뤄지지 않고 있다.

정부세종청사	정부세종청사/NNP
주변에	주변/NNG+에/JKB
조성키로	조성/NNG+하/XSV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
수목원과	수목원/NNG+과/JC
녹지공원	녹지/NNG+공원/NNG
공사가	공사/NNG+가/JKS
1년째	1/SN+년/NNB+째/XSN
이뤄지지	이뤄지/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.169.3.2
이유는 '금개구리' 때문이다.

이유는	이유/NNG+는/JX
'금개구리'	'/SS+금개구리/NNG+'/SS
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.169.3.3
공사 부지에서 멸종 위기 야생동식물(2급)인 금개구리의 집단 서식지가 발견된 것이다.

공사	공사/NNG
부지에서	부지/NNG+에서/JKB
멸종	멸종/NNG
위기	위기/NNG
야생동식물(2급)인	야생/NNG+동식물/NNG+(/SS+2/SN+급/NNG+)/SS+이/VCP+ㄴ/ETM
금개구리의	금개구리/NNG+의/JKG
집단	집단/NNG
서식지가	서식지/NNG+가/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.169.4.1
국무조정실(옛 총리실)과 LH(한국토지주택공사) 등에 따르면 정부는 2007년 정부세종청사에서 1㎞ 정도 떨어진 세종시 장남평야 일대의 논 200만㎡(약 60만평)를 수용했다.

국무조정실(옛	국무/NNG+조정실/NNG+(/SS+옛/MMA
총리실)과	총리실/NNG+)/SS+과/JC
LH(한국토지주택공사)	LH/SL+(/SS+한국토지주택공사/NNP+)/SS
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
정부는	정부/NNG+는/JX
2007년	2007/SN+년/NNB
정부세종청사에서	정부세종청사/NNP+에서/JKB
1㎞	1/SN+㎞/SW
정도	정도/NNG
떨어진	떨어지/VV+ㄴ/ETM
세종시	세종시/NNP
장남평야	장남평야/NNP
일대의	일대/NNG+의/JKG
논	논/NNG
200만㎡(약	200/SN+만/NR+㎡/SW+(/SS+약/MMA
60만평)를	60/SN+만/NR+평/NNB+)/SS+를/JKO
수용했다.	수용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.169.4.2
이곳에 국립수목원과 축구장·습지가 들어서는 중앙녹지공원을 만들기 위해서였다.

이곳에	이곳/NP+에/JKB
국립수목원과	국립수목원/NNP+과/JC
축구장·습지가	축구장/NNG+·/SP+습지/NNG+가/JKS
들어서는	들어서/VV+는/ETM
중앙녹지공원을	중앙/NNG+녹지/NNG+공원/NNG+을/JKO
만들기	만들/VV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.169.4.3
LH는 작년 4월부터 저지대인 논에 흙을 메우는 성토(盛土) 공사에 착수했다.

LH는	LH/SL+는/JX
작년	작년/NNG
4월부터	4/SN+월/NNB+부터/JX
저지대인	저/XPN+지대/NNG+이/VCP+ㄴ/ETM
논에	논/NNG+에/JKB
흙을	흙/NNG+을/JKO
메우는	메우/VV+는/ETM
성토(盛土)	성토/NNG+(/SS+盛土/SH+)/SS
공사에	공사/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.169.5.1
그런데 며칠 뒤 현장 인부들이 논에서 아기 주먹만 한 크기에 등이 푸르고, 두 줄기 금빛 줄무늬가 눈에서 등을 거쳐 뒷다리로 이어지는 개구리 떼를 발견했다.

그런데	그런데/MAJ
며칠	며칠/NNG
뒤	뒤/NNG
현장	현장/NNG
인부들이	인부/NNG+들/XSN+이/JKS
논에서	논/NNG+에서/JKB
아기	아기/NNG
주먹만	주먹/NNG+만/JX
한	하/VA+ㄴ/ETM
크기에	크기/NNG+에/JKB
등이	등/NNG+이/JKS
푸르고,	푸르/VA+고/EC+,/SP
두	두/MMN
줄기	줄/VV+기/ETN
금빛	금빛/NNG
줄무늬가	줄무늬/NNG+가/JKS
눈에서	눈/NNG+에서/JKB
등을	등/NNG+을/JKO
거쳐	거치/VV+어/EC
뒷다리로	뒷다리/NNG+로/JKB
이어지는	이어지/VV+는/ETM
개구리	개구리/NNG
떼를	떼/NNG+를/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.169.5.2
환경부 등에 문의한 결과, 이 개구리는 우리나라 서남부 지역에서만 서식하는 희귀종인 금개구리인 것으로 확인됐다.

환경부	환경부/NNG
등에	등/NNB+에/JKB
문의한	문의/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
이	이/MMD
개구리는	개구리/NNG+는/JX
우리나라	우리나라/NNG
서남부	서남부/NNG
지역에서만	지역/NNG+에서/JKB+만/JX
서식하는	서식/NNG+하/XSV+는/ETM
희귀종인	희귀종/NNG+이/VCP+ㄴ/ETM
금개구리인	금개구리/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.169.5.3
환경부 관계자는 "주변에 금강이 흐르고 곳곳에 물웅덩이가 많은 장남평야 일대 논은 금개구리가 서식하기 좋은 장소"라고 했다.

환경부	환경부/NNG
관계자는	관계자/NNG+는/JX
"주변에	"/SS+주변/NNG+에/JKB
금강이	금강/NNP+이/JKS
흐르고	흐르/VV+고/EC
곳곳에	곳곳/NNG+에/JKB
물웅덩이가	물웅덩이/NNG+가/JKS
많은	많/VA+은/ETM
장남평야	장남평야/NNP
일대	일대/NNG
논은	논/NNG+은/JX
금개구리가	금개구리/NNG+가/JKS
