# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.353
metadata : {}


# id : NWRW1800000038.353.1.1
17조~19조 追更 추진

17조~19조	17/SN+조/NR+~/SO+19/SN+조/NR
追更	追更/SH
추진	추진/NNG


# id : NWRW1800000038.353.2.1
稅收보전 12조·경기부양 5조~7조… 정부, 국채 발행할 계획

稅收보전	稅收/SH+보전/NNG
12조·경기부양	12/SN+조/NR+·/SP+경기/NNG+부양/NNG
5조~7조…	5/SN+조/NR+~/SO+7/SN+조/NR+…/SE
정부,	정부/NNG+,/SP
국채	국채/NNG
발행할	발행/NNG+하/XSV+ㄹ/ETM
계획	계획/NNG


# id : NWRW1800000038.353.3.1
정부가 검토 중인 추가경정예산 규모가 17조~19조원 수준인 것으로 확인됐다.

정부가	정부/NNG+가/JKS
검토	검토/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
추가경정예산	추가/NNG+경정/NNG+예산/NNG
규모가	규모/NNG+가/JKS
17조~19조원	17/SN+조/NR+~/SO+19/SN+조/NR+원/NNB
수준인	수준/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.353.3.2
이는 3월 초 정부 내에서 흘러나왔던 예상치 10조원을 크게 웃도는 것이다.

이는	이/NP+는/JX
3월	3/SN+월/NNB
초	초/NNB
정부	정부/NNG
내에서	내/NNB+에서/JKB
흘러나왔던	흘러나오/VV+았/EP+던/ETM
예상치	예상/NNG+치/XSN
10조원을	10/SN+조/NR+원/NNB+을/JKO
크게	크/VA+게/EC
웃도는	웃돌/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.353.4.1
정부 고위 관계자는 29일 "세입(歲入) 부족분을 보충하는 돈을 포함해 전체 추경 규모는 20조원에 조금 못 미치는 수준"이라며 "17조~19조원 수준을 염두에 두고 있다"고 말했다.

정부	정부/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
29일	29/SN+일/NNB
"세입(歲入)	"/SS+세입/NNG+(/SS+歲入/SH+)/SS
부족분을	부족/NNG+분/XSN+을/JKO
보충하는	보충/NNG+하/XSV+는/ETM
돈을	돈/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
전체	전체/NNG
추경	추경/NNG
규모는	규모/NNG+는/JX
20조원에	20/SN+조/NR+원/NNB+에/JKB
조금	조금/MAG
못	못/MAG
미치는	미치/VV+는/ETM
수준"이라며	수준/NNG+"/SS+이/VCP+라며/EC
