# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.79
metadata : {}


# id : NWRW1800000036.79.1.1
‘시리아 평화안’ 시작도 전에 파기될 판

‘시리아	‘/SS+시리아/NNP
평화안’	평화안/NNG+’/SS
시작도	시작/NNG+도/JX
전에	전/NNG+에/JKB
파기될	파기/NNG+되/XSV+ㄹ/ETM
판	판/NNB


# id : NWRW1800000036.79.2.1
[한겨레] 아사드 정부 ‘반군 무장해제 보증’ 요구

[한겨레]	[/SS+한겨레/NNP+]/SS
아사드	아사드/NNP
정부	정부/NNG
‘반군	‘/SS+반군/NNG
무장해제	무장/NNG+해제/NNG
보증’	보증/NNG+’/SS
요구	요구/NNG


# id : NWRW1800000036.79.3.1
정부군 총공세로 6일에만 100여명 숨져

정부군	정부군/NNG
총공세로	총공세/NNG+로/JKB
6일에만	6/SN+일/NNB+에/JKB+만/JX
100여명	100/SN+여/XSN+명/NNB
숨져	숨지/VV+어/EF


# id : NWRW1800000036.79.4.1
시리아 유혈사태를 종식시킬 ‘카드’로 기대와 우려를 한몸에 받았던 코피 아난 유엔 특사의 평화 중재안이 시작 전부터 ‘파기’ 위기에 직면했다.

시리아	시리아/NNP
유혈사태를	유혈/NNG+사태/NNG+를/JKO
종식시킬	종식/NNG+시키/XSV+ㄹ/ETM
‘카드’로	‘/SS+카드/NNG+’/SS+로/JKB
기대와	기대/NNG+와/JC
우려를	우려/NNG+를/JKO
한몸에	한/MMN+몸/NNG+에/JKB
받았던	받/VV+았/EP+던/ETM
코피	코피/NNP
아난	아난/NNP
유엔	유엔/NNP
특사의	특사/NNG+의/JKG
평화	평화/NNG
중재안이	중재안/NNG+이/JKS
시작	시작/NNG
전부터	전/NNG+부터/JX
‘파기’	‘/SS+파기/NNG+’/SS
위기에	위기/NNG+에/JKB
직면했다.	직면/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.79.4.2
12일 오전 6시부터 반정부군과 휴전에 들어가기로 했던 시리아 정부는 8일 ‘반군 무장해제 서면보증’을 요구하며 말을 바꿨다.

12일	12/SN+일/NNB
오전	오전/NNG
6시부터	6/SN+시/NNB+부터/JX
반정부군과	반/XPN+정부군/NNG+과/JKB
휴전에	휴전/NNG+에/JKB
들어가기로	들어가/VV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
시리아	시리아/NNP
정부는	정부/NNG+는/JX
8일	8/SN+일/NNB
‘반군	‘/SS+반군/NNG
무장해제	무장/NNG+해제/NNG
서면보증’을	서면/NNG+보증/NNG+’/SS+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
말을	말/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.79.5.1
지하드 마크디시 시리아 외무부 대변인은 이날 “다마스쿠스(시리아 정부)가 목요일(12일)까지 도시와 교외지역에서 군대를 철수시킬 것이라는 보고서들은 잘못된 것”이라며 평화계획 합의안이 부정확하다고 주장했다.

지하드	지하드/NNP
마크디시	마크디시/NNP
시리아	시리아/NNP
외무부	외무부/NNG
대변인은	대변인/NNG+은/JX
이날	이날/NNG
“다마스쿠스(시리아	“/SS+다마스쿠스/NNP+(/SS+시리아/NNP
정부)가	정부/NNG+)/SS+가/JKS
목요일(12일)까지	목요일/NNG+(/SS+12/SN+일/NNB+)/SS+까지/JX
도시와	도시/NNG+와/JC
교외지역에서	교외/NNG+지역/NNG+에서/JKB
군대를	군대/NNG+를/JKO
철수시킬	철수/NNG+시키/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
보고서들은	보고서/NNG+들/XSN+은/JX
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
평화계획	평화/NNG+계획/NNG
합의안이	합의안/NNG+이/JKS
부정확하다고	부/XPN+정확/NNG+하/XSA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.79.5.2
실제로 아난 특사가 시리아 정부에 “무장 테러리스트 그룹이 모든 종류의 폭력을 중지하고 무기를 내려놓을 준비가 됐다는 서면 보증서”를 제출하기로 했지만, 아직까지 성과가 없었다는 것이다.

실제로	실제로/MAG
아난	아난/NNP
특사가	특사/NNG+가/JKS
시리아	시리아/NNP
정부에	정부/NNG+에/JKB
“무장	“/SS+무장/NNG
테러리스트	테러리스트/NNG
그룹이	그룹/NNG+이/JKS
모든	모든/MMN
종류의	종류/NNG+의/JKG
폭력을	폭력/NNG+을/JKO
중지하고	중지/NNG+하/XSV+고/EC
무기를	무기/NNG+를/JKO
내려놓을	내려놓/VV+을/ETM
준비가	준비/NNG+가/JKC
됐다는	되/VV+었/EP+다는/ETM
서면	서면/NNG
보증서”를	보증서/NNG+”/SS+를/JKO
제출하기로	제출/NNG+하/XSV+기/ETN+로/JKB
했지만,	하/VV+았/EP+지만/EC+,/SP
아직까지	아직/MAG+까지/JX
성과가	성과/NNG+가/JKS
없었다는	없/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.79.5.3
또 시리아는 “무장 테러리스트 그룹은 휴전을 재무장 기회로 삼아 세력을 확대할 것”이라며 국제사회의 우려와는 상반되는 주장을 펴기도 했다.

또	또/MAG
시리아는	시리아/NNP+는/JX
“무장	“/SS+무장/NNG
테러리스트	테러리스트/NNG
그룹은	그룹/NNG+은/JX
휴전을	휴전/NNG+을/JKO
재무장	재/XPN+무장/NNG
기회로	기회/NNG+로/JKB
삼아	삼/VV+아/EC
세력을	세력/NNG+을/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
국제사회의	국제/NNG+사회/NNG+의/JKG
우려와는	우려/NNG+와/JKB+는/JX
상반되는	상반/NNG+되/XSV+는/ETM
주장을	주장/NNG+을/JKO
펴기도	펴/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.79.6.1
그러나 자유시리아군을 이끌고 있는 리야드 아사아드 대령은 <에이피>(AP) 통신에 “정부가 코피 아난의 평화 계획 6개항을 준수하면 우리도 공격을 중단할 것”이라며 정부의 ‘서면보증’ 요구를 거부했다.

그러나	그러나/MAJ
자유시리아군을	자유시리아군/NNG+을/JKO
이끌고	이끌/VV+고/EC
있는	있/VX+는/ETM
리야드	리야드/NNP
아사아드	아사아드/NNP
대령은	대령/NNG+은/JX
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신에	통신/NNG+에/JKB
“정부가	“/SS+정부/NNG+가/JKS
코피	코피/NNP
아난의	아난/NNP+의/JKG
평화	평화/NNG
계획	계획/NNG
6개항을	6/SN+개/NNB+항/NNG+을/JKO
준수하면	준수/NNG+하/XSV+면/EC
우리도	우리/NP+도/JX
공격을	공격/NNG+을/JKO
중단할	중단/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
정부의	정부/NNG+의/JKG
‘서면보증’	‘/SS+서면/NNG+보증/NNG+’/SS
요구를	요구/NNG+를/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.79.7.1
시리아 정부군은 이에 앞서 반군에 대한 ‘총공세’를 퍼부어 6일에만 최소 100여명이 숨졌다.

시리아	시리아/NNP
정부군은	정부군/NNG+은/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
반군에	반군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘총공세’를	‘/SS+총공세/NNG+’/SS+를/JKO
퍼부어	퍼붓/VV+어/EC
6일에만	6/SN+일/NNB+에/JKB+만/JX
최소	최소/NNG
100여명이	100/SN+여/XSN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.79.7.2
영국 <비비시>(BBC) 방송은 시리아인권관측소의 보고를 토대로, 시리아 중부 하마주 외곽 라탐나에서 정부군의 공격으로 40여명이 숨지는 등 6일 하루에만 시민 74명을 포함해 107명이 사망했다고 7일 보도했다.

영국	영국/NNP
<비비시>(BBC)	</SS+비비시/NNP+>/SS+(/SS+BBC/SL+)/SS
방송은	방송/NNG+은/JX
시리아인권관측소의	시리아인권관측소/NNP+의/JKG
보고를	보고/NNG+를/JKO
토대로,	토대/NNG+로/JKB+,/SP
시리아	시리아/NNP
중부	중부/NNG
하마주	하마주/NNP
외곽	외곽/NNG
라탐나에서	라탐나/NNP+에서/JKB
정부군의	정부군/NNG+의/JKG
공격으로	공격/NNG+으로/JKB
40여명이	40/SN+여/XSN+명/NNB+이/JKS
숨지는	숨지/VV+는/ETM
등	등/NNB
6일	6/SN+일/NNB
하루에만	하루/NNG+에/JKB+만/JX
시민	시민/NNG
74명을	74/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
107명이	107/SN+명/NNB+이/JKS
사망했다고	사망/NNG+하/XSV+았/EP+다고/EC
7일	7/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.79.7.3
또다른 지역 모니터 단체들은 시리아군을 제외하고 133명이 숨졌다고 보고하기도 했다.

또다른	또/MAG+다른/MMD
지역	지역/NNG
모니터	모니터/NNG
단체들은	단체/NNG+들/XSN+은/JX
시리아군을	시리아군/NNG+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
133명이	133/SN+명/NNB+이/JKS
숨졌다고	숨지/VV+었/EP+다고/EC
보고하기도	보고/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.79.8.1
활동가들이 라탐나에서 촬영한 동영상을 보면, 평상형 트럭에 주검 여러구가 쌓여 있으며, 한 주민이 어린아이의 주검을 번쩍 들어 올리는 장면도 있다.

활동가들이	활동가/NNG+들/XSN+이/JKS
라탐나에서	라탐나/NNP+에서/JKB
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
동영상을	동영상/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
평상형	평상/NNG+형/XSN
트럭에	트럭/NNG+에/JKB
주검	주검/NNG
여러구가	여러/MMN+구/NNB+가/JKS
쌓여	쌓이/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
한	한/MMN
주민이	주민/NNG+이/JKS
어린아이의	어린아이/NNG+의/JKG
주검을	주검/NNG+을/JKO
번쩍	번쩍/MAG
들어	들/VV+어/EC
올리는	올리/VV+는/ETM
장면도	장면/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.79.8.2
또 정부군은 홈스의 데이르 발라 지역도 탱크와 대포로 가차 없이 공격했는데, 피와 총알 자국이 선명한 벽 옆에 놓인 13명의 주검은 대량학살의 흔적을 엿볼 수 있게 했다.

또	또/MAG
정부군은	정부군/NNG+은/JX
홈스의	홈스/NNP+의/JKG
데이르	데이르/NNP
발라	발라/NNP
지역도	지역/NNG+도/JX
탱크와	탱크/NNG+와/JC
대포로	대포/NNG+로/JKB
가차	가차/NNG
없이	없이/MAG
공격했는데,	공격/NNG+하/XSV+았/EP+는데/EC+,/SP
피와	피/NNG+와/JC
총알	총알/NNG
자국이	자국/NNG+이/JKS
선명한	선명/NNG+하/XSA+ㄴ/ETM
벽	벽/NNG
옆에	옆/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
13명의	13/SN+명/NNB+의/JKG
주검은	주검/NNG+은/JX
대량학살의	대량/NNG+학살/NNG+의/JKG
흔적을	흔적/NNG+을/JKO
엿볼	엿보/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.79.9.1
사태가 악화되자, 6일부터 36시간 동안 터키 국경을 넘은 시리아 피난민만 2800여명에 이르렀다.

사태가	사태/NNG+가/JKS
악화되자,	악화/NNG+되/XSV+자/EC+,/SP
6일부터	6/SN+일/NNB+부터/JX
36시간	36/SN+시간/NNB
동안	동안/NNG
터키	터키/NNP
국경을	국경/NNG+을/JKO
넘은	넘/VV+은/ETM
시리아	시리아/NNP
피난민만	피난민/NNG+만/JX
2800여명에	2800/SN+여/XSN+명/NNB+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.79.9.2
바샤르 아사드 대통령이 코피 아난 특사의 평화안을 수용하기 전보다 훨씬 늘어난 수치다.

바샤르	바샤르/NNP
아사드	아사드/NNP
대통령이	대통령/NNG+이/JKS
코피	코피/NNP
아난	아난/NNP
특사의	특사/NNG+의/JKG
평화안을	평화안/NNG+을/JKO
수용하기	수용/NNG+하/XSV+기/ETN
전보다	전/NNG+보다/JKB
훨씬	훨씬/MAG
늘어난	늘어나/VV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.79.9.3
터키 쪽에서는 지금까지 2만4000명의 시리아인이 피난을 온 것으로 보고 있으며, 난민수가 지속적으로 증가할 경우 국제사회의 지원이 필요하다고 밝혔다.

터키	터키/NNP
쪽에서는	쪽/NNB+에서/JKB+는/JX
지금까지	지금/NNG+까지/JX
2만4000명의	2/SN+만/NR+4000/SN+명/NNB+의/JKG
시리아인이	시리아인/NNG+이/JKS
피난을	피난/NNG+을/JKO
온	오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
난민수가	난민/NNG+수/NNG+가/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
증가할	증가/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
국제사회의	국제/NNG+사회/NNG+의/JKG
지원이	지원/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


