# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.236
metadata : {}


# id : NWRW1800000053.236.1.1
양손에 MVP… ‘양’의 새 역사?

양손에	양손/NNG+에/JKB
MVP…	MVP/SL+…/SE
‘양’의	‘/SS+양/NNP+’/SS+의/JKG
새	새/MMA
역사?	역사/NNG+?/SF


# id : NWRW1800000053.236.2.1
6일 프로야구 정규시즌 시상식 양현종 최우수선수 강력한 후보… 사상 첫 ‘KS와 동시 석권’ 관심 신인왕은 넥센 이정후 확실시

6일	6/SN+일/NNB
프로야구	프로/NNG+야구/NNG
정규시즌	정규/NNG+시즌/NNG
시상식	시상식/NNG
양현종	양현종/NNP
최우수선수	최/XPN+우수/NNG+선수/NNG
강력한	강력/NNG+하/XSA+ㄴ/ETM
후보…	후보/NNG+…/SE
사상	사상/NNG
첫	첫/MMN
‘KS와	‘/SS+KS/SL+와/JKB
동시	동시/NNG
석권’	석권/NNG+’/SS
관심	관심/NNG
신인왕은	신인왕/NNG+은/JX
넥센	넥센/NNP
이정후	이정후/NNP
확실시	확실시/NNG


# id : NWRW1800000053.236.3.1
올 시즌 KIA의 통합 우승을 이끈 에이스 양현종이 KBO리그 사상 첫 한국시리즈-정규시즌 최우수선수(MVP) 동시 석권에 도전한다.

올	올/NNG
시즌	시즌/NNG
KIA의	KIA/SL+의/JKG
통합	통합/NNG
우승을	우승/NNG+을/JKO
이끈	이끌/VV+ㄴ/ETM
에이스	에이스/NNG
양현종이	양현종/NNP+이/JKS
KBO리그	KBO/SL+리그/NNG
사상	사상/NNG
첫	첫/MMN
한국시리즈-정규시즌	한국/NNP+시리즈/NNG+-/SO+정규/NNG+시즌/NNG
최우수선수(MVP)	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS
동시	동시/NNG
석권에	석권/NNG+에/JKB
도전한다.	도전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.236.4.1
6일 서울 강남구 코엑스 하모니볼룸에서 열리는 ‘2017 타이어뱅크 KBO’ 시상식에서 양현종은 강력한 정규시즌 MVP 후보로 꼽히고 있다.

6일	6/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
코엑스	코엑스/NNP
하모니볼룸에서	하모니볼룸/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘2017	‘/SS+2017/SN
타이어뱅크	타이어뱅크/NNP
KBO’	KBO/SL+’/SS
시상식에서	시상식/NNG+에서/JKB
양현종은	양현종/NNP+은/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
정규시즌	정규/NNG+시즌/NNG
MVP	MVP/SL
후보로	후보/NNG+로/JKB
꼽히고	꼽히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.236.4.2
앞서 한국시리즈에서 양현종은 2차전 완봉승에 이어 KIA가 우승을 확정지은 5차전에서 세이브를 기록해 시리즈 MVP에 선정됐다.

앞서	앞서/MAG
한국시리즈에서	한국/NNP+시리즈/NNG+에서/JKB
양현종은	양현종/NNP+은/JX
2차전	2/SN+차전/NNB
완봉승에	완봉/NNG+승/NNG+에/JKB
이어	잇/VV+어/EC
KIA가	KIA/SL+가/JKS
우승을	우승/NNG+을/JKO
확정지은	확정/NNG+짓/VV+은/ETM
5차전에서	5/SN+차전/NNB+에서/JKB
세이브를	세이브/NNG+를/JKO
기록해	기록/NNG+하/XSV+아/EC
시리즈	시리즈/NNG
