# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.293
metadata : {}


# id : NWRW1800000054.293.1.1
[기자의 視角] 情이라는 소프트웨어

[기자의	[/SS+기자/NNG+의/JKG
視角]	視角/SH+]/SS
情이라는	情/SH+이/VCP+라는/ETM
소프트웨어	소프트웨어/NNG


# id : NWRW1800000054.293.2.1
몇 년 전 여름 오사카에 다녀왔다.

몇	몇/NR
년	년/NNB
전	전/NNG
여름	여름/NNG
오사카에	오사카/NNP+에/JKB
다녀왔다.	다녀오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.293.2.2
일본 여행은 처음이었다.

일본	일본/NNP
여행은	여행/NNG+은/JX
처음이었다.	처음/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.293.2.3
일행은 다들 침대가 있는 호텔 대신 전통 숙박 시설인 료칸(旅館)에서 묵자고 했다.

일행은	일행/NNG+은/JX
다들	다/MAG+들/XSN
침대가	침대/NNG+가/JKS
있는	있/VA+는/ETM
호텔	호텔/NNG
대신	대신/NNG
전통	전통/NNG
숙박	숙박/NNG
시설인	시설/NNG+이/VCP+ㄴ/ETM
료칸(旅館)에서	료칸/NNG+(/SS+旅館/SH+)/SS+에서/JKB
묵자고	묵/VV+자고/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.293.2.4
일본식 돗자리인 다다미가 깔린 방에 요를 펴고 누웠는데 의외로 푹신했다.

일본식	일본식/NNG
돗자리인	돗자리/NNG+이/VCP+ㄴ/ETM
다다미가	다다미/NNG+가/JKS
깔린	깔리/VV+ㄴ/ETM
방에	방/NNG+에/JKB
요를	요/NNG+를/JKO
펴고	펴/VV+고/EC
누웠는데	눕/VV+었/EP+는데/EC
의외로	의외로/MAG
푹신했다.	푹신/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000054.293.3.1
며칠 전 한 강원도 지역 공무원과 1년 앞으로 다가온 평창 동계올림픽 얘기를 나누다 다다미가 화제에 올랐다.

며칠	며칠/NNG
전	전/NNG
한	한/MMN
강원도	강원도/NNP
지역	지역/NNG
공무원과	공무원/NNG+과/JKB
1년	1/SN+년/NNB
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
평창	평창/NNP
동계올림픽	동계/NNG+올림픽/NNG
얘기를	얘기/NNG+를/JKO
나누다	나누/VV+다/EC
다다미가	다다미/NNG+가/JKS
화제에	화제/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.293.3.2
그는 "일본은 다다미 방을 관광 상품으로 내세우는데, 우린 온돌방에 침대가 없다고 외국인 손님 준비가 소홀하다는 비판을 받는다"며 한숨을 쉬었다.

그는	그/NP+는/JX
"일본은	"/SS+일본/NNP+은/JX
다다미	다다미/NNG
방을	방/NNG+을/JKO
관광	관광/NNG
상품으로	상품/NNG+으로/JKB
내세우는데,	내세우/VV+는데/EC+,/SP
우린	우리/NP+ㄴ/JX
온돌방에	온돌방/NNG+에/JKB
침대가	침대/NNG+가/JKS
없다고	없/VA+다고/EC
외국인	외국인/NNG
손님	손/NNG+님/XSN
준비가	준비/NNG+가/JKS
소홀하다는	소홀/NNG+하/XSA+다는/ETM
비판을	비판/NNG+을/JKO
받는다"며	받/VV+는다/EF+"/SS+며/EC
한숨을	한/XPN+숨/NNG+을/JKO
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.293.4.1
이번 겨울 들어 평창과 강릉의 올림픽 경기장에선 세계적 선수들이 참가하는 '테스트 대회'가 잇따라 열리고 있다.

이번	이번/NNG
겨울	겨울/NNG
들어	들/VV+어/EC
평창과	평창/NNP+과/JC
강릉의	강릉/NNP+의/JKG
올림픽	올림픽/NNG
경기장에선	경기장/NNG+에서/JKB+ㄴ/JX
세계적	세계/NNG+적/XSN
선수들이	선수/NNG+들/XSN+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
'테스트	'/SS+테스트/NNG
대회'가	대회/NNG+'/SS+가/JKS
잇따라	잇따르/VV+아/EC
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.293.4.2
강원도와 올림픽조직위원회가 마련해 놓은 문화 행사도 다양하다.

강원도와	강원도/NNP+와/JC
올림픽조직위원회가	올림픽/NNG+조직/NNG+위원회/NNG+가/JKS
마련해	마련/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
문화	문화/NNG
행사도	행사/NNG+도/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


