# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.44
metadata : {}


# id : NWRW1800000046.44.1.1
美 뉴저지 '기말시험 폐지' 교육개혁에… 아시아계 반발

美	美/SH
뉴저지	뉴저지/NNP
'기말시험	'/SS+기말시험/NNG
폐지'	폐지/NNG+'/SS
교육개혁에…	교육/NNG+개혁/NNG+에/JKB+…/SE
아시아계	아시아/NNP+계/XSN
반발	반발/NNG


# id : NWRW1800000046.44.2.1
'우리에게 위기가 닥쳤습니다.

'우리에게	'/SS+우리/NP+에게/JKB
위기가	위기/NNG+가/JKS
닥쳤습니다.	닥치/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000046.44.2.2
학생들이 너무 많은 공부와 과중한 부담에 시달리고 있습니다.'

학생들이	학생/NNG+들/XSN+이/JKS
너무	너무/MAG
많은	많/VA+은/ETM
공부와	공부/NNG+와/JC
과중한	과중하/VA+ㄴ/ETM
부담에	부담/NNG+에/JKB
시달리고	시달리/VV+고/EC
있습니다.'	있/VX+습니다/EF+./SF+'/SS


# id : NWRW1800000046.44.3.1
미국 뉴저지주의 한 교육감이 학부모들에게 16쪽짜리 장문의 편지를 보내 학생들의 과중한 학업 부담을 없애줘야 한다고 제안했다.

미국	미국/NNP
뉴저지주의	뉴저지주/NNP+의/JKG
한	한/MMN
교육감이	교육감/NNG+이/JKS
학부모들에게	학부모/NNG+들/XSN+에게/JKB
16쪽짜리	16/SN+쪽/NNG+짜리/XSN
장문의	장문/NNG+의/JKG
편지를	편지/NNG+를/JKO
보내	보내/VV+어/EC
학생들의	학생/NNG+들/XSN+의/JKG
과중한	과중하/VA+ㄴ/ETM
학업	학업/NNG
부담을	부담/NNG+을/JKO
없애줘야	없애/VV+어/EC+주/VX+어야/EC
한다고	하/VX+ㄴ다고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.44.3.2
이 편지를 둘러싸고 찬성하는 백인계와 반대하는 아시아계 학부모가 양분돼 대립하면서 성적 위주 학교 교육에 대한 미국 사회의 찬반 논쟁을 상징적으로 보여주고 있다고 미국 일간지 뉴욕타임스(NYT)가 26일(현지 시각) 보도했다.

이	이/MMD
편지를	편지/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
찬성하는	찬성/NNG+하/XSV+는/ETM
