# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.25
metadata : {}


# id : NWRW1800000048.25.1.1
대림그룹 ‘지배구조 개편’ 경영승계 본격화

대림그룹	대림그룹/NNP
‘지배구조	‘/SS+지배/NNG+구조/NNG
개편’	개편/NNG+’/SS
경영승계	경영/NNG+승계/NNG
본격화	본격/NNG+화/XSN


# id : NWRW1800000048.25.2.1
대림코퍼레이션·I&S 합쳐

대림코퍼레이션·I&S	대림코퍼레이션/NNP+·/SP+I/SL+&/SW+S/SL
합쳐	합치/VV+어/EC


# id : NWRW1800000048.25.3.1
이해욱 부회장 지배력 높아져

이해욱	이해욱/NNP
부회장	부회장/NNG
지배력	지배력/NNG
높아져	높아지/VV+어/EC


# id : NWRW1800000048.25.4.1
지주회사 체제 재편 한진그룹도

지주회사	지주/NNG+회사/NNG
체제	체제/NNG
재편	재편/NNG
한진그룹도	한진그룹/NNP+도/JX


# id : NWRW1800000048.25.5.1
한진칼·정석기업 합병 검토

한진칼·정석기업	한진칼/NNP+·/SP+정석기업/NNP
합병	합병/NNG
검토	검토/NNG


# id : NWRW1800000048.25.6.1
대주주 일가의 경영권 강화와 차세대 승계를 염두에 둔 기업들의 지배구조 개편 작업이 잇따르고 있다.

대주주	대/XPN+주주/NNG
일가의	일가/NNG+의/JKG
경영권	경영/NNG+권/XSN
강화와	강화/NNG+와/JC
차세대	차세대/NNG
승계를	승계/NNG+를/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
기업들의	기업/NNG+들/XSN+의/JKG
지배구조	지배/NNG+구조/NNG
개편	개편/NNG
작업이	작업/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.25.7.1
대림코퍼레이션은 22일 이사회를 열어 계열사인 대림아이앤에스(I&S)와의 사업 통합을 위한 합병을 결의했다고 밝혔다.

대림코퍼레이션은	대림코퍼레이션/NNP+은/JX
22일	22/SN+일/NNB
이사회를	이사회/NNG+를/JKO
열어	열/VV+어/EC
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
대림아이앤에스(I&S)와의	대림아이앤에스/NNP+(/SS+I/SL+&/SW+S/SL+)/SS+와/JKB+의/JKG
사업	사업/NNG
통합을	통합/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
합병을	합병/NNG+을/JKO
결의했다고	결의/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.25.7.2
김진서 대림코퍼레이션 대표이사는 “이번 합병은 경영 시너지를 극대화하는 것은 물론 수익구조를 다변화하고 재무구조를 개선하려는 전략적 선택”이라고 설명했다.

김진서	김진서/NNP
대림코퍼레이션	대림코퍼레이션/NNP
대표이사는	대표/NNG+이사/NNG+는/JX
“이번	“/SS+이번/NNG
합병은	합병/NNG+은/JX
경영	경영/NNG
시너지를	시너지/NNG+를/JKO
극대화하는	극대/NNG+화/XSN+하/XSV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
수익구조를	수익/NNG+구조/NNG+를/JKO
다변화하고	다변/NNG+화/XSN+하/XSV+고/EC
재무구조를	재무/NNG+구조/NNG+를/JKO
개선하려는	개선/NNG+하/XSV+려는/ETM
전략적	전략/NNG+적/XSN
선택”이라고	선택/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.25.7.3
두 회사는 다음달 26일 주주총회 결의를 거쳐 오는 7월1일 합병 절차를 마무리할 방침이다.

두	두/MMN
회사는	회사/NNG+는/JX
다음달	다음/NNG+달/NNG
26일	26/SN+일/NNB
주주총회	주주/NNG+총회/NNG
결의를	결의/NNG+를/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
7월1일	7/SN+월/NNB+1/SN+일/NNB
합병	합병/NNG
절차를	절차/NNG+를/JKO
마무리할	마무리/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.25.7.4
물류·석유화학 거래 등을 하는 대림코퍼레이션은 아파트 브랜드 ‘e편한세상’으로 유명한 건설사인 대림산업의 지분 21.67%를 가지고 있어 사실상 그룹 지주회사 구실을 하고 있다.

물류·석유화학	물류/NNG+·/SP+석유/NNG+화학/NNG
거래	거래/NNG
등을	등/NNB+을/JKO
하는	하/VV+는/ETM
대림코퍼레이션은	대림코퍼레이션/NNP+은/JX
아파트	아파트/NNG
브랜드	브랜드/NNG
‘e편한세상’으로	‘/SS+e편한세상/NNG+’/SS+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
건설사인	건설사/NNG+이/VCP+ㄴ/ETM
대림산업의	대림산업/NNP+의/JKG
지분	지분/NNG
21.67%를	21/SN+./SP+67/SN+%/SW+를/JKO
가지고	가지/VV+고/EC
있어	있/VX+어/EC
사실상	사실/NNG+상/XSN
그룹	그룹/NNG
지주회사	지주/NNG+회사/NNG
구실을	구실/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.25.7.5
대림아이앤에스는 정보기술업체다.

대림아이앤에스는	대림아이앤에스/NNP+는/JX
정보기술업체다.	정보/NNG+기술업체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.25.8.1
이번 합병은 지배구조 개편을 통한 ‘3세 경영’의 본격화 절차로 풀이된다.

이번	이번/NNG
합병은	합병/NNG+은/JX
지배구조	지배/NNG+구조/NNG
개편을	개편/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
‘3세	‘/SS+3/SN+세/NNB
경영’의	경영/NNG+’/SS+의/JKG
본격화	본격/NNG+화/XSN
절차로	절차/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.25.8.2
