# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.396
metadata : {}


# id : NWRW1800000033.396.1.1
[수도권]‘서울형 기초보장제’ 윤곽… 내년에 기초수급 못받는 저소득층 6만명 생계비 지원

[수도권]‘서울형	[/SS+수도/NNG+권/XSN+]/SS+‘/SS+서울/NNP+형/XSN
기초보장제’	기초/NNG+보장/NNG+제/XSN+’/SS
윤곽…	윤곽/NNG+…/SE
내년에	내년/NNG+에/JKB
기초수급	기초/NNG+수급/NNG
못받는	못/MAG+받/VV+는/ETM
저소득층	저/XPN+소득/NNG+층/XSN
6만명	6/SN+만/NR+명/NNB
생계비	생계비/NNG
지원	지원/NNG


# id : NWRW1800000033.396.2.1
임대주택 13만5000채 공급

임대주택	임대/NNG+주택/NNG
13만5000채	13/SN+만/NR+5000/SN+채/NNB
공급	공급/NNG


# id : NWRW1800000033.396.3.1
서울시는 국가 차원에서 정하는 최저생계비와는 별개로 서울의 실제 물가를 반영한 새로운 최저생계비를 산출하기로 했다.

서울시는	서울시/NNP+는/JX
국가	국가/NNG
차원에서	차원/NNG+에서/JKB
정하는	정하/VV+는/ETM
최저생계비와는	최저/NNG+생계비/NNG+와/JKB+는/JX
별개로	별개/NNG+로/JKB
서울의	서울/NNP+의/JKG
실제	실제/NNG
물가를	물가/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
최저생계비를	최저/NNG+생계비/NNG+를/JKO
산출하기로	산출/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.396.4.1
시는 서울형 최저생계비를 적용하는 ‘서울형기초보장제도’를 도입해 국가가 정한 기초생활수급자 기준에는 들지 않지만 서울형 최저생계비 이하의 수입을 올리는 가구에 추가로 생계비를 지원하는 방안을 추진한다.

시는	시/NNG+는/JX
서울형	서울/NNP+형/XSN
최저생계비를	최저/NNG+생계비/NNG+를/JKO
적용하는	적용/NNG+하/XSV+는/ETM
‘서울형기초보장제도’를	‘/SS+서울/NNP+형/XSN+기초/NNG+보장/NNG+제도/NNG+’/SS+를/JKO
도입해	도입/NNG+하/XSV+아/EC
국가가	국가/NNG+가/JKS
정한	정하/VV+ㄴ/ETM
기초생활수급자	기초/NNG+생활/NNG+수급자/NNG
기준에는	기준/NNG+에/JKB+는/JX
들지	들/VV+지/EC
않지만	않/VX+지만/EC
최저생계비	최저/NNG+생계비/NNG
이하의	이하/NNG+의/JKG
수입을	수입/NNG+을/JKO
올리는	올리/VV+는/ETM
가구에	가구/NNG+에/JKB
추가로	추가/NNG+로/JKB
생계비를	생계비/NNG+를/JKO
