# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.21
metadata : {}


# id : NWRW1800000049.21.1.1
“하반기 집값 강보합… 지역별 쏠림 심화”

“하반기	“/SS+하반기/NNG
집값	집값/NNG
강보합…	강보합/NNG+…/SE
지역별	지역/NNG+별/XSN
쏠림	쏠리/VV+ㅁ/ETN
심화”	심화/NNG+”/SS


# id : NWRW1800000049.21.2.1
부동산전문가 20명, 시장 전망

부동산전문가	부동산/NNG+전문가/NNG
20명,	20/SN+명/NNB+,/SP
시장	시장/NNG
전망	전망/NNG


# id : NWRW1800000049.21.3.1
“집값은 보합 또는 소폭 상승하고, 지역별 상품별 차별화는 심해진다.”

“집값은	“/SS+집값/NNG+은/JX
보합	보합/NNG
또는	또는/MAG
소폭	소폭/MAG
상승하고,	상승/NNG+하/XSV+고/EC+,/SP
지역별	지역/NNG+별/XSN
상품별	상품/NNG+별/XSN
차별화는	차별/NNG+화/XSN+는/JX
심해진다.”	심하/VA+아/EC+지/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000049.21.4.1
부동산 전문가들이 전망하는 올해 하반기(7∼12월) 부동산시장의 기상도는 이렇게 요약할 수 있다.

부동산	부동산/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
전망하는	전망/NNG+하/XSV+는/ETM
올해	올해/NNG
하반기(7∼12월)	하반기/NNG+(/SS+7/SN+∼/SO+12/SN+월/NNB+)/SS
부동산시장의	부동산/NNG+시장/NNG+의/JKG
기상도는	기상도/NNG+는/JX
이렇게	이렇/VA+게/EC
요약할	요약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.21.4.2
동아일보가 부동산 전문가 20명을 대상으로 실시한 설문조사에서 전문가들은 “저금리, 유동성 장세 속에서 부동산에 대한 관심은 여전히 유효하다”고 응답했다.

동아일보가	동아일보/NNP+가/JKS
부동산	부동산/NNG
전문가	전문가/NNG
20명을	20/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
설문조사에서	설문/NNG+조사/NNG+에서/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
“저금리,	“/SS+저/XPN+금리/NNG+,/SP
유동성	유동/NNG+성/XSN
장세	장세/NNG
속에서	속/NNG+에서/JKB
부동산에	부동산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심은	관심/NNG+은/JX
여전히	여전히/MAG
유효하다”고	유효/NNG+하/XSA+다/EF+”/SS+고/JKQ
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.4.3
하지만 일부 지역과 상품에만 수요가 쏠리는 차별화 현상이 나타날 것으로 보여 신중한 투자가 필요하다고 주문했다.

하지만	하지만/MAJ
일부	일부/NNG
지역과	지역/NNG+과/JC
상품에만	상품/NNG+에/JKB+만/JX
수요가	수요/NNG+가/JKS
쏠리는	쏠리/VV+는/ETM
차별화	차별/NNG+화/XSN
현상이	현상/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보여	보이/VV+어/EC
신중한	신중/NNG+하/XSA+ㄴ/ETM
투자가	투자/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.5.1
○ 집값 보합세…강남 재건축 다소 고평가

○	○/SW
집값	집값/NNG
보합세…강남	보합세/NNG+…/SE+강남/NNP
재건축	재/XPN+건축/NNG
다소	다소/MAG
고평가	고/XPN+평가/NNG


# id : NWRW1800000049.21.6.1
