# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.227
metadata : {}


# id : NWRW1800000029.227.1.1
‘부부간 강제 성관계, 강간죄 성립’

‘부부간	‘/SS+부부간/NNG
강제	강제/NNG
성관계,	성관계/NNG+,/SP
강간죄	강간죄/NNG
성립’	성립/NNG+’/SS


# id : NWRW1800000029.227.2.1
항소심 잇달아 유죄선고… 40년된 대법판례 바뀌나

항소심	항소심/NNG
잇달아	잇달/VV+아/EC
유죄선고…	유죄/NNG+선고/NNG+…/SE
40년된	40/SN+년/NNB+되/VV+ㄴ/ETM
대법판례	대법/NNG+판례/NNG
바뀌나	바뀌/VV+나/EC


# id : NWRW1800000029.227.3.1
부부간의 강제적 성관계에 강간죄를 인정하는 항소심 판결이 잇따르고 있어 대법원 판결로 확정될지 주목되고 있다.

부부간의	부부간/NNG+의/JKG
강제적	강제/NNG+적/XSN
성관계에	성관계/NNG+에/JKB
강간죄를	강간죄/NNG+를/JKO
인정하는	인정/NNG+하/XSV+는/ETM
항소심	항소심/NNG
판결이	판결/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있어	있/VX+어/EC
대법원	대/XPN+법원/NNG
판결로	판결/NNG+로/JKB
확정될지	확정/NNG+되/XSV+ㄹ지/EF
주목되고	주목/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.227.3.2
대법원이 부부간에는 강간죄가 성립하지 않는다고 판단했던 것은 40여 년 전인 1970년.

대법원이	대/XPN+법원/NNG+이/JKS
부부간에는	부부간/NNG+에/JKB+는/JX
강간죄가	강간죄/NNG+가/JKS
성립하지	성립/NNG+하/XSV+지/EC
않는다고	않/VX+는다고/EC
판단했던	판단/NNG+하/XSV+았/EP+던/ETM
것은	것/NNB+은/JX
40여	40/SN+여/XSN
년	년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
1970년.	1970/SN+년/NNB+./SF


# id : NWRW1800000029.227.3.3
하지만 검찰 기소는 물론이고 1심 재판에서 부부간의 강간죄를 인정하는 판결이 나온 뒤 최근에는 2심에서도 유죄를 선고하는 경우가 잦아지고 있다.

하지만	하지만/MAJ
검찰	검찰/NNG
기소는	기소/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
1심	1심/NNG
재판에서	재판/NNG+에서/JKB
부부간의	부부간/NNG+의/JKG
강간죄를	강간죄/NNG+를/JKO
인정하는	인정/NNG+하/XSV+는/ETM
판결이	판결/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
최근에는	최근/NNG+에/JKB+는/JX
2심에서도	2심/NNG+에서/JKB+도/JX
유죄를	유죄/NNG+를/JKO
선고하는	선고/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
잦아지고	잦아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.227.4.1
서울고법 형사9부(부장판사 최상열)는 25일 술을 마신 뒤 과도로 아내 이모 씨(40)를 위협한 뒤 강간한 혐의로 기소된 정모 씨(40)에게 징역 2년 6개월과 집행유예 3년을 선고했다고 25일 밝혔다.

서울고법	서울고법/NNP
형사9부(부장판사	형사/NNG+9/SN+부/NNG+(/SS+부장/NNG+판사/NNG
최상열)는	최상열/NNP+)/SS+는/JX
25일	25/SN+일/NNB
술을	술/NNG+을/JKO
마신	마시/VV+ㄴ/ETM
뒤	뒤/NNG
과도로	과도/NNG+로/JKB
아내	아내/NNG
이모	이/NNP+모/NP
씨(40)를	씨/NNB+(/SS+40/SN+)/SS+를/JKO
위협한	위협/NNG+하/XSV+ㄴ/ETM
강간한	강간/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
정모	정/NNP+모/NP
씨(40)에게	씨/NNB+(/SS+40/SN+)/SS+에게/JKB
징역	징역/NNG
2년	2/SN+년/NNB
6개월과	6/SN+개월/NNB+과/JC
집행유예	집행/NNG+유예/NNG
3년을	3/SN+년/NNB+을/JKO
선고했다고	선고/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.227.4.2
재판부는 “형법에서 강간죄 대상을 ‘부녀’로 규정하고 있을 뿐 다른 제한을 두고 있지 않으므로 법률상 부인이 강간죄 대상에서 제외된다고 볼 수 없다”며 “부부라도 폭행과 협박으로 강제로 성관계를 할 권리까지 있는 것이 아니다”라고 밝혔다.

재판부는	재판부/NNG+는/JX
“형법에서	“/SS+형법/NNG+에서/JKB
강간죄	강간죄/NNG
대상을	대상/NNG+을/JKO
‘부녀’로	‘/SS+부녀/NNG+’/SS+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
있을	있/VX+을/ETM
뿐	뿐/NNB
다른	다른/MMD
제한을	제한/NNG+을/JKO
두고	두/VV+고/EC
있지	있/VX+지/EC
않으므로	않/VX+으므로/EC
법률상	법률/NNG+상/XSN
부인이	부인/NNG+이/JKS
대상에서	대상/NNG+에서/JKB
제외된다고	제외/NNG+되/XSV+ㄴ다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“부부라도	“/SS+부부/NNG+이/VCP+라도/EC
폭행과	폭행/NNG+과/JC
협박으로	협박/NNG+으로/JKB
강제로	강제/NNG+로/JKB
성관계를	성관계/NNG+를/JKO
할	하/VV+ㄹ/ETM
권리까지	권리/NNG+까지/JX
있는	있/VA+는/ETM
것이	것/NNB+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.227.5.1
정 씨는 4월 경제 문제로 갈등을 겪던 아내 이 씨가 아이들에게 밥을 차려주지 않고 잠을 자는 것에 격분해 술을 마시고 칼로 찔러 전치 2주의 상해를 입히고 강간한 혐의로 기소됐다.

정	정/NNP
씨는	씨/NNB+는/JX
4월	4/SN+월/NNB
경제	경제/NNG
문제로	문제/NNG+로/JKB
갈등을	갈등/NNG+을/JKO
겪던	겪/VV+던/ETM
아내	아내/NNG
이	이/NNP
씨가	씨/NNB+가/JKS
아이들에게	아이/NNG+들/XSN+에게/JKB
밥을	밥/NNG+을/JKO
차려주지	차리/VV+어/EC+주/VX+지/EC
않고	않/VX+고/EC
잠을	잠/NNG+을/JKO
자는	자/VV+는/ETM
것에	것/NNB+에/JKB
격분해	격분/NNG+하/XSV+아/EC
술을	술/NNG+을/JKO
마시고	마시/VV+고/EC
칼로	칼/NNG+로/JKB
찔러	찌르/VV+어/EC
전치	전치/NNG
2주의	2/SN+주/NNB+의/JKG
상해를	상해/NNG+를/JKO
입히고	입히/VV+고/EC
강간한	강간/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.227.5.2
정 씨가 판결에 불복해 대법원에 상고할지는 아직 미지수다.

정	정/NNP
씨가	씨/NNB+가/JKS
판결에	판결/NNG+에/JKB
불복해	불복/NNG+하/XSV+아/EC
대법원에	대/XPN+법원/NNG+에/JKB
상고할지는	상고/NNG+하/XSV+ㄹ지/EF+는/JX
아직	아직/MAG
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.227.6.1
지난해 12월 서울고법 형사7부(부장판사 김인욱)도 아내를 폭행하고 강간한 혐의로 기소된 양모 씨(21)에게 징역 3년과 집행유예 4년의 판결을 내린 바 있다.

지난해	지난해/NNG
12월	12/SN+월/NNB
서울고법	서울고법/NNP
형사7부(부장판사	형사/NNG+7/SN+부/NNG+(/SS+부장/NNG+판사/NNG
김인욱)도	김인욱/NNP+)/SS+도/JX
아내를	아내/NNG+를/JKO
폭행하고	폭행/NNG+하/XSV+고/EC
강간한	강간/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
양모	양/NNP+모/NP
씨(21)에게	씨/NNB+(/SS+21/SN+)/SS+에게/JKB
징역	징역/NNG
3년과	3/SN+년/NNB+과/JC
집행유예	집행/NNG+유예/NNG
4년의	4/SN+년/NNB+의/JKG
판결을	판결/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.227.6.2
이는 항소심 재판부에서 부부간 강제적 성관계에 강간죄가 성립한다고 판단한 첫 판결이었다.

이는	이/NP+는/JX
항소심	항소심/NNG
재판부에서	재판부/NNG+에서/JKB
부부간	부부간/NNG
강제적	강제/NNG+적/XSN
성관계에	성관계/NNG+에/JKB
강간죄가	강간죄/NNG+가/JKS
성립한다고	성립/NNG+하/XSV+ㄴ다고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
판결이었다.	판결/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.227.7.1
당시 재판부도 “부부 사이에 한쪽의 성적 요구에 응할 의무가 있다고 하더라도 폭행을 당하면서 강압적으로 성관계를 요구받은 경우는 의무의 한계를 벗어난 것”이라며 “국가 형벌권을 발동해 배우자의 성적 자기결정권을 보호할 필요가 있는 것은 명백하다”고 판단했다.

당시	당시/NNG
재판부도	재판부/NNG+도/JX
“부부	“/SS+부부/NNG
사이에	사이/NNG+에/JKB
한쪽의	한쪽/NNG+의/JKG
성적	성/NNG+적/XSN
요구에	요구/NNG+에/JKB
응할	응하/VV+ㄹ/ETM
의무가	의무/NNG+가/JKS
있다고	있/VA+다고/EC
하더라도	하/VV+더라도/EC
폭행을	폭행/NNG+을/JKO
당하면서	당하/VV+면서/EC
강압적으로	강압/NNG+적/XSN+으로/JKB
성관계를	성관계/NNG+를/JKO
요구받은	요구/NNG+받/XSV+은/ETM
경우는	경우/NNG+는/JX
의무의	의무/NNG+의/JKG
한계를	한계/NNG+를/JKO
벗어난	벗어나/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“국가	“/SS+국가/NNG
형벌권을	형벌/NNG+권/XSN+을/JKO
발동해	발동/NNG+하/XSV+아/EC
배우자의	배우자/NNG+의/JKG
자기결정권을	자기/NNG+결정/NNG+권/XSN+을/JKO
보호할	보호/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있는	있/VA+는/ETM
것은	것/NNB+은/JX
명백하다”고	명백하/VA+다/EF+”/SS+고/JKQ
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.227.7.2
양 씨는 항소심 판결을 받아들였고 대법원에 상고하지 않아 그대로 확정됐다.

양	양/NNP
씨는	씨/NNB+는/JX
항소심	항소심/NNG
판결을	판결/NNG+을/JKO
받아들였고	받아들이/VV+었/EP+고/EC
대법원에	대/XPN+법원/NNG+에/JKB
상고하지	상고/NNG+하/XSV+지/EC
않아	않/VX+아/EC
그대로	그대로/MAG
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.227.8.1
하지만 부부간에는 강간죄가 성립하지 않는다는 기존 대법원 판결은 여전히 판단의 기준으로 작용하고 있다.

하지만	하지만/MAJ
부부간에는	부부간/NNG+에/JKB+는/JX
강간죄가	강간죄/NNG+가/JKS
성립하지	성립/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
기존	기존/NNG
대법원	대/XPN+법원/NNG
판결은	판결/NNG+은/JX
여전히	여전히/MAG
판단의	판단/NNG+의/JKG
기준으로	기준/NNG+으로/JKB
작용하고	작용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.227.8.2
만약 정 씨가 대법원에 상고할 경우 ‘아내의 성적 자기결정권을 부당하게 침해해서는 안 된다는 사회적 공감대가 형성됐다’는 견해와 ‘제3자가 판단하기 힘든 부부 생활의 내밀한 영역까지 국가가 개입하고 법으로 해결하는 것이 정당한 것인가’라는 반론을 두고 상당한 논쟁이 일 것으로 보인다.

만약	만약/NNG
정	정/NNP
씨가	씨/NNB+가/JKS
대법원에	대/XPN+법원/NNG+에/JKB
상고할	상고/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
‘아내의	‘/SS+아내/NNG+의/JKG
성적	성/NNG+적/XSN
자기결정권을	자기/NNG+결정/NNG+권/XSN+을/JKO
부당하게	부당/NNG+하/XSA+게/EC
침해해서는	침해/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
사회적	사회/NNG+적/XSN
공감대가	공감대/NNG+가/JKS
형성됐다’는	형성/NNG+되/XSV+었/EP+다/EF+’/SS+는/ETM
견해와	견해/NNG+와/JKB
‘제3자가	‘/SS+제3자/NNG+가/JKS
판단하기	판단/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
부부	부부/NNG
생활의	생활/NNG+의/JKG
내밀한	내밀/NNG+하/XSA+ㄴ/ETM
영역까지	영역/NNG+까지/JX
국가가	국가/NNG+가/JKS
개입하고	개입/NNG+하/XSV+고/EC
법으로	법/NNG+으로/JKB
해결하는	해결/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
정당한	정당하/VA+ㄴ/ETM
것인가’라는	것/NNB+이/VCP+ㄴ가/EF+’/SS+이/VCP+라는/ETM
반론을	반론/NNG+을/JKO
두고	두/VV+고/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
논쟁이	논쟁/NNG+이/JKS
일	일/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.227.9.1
2009년 부산지법이 부부간 강간죄를 처음으로 인정하는 1심 판결을 내릴 때도 “국가가 개입해 부부관계를 파탄 내는 것이 아니라, 강간으로 혼인 관계가 파탄 났기 때문에 이 죄를 적용한 것”이라며 선을 그은 바 있다.

2009년	2009/SN+년/NNB
부산지법이	부산지법/NNP+이/JKS
부부간	부부간/NNG
강간죄를	강간죄/NNG+를/JKO
처음으로	처음/NNG+으로/JKB
인정하는	인정/NNG+하/XSV+는/ETM
1심	1심/NNG
판결을	판결/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
때도	때/NNG+도/JX
