# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.93
metadata : {}


# id : NWRW1800000053.93.1.1
관객엔 정보, 공연계엔 짭짤한 수입… 프로그램북의 세계

관객엔	관객/NNG+에/JKB+ㄴ/JX
정보,	정보/NNG+,/SP
공연계엔	공연/NNG+계/XSN+에/JKB+ㄴ/JX
짭짤한	짭짤하/VA+ㄴ/ETM
수입…	수입/NNG+…/SE
프로그램북의	프로그램/NNG+북/NNG+의/JKG
세계	세계/NNG


# id : NWRW1800000053.93.2.1
연극은 텍스트, 뮤지컬은 화보 위주… 국립극단의 책자는 ‘가성비 갑’ 꼽혀 사진 구성 놓고 배우들 간 신경전도

연극은	연극/NNG+은/JX
텍스트,	텍스트/NNG+,/SP
뮤지컬은	뮤지컬/NNG+은/JX
화보	화보/NNG
위주…	위주/NNG+…/SE
국립극단의	국립극단/NNP+의/JKG
책자는	책자/NNG+는/JX
‘가성비	‘/SS+가성비/NNG
갑’	갑/NNG+’/SS
꼽혀	꼽히/VV+어/EC
사진	사진/NNG
구성	구성/NNG
놓고	놓/VV+고/EC
배우들	배우/NNG+들/XSN
간	간/NNB
신경전도	신경전/NNG+도/JX


# id : NWRW1800000053.93.3.1
연극, 뮤지컬 공연의 기념상품(MD) 중 독보적인 판매량을 보이는 ‘효자’ 상품은 단연 프로그램 북이다.

연극,	연극/NNG+,/SP
뮤지컬	뮤지컬/NNG
공연의	공연/NNG+의/JKG
기념상품(MD)	기념상품/NNG+(/SS+MD/SL+)/SS
중	중/NNB
독보적인	독보/NNG+적/XSN+이/VCP+ㄴ/ETM
판매량을	판매량/NNG+을/JKO
보이는	보이/VV+는/ETM
‘효자’	‘/SS+효자/NNG+’/SS
상품은	상품/NNG+은/JX
단연	단연/MAG
프로그램	프로그램/NNG
북이다.	북/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.93.3.2
공연 길잡이로 통할 만큼 작품에 대한 다양한 정보가 수록돼 있기 때문이다.

공연	공연/NNG
길잡이로	길잡이/NNG+로/JKB
통할	통하/VV+ㄹ/ETM
만큼	만큼/NNB
작품에	작품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
정보가	정보/NNG+가/JKS
수록돼	수록/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.93.4.1
연극, 뮤지컬 프로그램 북은 장르에 따라 구성의 차이를 보인다.

연극,	연극/NNG+,/SP
뮤지컬	뮤지컬/NNG
프로그램	프로그램/NNG
북은	북/NNG+은/JX
장르에	장르/NNG+에/JKB
따라	따르/VV+아/EC
구성의	구성/NNG+의/JKG
차이를	차이/NNG+를/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.93.4.2
연극 프로그램 북은 사진보단 텍스트 비중이 큰 편이다.

연극	연극/NNG
프로그램	프로그램/NNG
북은	북/NNG+은/JX
