# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.350
metadata : {}


# id : NWRW1800000046.350.1.1
與 "이석기 사면 해명하라" 野 "또 從北 색깔론"

與	與/SH
"이석기	"/SS+이석기/NNP
사면	사면/NNG
해명하라"	해명/NNG+하/XSV+라/EF+"/SS
野	野/SH
"또	"/SS+또/MAG
從北	從北/SH
색깔론"	색깔/NNG+론/XSN+"/SS


# id : NWRW1800000046.350.2.1
사면 책임론 공방 확전

사면	사면/NNG
책임론	책임/NNG+론/XSN
공방	공방/NNG
확전	확전/NNG


# id : NWRW1800000046.350.3.1
새누리당 김무성 대표는 26일 4·29 보궐선거가 치러지는 성남 중원 유세 중 기자들과 만나 2003년에 이뤄졌던 이석기 전 통진당 의원의 특별사면에 대해 "이 전 의원이 어떻게 해서 국가보안법 위반 사범임에도 불과 5개월 만에 가석방되고 2년 만에 특별복권됐는지 도저히 이해할 수 없다"면서 당시 민정수석이던 문재인 (새정치민주연합) 대표에게 해명을 요구했다.

새누리당	새누리당/NNP
김무성	김무성/NNP
대표는	대표/NNG+는/JX
26일	26/SN+일/NNB
4·29	4/SN+·/SP+29/SN
보궐선거가	보궐/NNG+선거/NNG+가/JKS
치러지는	치르/VV+어/EC+지/VX+는/ETM
성남	성남/NNP
중원	중원/NNP
유세	유세/NNG
중	중/NNB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
2003년에	2003/SN+년/NNB+에/JKB
이뤄졌던	이뤄지/VV+었/EP+던/ETM
이석기	이석기/NNP
전	전/MMD
통진당	통진당/NNP
의원의	의원/NNG+의/JKG
특별사면에	특별/NNG+사면/NNG+에/JKB
대해	대하/VV+아/EC
"이	"/SS+이/NNP
의원이	의원/NNG+이/JKS
어떻게	어떻/VA+게/EC
해서	하/VV+아서/EC
국가보안법	국가/NNG+보안법/NNG
위반	위반/NNG
사범임에도	사범/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
불과	불과/MAG
5개월	5/SN+개월/NNB
만에	만/NNB+에/JKB
가석방되고	가/XPN+석방/NNG+되/XSV+고/EC
2년	2/SN+년/NNB
특별복권됐는지	특별/NNG+복권/NNG+되/XSV+었/EP+는지/EC
도저히	도저히/MAG
