# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.346
metadata : {}


# id : NWRW1800000041.346.1.1
비대위장 박영선 ‘어정쩡’ 한달

비대위장	비대위장/NNG
박영선	박영선/NNP
‘어정쩡’	‘/SS+어정쩡/MAG+’/SS
한달	한/MMN+달/NNB


# id : NWRW1800000041.346.2.1
[세월호 정국 표류] 2일 팽목항서 세월호법 與압박… 전통시장으로 옮겨 민심 행보 黨일각 “투쟁-민생 줄타기 끝내야”

[세월호	[/SS+세월호/NNP
정국	정국/NNG
표류]	표류/NNG+]/SS
2일	2/SN+일/NNB
팽목항서	팽목항/NNP+서/JKB
세월호법	세월호/NNP+법/NNG
與압박…	與/SH+압박/NNG+…/SE
전통시장으로	전통/NNG+시장/NNG+으로/JKB
옮겨	옮기/VV+어/EC
민심	민심/NNG
행보	행보/NNG
黨일각	黨/SH+일각/NNG
“투쟁-민생	“/SS+투쟁/NNG+-/SO+민생/NNG
줄타기	줄타기/NNG
끝내야”	끝내/VV+야/EF+”/SS


# id : NWRW1800000041.346.3.1
새정치민주연합 박영선 원내대표는 2일 추석을 앞두고 세월호 참사 실종자 가족들이 있는 전남 진도 팽목항을 찾았다.

새정치민주연합	새정치민주연합/NNP
박영선	박영선/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
2일	2/SN+일/NNB
추석을	추석/NNG+을/JKO
앞두고	앞두/VV+고/EC
세월호	세월호/NNP
참사	참사/NNG
실종자	실종자/NNG
가족들이	가족/NNG+들/XSN+이/JKS
있는	있/VA+는/ETM
전남	전남/NNP
진도	진도/NNP
팽목항을	팽목항/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.346.3.2
실종자 가족들로부터 수색·구조 상황의 문제점과 의견 등을 들었다.

실종자	실종자/NNG
가족들로부터	가족/NNG+들/XSN+로부터/JKB
수색·구조	수색/NNG+·/SP+구조/NNG
상황의	상황/NNG+의/JKG
문제점과	문제점/NNG+과/JC
의견	의견/NNG
등을	등/NNB+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.346.3.3
친노(친노무현) 좌장인 문재인 의원이 팽목항을 찾은 지 이틀 뒤였다.

친노(친노무현)	친/XPN+노/NNP+(/SS+친/XPN+노무현/NNP+)/SS
좌장인	좌장/NNG+이/VCP+ㄴ/ETM
문재인	문재인/NNP
의원이	의원/NNG+이/JKS
팽목항을	팽목항/NNP+을/JKO
찾은	찾/VV+은/ETM
지	지/NNB
이틀	이틀/NNG
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.346.4.1
박 원내대표는 현장 기자간담회에서 “실종자 가족들의 공통적인 이야기는 마지막까지 국가가 책임져 달라, (실종자) 10명을 다 찾게 해달라는 것”이라며 “국가와 정부가 왜 존재하는지 물음표를 던지게 된다”고 말했다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
현장	현장/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“실종자	“/SS+실종자/NNG
가족들의	가족/NNG+들/XSN+의/JKG
공통적인	공통/NNG+적/XSN+이/VCP+ㄴ/ETM
이야기는	이야기/NNG+는/JX
마지막까지	마지막/NNG+까지/JX
국가가	국가/NNG+가/JKS
책임져	책임지/VV+어/EC
달라,	달/VX+라/EF+,/SP
(실종자)	(/SS+실종자/NNG+)/SS
10명을	10/SN+명/NNB+을/JKO
다	다/MAG
찾게	찾/VV+게/EC
해달라는	하/VX+아/EC+달/VX+라는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“국가와	“/SS+국가/NNG+와/JC
정부가	정부/NNG+가/JKS
왜	왜/MAG
존재하는지	존재/NNG+하/XSV+는지/EC
물음표를	물음표/NNG+를/JKO
던지게	던지/VV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.346.4.2
새정치연합의 장외투쟁과 관련해서는 “(여당 등이) 피켓 시위, 홍보전단 배포 등을 장외투쟁으로 몰아가는데 저는 그렇게 생각하지 않는다”라면서 “국민과 소통하고 있는 것”이라고 주장했다.

새정치연합의	새정치연합/NNP+의/JKG
장외투쟁과	장외/NNG+투쟁/NNG+과/JKB
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
“(여당	“/SS+(/SS+여당/NNG
등이)	등/NNB+이/JKS+)/SS
피켓	피켓/NNG
시위,	시위/NNG+,/SP
홍보전단	홍보/NNG+전단/NNG
배포	배포/NNG
등을	등/NNB+을/JKO
장외투쟁으로	장외/NNG+투쟁/NNG+으로/JKB
몰아가는데	몰아가/VV+는데/EC
저는	저/NP+는/JX
그렇게	그렇/VA+게/EC
생각하지	생각/NNG+하/XSV+지/EC
않는다”라면서	않/VX+는다/EF+”/SS+이/VCP+라면서/EC
“국민과	“/SS+국민/NNG+과/JKB
소통하고	소통/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.346.4.3
이후엔 광주의 대표적 전통시장인 양동시장을 찾아 추석 민심을 살폈다.

이후엔	이후/NNG+에/JKB+ㄴ/JX
광주의	광주/NNP+의/JKG
대표적	대표/NNG+적/XSN
전통시장인	전통/NNG+시장/NNG+이/VCP+ㄴ/ETM
양동시장을	양동시장/NNP+을/JKO
찾아	찾/VV+아/EC
추석	추석/NNG
민심을	민심/NNG+을/JKO
살폈다.	살피/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.346.5.1
박 원내대표는 4일로 비상대책위원장에 취임한 지 한 달이 된다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
4일로	4/SN+일/NNB+로/JKB
비상대책위원장에	비상/NNG+대책/NNG+위원장/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
지	지/NNB
한	한/MMN
달이	달/NNB+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.346.5.2
하지만 안팎의 상황이 녹록지 않다.

하지만	하지만/MAJ
안팎의	안팎/NNG+의/JKG
상황이	상황/NNG+이/JKS
녹록지	녹록하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.346.5.3
7·30 재·보궐선거 참패 이후 비상대책위원장을 맡아 당 재건에 나섰지만 세월호 정국의 수렁에서 빠져나오지 못하고 있다.

7·30	7/SN+·/SP+30/SN
재·보궐선거	재/XPN+·/SP+보궐/NNG+선거/NNG
참패	참패/NNG
이후	이후/NNG
비상대책위원장을	비상/NNG+대책/NNG+위원장/NNG+을/JKO
맡아	맡/VV+아/EC
당	당/NNG
재건에	재건/NNG+에/JKB
나섰지만	나서/VV+었/EP+지만/EC
세월호	세월호/NNP
정국의	정국/NNG+의/JKG
수렁에서	수렁/NNG+에서/JKB
빠져나오지	빠져나오/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.346.5.4
새누리당 이완구 원내대표와 어렵사리 두 차례 세월호 특별법 협상안을 도출했지만 유족들의 거부로 협상 주도권을 놓아버렸고, 장외로 나갔다.

새누리당	새누리당/NNP
이완구	이완구/NNP
원내대표와	원내/NNG+대표/NNG+와/JKB
