# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.242
metadata : {}


# id : NWRW1800000022.242.1.1
"환경 경영 실천"… 汎포스코 녹색성장위원회 출범

"환경	"/SS+환경/NNG
경영	경영/NNG
실천"…	실천/NNG+"/SS+…/SE
汎포스코	汎/SH+포스코/NNP
녹색성장위원회	녹색/NNG+성장/NNG+위원회/NNG
출범	출범/NNG


# id : NWRW1800000022.242.2.1
포스코는 7일 서울 포스코센터에서 주요 계열사와 녹색성장과 환경경영을 위한 전략 수립과 정책협의를 담당할 '범(汎)포스코 녹색성장위원회' 출범식을 가졌다.

포스코는	포스코/NNP+는/JX
7일	7/SN+일/NNB
서울	서울/NNP
포스코센터에서	포스코센터/NNP+에서/JKB
주요	주요/NNG
계열사와	계열사/NNG+와/JKB
녹색성장과	녹색/NNG+성장/NNG+과/JC
환경경영을	환경/NNG+경영/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
전략	전략/NNG
수립과	수립/NNG+과/JC
정책협의를	정책/NNG+협의/NNG+를/JKO
담당할	담당/NNG+하/XSV+ㄹ/ETM
'범(汎)포스코	'/SS+범/XPN+(/SS+汎/SH+)/SS+포스코/NNP
녹색성장위원회'	녹색/NNG+성장/NNG+위원회/NNG+'/SS
출범식을	출범식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.242.3.1
포스코 정준양 회장(위원장)과 이동희 사장 등 포스코 임원 8명과 포스코건설·포스데이타·포스코파워 등 출자사 대표 10명으로 구성된 위원회는 산하에 ▲저탄소 철강기술 ▲기후변화 대응 ▲신재생에너지 ▲녹색 신성장사업 등 4개 분과를 두고 과제별 전략수립과 추진상황을 분기별로 점검할 계획이다.

포스코	포스코/NNP
정준양	정준양/NNP
회장(위원장)과	회장/NNG+(/SS+위원장/NNG+)/SS+과/JC
이동희	이동희/NNP
사장	사장/NNG
등	등/NNB
임원	임원/NNG
8명과	8/SN+명/NNB+과/JC
포스코건설·포스데이타·포스코파워	포스코건설/NNP+·/SP+포스데이타/NNP+·/SP+포스코파워/NNP
