# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.57
metadata : {}


# id : NWRW1800000046.57.1.1
한뼘 '더' 우아해진 언니의 '더' 私的인 이야기

한뼘	한/MMN+뼘/NNB
'더'	'/SS+더/MAG+'/SS
우아해진	우아하/VA+아/EC+지/VX+ㄴ/ETM
언니의	언니/NNG+의/JKG
私的인	私的/SH+이/VCP+ㄴ/ETM
이야기	이야기/NNG


# id : NWRW1800000046.57.2.1
글쓰는 화랑 주인 박상미의 새 예술 산문집 '나의 사적인 도시'

글쓰는	글/NNG+쓰/VV+는/ETM
화랑	화랑/NNG
주인	주인/NNG
박상미의	박상미/NNP+의/JKG
새	새/MMA
예술	예술/NNG
산문집	산문집/NNG
'나의	'/SS+나/NP+의/JKG
사적인	사/NNG+적/XSN+이/VCP+ㄴ/ETM
도시'	도시/NNG+'/SS


# id : NWRW1800000046.57.3.1
5년의 공백이 있다.

5년의	5/SN+년/NNB+의/JKG
공백이	공백/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.57.3.2
박상미(46)의 새 예술 산문집 '나의 사적인 도시'(난다 출간)는 2005년부터 2010년까지의 뉴욕이 무대다.

박상미(46)의	박상미/NNP+(/SS+46/SN+)/SS+의/JKG
새	새/MMA
예술	예술/NNG
산문집	산문집/NNG
'나의	'/SS+나/NP+의/JKG
사적인	사/NNG+적/XSN+이/VCP+ㄴ/ETM
도시'(난다	도시/NNG+'/SS+(/SS+난다/NNP
출간)는	출간/NNG+)/SS+는/JX
2005년부터	2005/SN+년/NNB+부터/JX
2010년까지의	2010/SN+년/NNB+까지/JX+의/JKG
뉴욕이	뉴욕/NNP+이/JKS
무대다.	무대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.57.3.3
모질게 자기 중심적이지만, 문학과 미술과 패션에 관한 섬세한 취향과 예민한 사유를 보여주는 에세이.

모질게	모질/VA+게/EC
자기	자기/NNG
중심적이지만,	중심/NNG+적/XSN+이/VCP+지만/EC+,/SP
문학과	문학/NNG+과/JC
미술과	미술/NNG+과/JC
패션에	패션/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
섬세한	섬세하/VA+ㄴ/ETM
취향과	취향/NNG+과/JC
예민한	예민하/VA+ㄴ/ETM
사유를	사유/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
에세이.	에세이/NNG+./SF


# id : NWRW1800000046.57.3.4
하지만 왜 5년이나 흐른 지금에야.

하지만	하지만/MAJ
왜	왜/MAG
5년이나	5/SN+년/NNB+이나/JX
흐른	흐르/VV+ㄴ/ETM
지금에야.	지금/NNG+에/JKB+야/JX+./SF


# id : NWRW1800000046.57.4.1
서울 창성동의 프라이빗 갤러리 '토마스 파크'에서, 이 '글 쓰는 화랑 주인'을 만났다.

서울	서울/NNP
창성동의	창성동/NNP+의/JKG
프라이빗	프라이빗/NNG
갤러리	갤러리/NNG
'토마스	'/SS+토마스/NNP
파크'에서,	파크/NNG+'/SS+에서/JKB+,/SP
이	이/MMD
'글	'/SS+글/NNG
쓰는	쓰/VV+는/ETM
화랑	화랑/NNG
주인'을	주인/NNG+'/SS+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.57.4.2
청와대 뒷골목의 소박한 갤러리는 주인과 손님이 사전에 약속했을 때만 문을 여는 문화 공간.

청와대	청와대/NNP
뒷골목의	뒷골목/NNG+의/JKG
소박한	소박하/VA+ㄴ/ETM
갤러리는	갤러리/NNG+는/JX
주인과	주인/NNG+과/JC
손님이	손/NNG+님/XSN+이/JKS
사전에	사전/NNG+에/JKB
약속했을	약속/NNG+하/XSV+았/EP+을/ETM
때만	때/NNG+만/JX
문을	문/NNG+을/JKO
여는	열/VV+는/ETM
문화	문화/NNG
공간.	공간/NNG+./SF


# id : NWRW1800000046.57.4.3
"상근 직원 둘 예산이 없어서"가 화랑 주인이 내세운 이유였지만, 사실상 그의 작업실이자 비밀 기지로 보였다.

"상근	"/SS+상근/NNG
직원	직원/NNG
둘	두/VV+ㄹ/ETM
예산이	예산/NNG+이/JKS
없어서"가	없/VA+어서/EC+"/SS+가/JKS
화랑	화랑/NNG
주인이	주인/NNG+이/JKS
내세운	내세우/VV+ㄴ/ETM
이유였지만,	이유/NNG+이/VCP+었/EP+지만/EC+,/SP
사실상	사실/NNG+상/XSN
그의	그/NP+의/JKG
작업실이자	작업실/NNG+이/VCP+자/EC
비밀	비밀/NNG
기지로	기지/NNG+로/JKB
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.57.4.4
그는 주저했다.

그는	그/NP+는/JX
주저했다.	주저/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.57.5.1
"지난 기억들과 한바탕 몸싸움 끝에 얻은, 흉터 같은 책입니다.

"지난	"/SS+지나/VV+ㄴ/ETM
기억들과	기억/NNG+들/XSN+과/JKB
한바탕	한/XPN+바탕/NNG
몸싸움	몸싸움/NNG
끝에	끝/NNG+에/JKB
얻은,	얻/VV+은/ETM+,/SP
흉터	흉터/NNG
같은	같/VA+은/ETM
책입니다.	책/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000046.57.5.2
살아남은 흔적이기에 쓰다듬어야 할."

살아남은	살아남/VV+은/ETM
흔적이기에	흔적/NNG+이/VCP+기에/EC
쓰다듬어야	쓰다듬/VV+어야/EC
할."	하/VX+ㄹ/ETM+./SF+"/SS


# id : NWRW1800000046.57.6.1
2011년 런던 출장길에서 그는 이 도시의 명물 2층 버스와 맨몸으로 충돌했다.

2011년	2011/SN+년/NNB
런던	런던/NNP
출장길에서	출장길/NNG+에서/JKB
그는	그/NP+는/JX
이	이/MMD
도시의	도시/NNG+의/JKG
명물	명물/NNG
2층	2/SN+층/NNG
