# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.153
metadata : {}


# id : NWRW1800000032.153.1.1
“마음속 빚, 공연에 담았어요”

“마음속	“/SS+마음속/NNG
빚,	빚/NNG+,/SP
공연에	공연/NNG+에/JKB
담았어요”	담/VV+았/EP+어요/EF+”/SS


# id : NWRW1800000032.153.2.1
‘달빛요정 추모공연 추진회’ 박권일 대변인

‘달빛요정	‘/SS+달빛요정/NNP
추모공연	추모/NNG+공연/NNG
추진회’	추진회/NNG+’/SS
박권일	박권일/NNP
대변인	대변인/NNG


# id : NWRW1800000032.153.3.1
오는 27일 저녁 7시 서울 홍대 앞 26개 클럽에서 모두 103팀이 참여하는 ‘달빛요정 추모공연-나는 행운아’가 열린다.

오는	오/VV+는/ETM
27일	27/SN+일/NNB
저녁	저녁/NNG
7시	7/SN+시/NNB
서울	서울/NNP
홍대	홍대/NNP
앞	앞/NNG
26개	26/SN+개/NNB
클럽에서	클럽/NNG+에서/JKB
모두	모두/MAG
103팀이	103/SN+팀/NNG+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
‘달빛요정	‘/SS+달빛요정/NNP
추모공연-나는	추모/NNG+공연/NNG+-/SO+나/NP+는/JX
행운아’가	행운아/NNG+’/SS+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.153.3.2
추모공연이 이처럼 대규모 동시다발로 열리는 건 이례적이다.

추모공연이	추모/NNG+공연/NNG+이/JKS
이처럼	이/NP+처럼/JKB
대규모	대/XPN+규모/NNG
동시다발로	동시다발/NNG+로/JKB
열리는	열리/VV+는/ETM
건	거/NNB+ㄴ/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000032.153.3.3
1인밴드 달빛요정역전만루홈런의 이진원은 지난해 11월 뇌경색으로 쓰러져 숨을 거뒀다.

1인밴드	1/SN+인/NNG+밴드/NNG
달빛요정역전만루홈런의	달빛요정역전만루홈런/NNP+의/JKG
이진원은	이진원/NNP+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
뇌경색으로	뇌경색/NNG+으로/JKB
쓰러져	쓰러지/VV+어/EC
숨을	숨/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.153.4.1
공연을 주최하는 ‘달빛요정 추모공연 추진회’의 박권일 대변인은 17일 <한겨레>와 한 인터뷰에서 “처음엔 막막했지만, 밴드와 클럽, 자원봉사자들이 생각보다 훨씬 더 뜨거운 관심과 열정을 보여줘 여기까지 온 것 같다”고 말했다.

공연을	공연/NNG+을/JKO
주최하는	주최/NNG+하/XSV+는/ETM
‘달빛요정	‘/SS+달빛요정/NNP
추모공연	추모/NNG+공연/NNG
추진회’의	추진회/NNG+’/SS+의/JKG
박권일	박권일/NNP
대변인은	대변인/NNG+은/JX
17일	17/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
인터뷰에서	인터뷰/NNG+에서/JKB
“처음엔	“/SS+처음/NNG+에/JKB+ㄴ/JX
막막했지만,	막막하/VA+았/EP+지만/EC+,/SP
밴드와	밴드/NNG+와/JC
클럽,	클럽/NNG+,/SP
자원봉사자들이	자원봉사자/NNG+들/XSN+이/JKS
생각보다	생각/NNG+보다/JKB
훨씬	훨씬/MAG
더	더/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
관심과	관심/NNG+과/JC
열정을	열정/NNG+을/JKO
보여줘	보이/VV+어/EC+주/VX+어/EC
여기까지	여기/NP+까지/JX
온	오/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.153.5.1
지난해 말 종영한 한국방송 라이브 음악 프로그램 <음악창고> 음악감독이었던 박 대변인은 고인과 막역한 선후배 사이이기도 하다.

지난해	지난해/NNG
말	말/NNB
종영한	종영/NNG+하/XSV+ㄴ/ETM
한국방송	한국방송/NNP
라이브	라이브/NNG
음악	음악/NNG
프로그램	프로그램/NNG
<음악창고>	</SS+음악/NNG+창고/NNG+>/SS
음악감독이었던	음악/NNG+감독/NNG+이/VCP+었/EP+던/ETM
박	박/NNP
대변인은	대변인/NNG+은/JX
고인과	고인/NNG+과/JKB
막역한	막역하/VA+ㄴ/ETM
선후배	선후배/NNG
사이이기도	사이/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000032.153.5.2
그는 홍익대 음악 동아리 ‘뚜라미’에서 이진원을 처음 만났다.

그는	그/NP+는/JX
홍익대	홍익대/NNP
음악	음악/NNG
동아리	동아리/NNG
‘뚜라미’에서	‘/SS+뚜라미/NNP+’/SS+에서/JKB
이진원을	이진원/NNP+을/JKO
처음	처음/NNG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.153.5.3
하지만 이진원이 신입생이던 1992년 곧 녹음실 엔지니어로 사회에 첫발을 내디뎠기에 서로 깊이 알진 못했다.

하지만	하지만/MAJ
이진원이	이진원/NNP+이/JKS
신입생이던	신입/NNG+생/XSN+이/VCP+던/ETM
1992년	1992/SN+년/NNB
곧	곧/MAG
녹음실	녹음실/NNG
엔지니어로	엔지니어/NNG+로/JKB
사회에	사회/NNG+에/JKB
첫발을	첫발/NNG+을/JKO
내디뎠기에	내디디/VV+었/EP+기에/EC
서로	서로/MAG
깊이	깊이/MAG
알진	알/VV+지/EC+ㄴ/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.153.6.1
둘이 본격적으로 가까워진 건 이진원이 음악을 시작하면서다.

둘이	둘/NR+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
가까워진	가깝/VA+어/EC+지/VX+ㄴ/ETM
건	거/NNB+ㄴ/JX
이진원이	이진원/NNP+이/JKS
음악을	음악/NNG+을/JKO
시작하면서다.	시작/NNG+하/XSV+면서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000032.153.6.2
혼자 음반을 만들고 고군분투하다 벽에 부닥친 이진원은 음악계에서 잔뼈가 굵은 박 대변인을 찾아가 도움을 청했다.

혼자	혼자/MAG
음반을	음반/NNG+을/JKO
만들고	만들/VV+고/EC
고군분투하다	고군분투/NNG+하/XSV+다/EC
벽에	벽/NNG+에/JKB
부닥친	부닥치/VV+ㄴ/ETM
이진원은	이진원/NNP+은/JX
음악계에서	음악/NNG+계/XSN+에서/JKB
잔뼈가	잔뼈/NNG+가/JKS
굵은	굵/VA+은/ETM
박	박/NNP
대변인을	대변인/NNG+을/JKO
찾아가	찾아가/VV+아/EC
도움을	도움/NNG+을/JKO
청했다.	청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.153.6.3
드라마·예능프로 음악감독을 하던 박 대변인은 역시 같은 동아리 선배가 몸담고 있는 음반제작사를 소개해줬다.

드라마·예능프로	드라마/NNG+·/SP+예능/NNG+프로/NNG
음악감독을	음악/NNG+감독/NNG+을/JKO
하던	하/VV+던/ETM
박	박/NNP
대변인은	대변인/NNG+은/JX
역시	역시/MAG
같은	같/VA+은/ETM
동아리	동아리/NNG
선배가	선배/NNG+가/JKS
몸담고	몸담/VV+고/EC
있는	있/VX+는/ETM
음반제작사를	음반/NNG+제작사/NNG+를/JKO
소개해줬다.	소개/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.153.6.4
이진원은 이 회사와 손잡고 3집까지 냈다.

이진원은	이진원/NNP+은/JX
이	이/MMD
회사와	회사/NNG+와/JKB
손잡고	손잡/VV+고/EC
3집까지	3/SN+집/NNB+까지/JX
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.153.7.1
“마지막 앨범인 3.5집을 작업할 땐 다시 혼자더라고요.

“마지막	“/SS+마지막/NNG
앨범인	앨범/NNG+이/VCP+ㄴ/ETM
3.5집을	3/SN+./SP+5/SN+집/NNB+을/JKO
작업할	작업/NNG+하/XSV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
다시	다시/MAG
혼자더라고요.	혼자/NNG+이/VCP+더라고/EF+요/JX+./SF


# id : NWRW1800000032.153.7.2
제가 녹음실을 공짜로 쓰라고 했죠.

제가	제/NP+가/JKS
녹음실을	녹음실/NNG+을/JKO
공짜로	공짜/NNG+로/JKB
쓰라고	쓰/VV+라고/EC
했죠.	하/VV+았/EP+죠/EF+./SF


# id : NWRW1800000032.153.7.3
언론홍보도 도와줬어요.

언론홍보도	언론/NNG+홍보/NNG+도/JX
도와줬어요.	도와주/VV+었/EP+어요/EF+./SF


# id : NWRW1800000032.153.7.4
‘형, 내가 연봉 2000만원 넘으면 꼭 술 한잔 살게요.’

‘형,	‘/SS+형/NNG+,/SP
내가	내/NP+가/JKS
연봉	연봉/NNG
2000만원	2000/SN+만/NR+원/NNB
넘으면	넘/VV+으면/EC
꼭	꼭/MAG
술	술/NNG
한잔	한잔/NNG
살게요.’	살/VV+게/EF+요/JX+./SF+’/SS


# id : NWRW1800000032.153.7.5
이랬는데, 끝내 못 얻어먹게 됐네요.”

이랬는데,	이렇/VA+었/EP+는데/EC+,/SP
끝내	끝내/MAG
못	못/MAG
얻어먹게	얻어먹/VV+게/EC
됐네요.”	되/VV+었/EP+네/EF+요/JX+./SF+”/SS


# id : NWRW1800000032.153.8.1
그는 장례식 때 슬퍼할 겨를도 없이 묵묵히 궂은 일을 도맡아 했다.

그는	그/NP+는/JX
장례식	장례식/NNG
때	때/NNG
슬퍼할	슬퍼하/VV+ㄹ/ETM
겨를도	겨를/NNB+도/JX
없이	없이/MAG
묵묵히	묵묵히/MAG
궂은	궂/VA+은/ETM
일을	일/NNG+을/JKO
도맡아	도맡/VV+아/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.153.8.2
빈소를 찾는 학교 선후배와 음악인들을 두루 아는 이는 그밖에 없었다.

빈소를	빈소/NNG+를/JKO
찾는	찾/VV+는/ETM
학교	학교/NNG
선후배와	선후배/NNG+와/JC
음악인들을	음악인/NNG+들/XSN+을/JKO
두루	두루/MAG
아는	알/VV+는/ETM
이는	이/NNB+는/JX
그밖에	그/NP+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.153.9.1
“진원이는 <음악창고> 무대에 정말 서고 싶어 했어요.

“진원이는	“/SS+진원이/NNP+는/JX
<음악창고>	</SS+음악/NNG+창고/NNG+>/SS
무대에	무대/NNG+에/JKB
정말	정말/MAG
서고	서/VV+고/EC
싶어	싶/VX+어/EC
했어요.	하/VX+았/EP+어요/EF+./SF


# id : NWRW1800000032.153.9.2
근데 끝내 소원을 못 들어주고 보내버린 게 너무 미안하고 안타까웠어요.

근데	근데/MAJ
끝내	끝내/MAG
소원을	소원/NNG+을/JKO
못	못/MAG
들어주고	듣/VV+어/EC+주/VX+고/EC
보내버린	보내/VV+어/EC+버리/VX+ㄴ/ETM
게	거/NNB+이/JKS
너무	너무/MAG
미안하고	미안/NNG+하/XSA+고/EC
안타까웠어요.	안타깝/VA+었/EP+어요/EF+./SF


# id : NWRW1800000032.153.9.3
그래선지도 몰라요.

그래선지도	그렇/VA+어서/EC+이/VCP+ㄴ지/EC+도/JX
몰라요.	모르/VV+아요/EF+./SF


# id : NWRW1800000032.153.9.4
