# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.32
metadata : {}


# id : NWRW1800000041.32.1.1
유럽중앙銀 기준금리 0.05%로 ‘깜짝 인하’… 韓銀 2014년내 추가인하 압박 커져

유럽중앙銀	유럽중앙銀/NNP
기준금리	기준/NNG+금리/NNG
0.05%로	0/SN+./SP+05/SN+%/SW+로/JKB
‘깜짝	‘/SS+깜짝/MAG
인하’…	인하/NNG+’/SS+…/SE
韓銀	韓銀/SH
2014년내	2014/SN+년/NNB+내/NNB
추가인하	추가/NNG+인하/NNG
압박	압박/NNG
커져	커지/VV+어/EF


# id : NWRW1800000041.32.2.1
유럽중앙은행(ECB)이 시장의 예상을 깨고 기준금리를 0.15%에서 0.05%로 ‘깜짝 인하’하면서 12일 열리는 한국은행 금융통화위원회에 국내 금융권의 이목이 쏠리고 있다.

유럽중앙은행(ECB)이	유럽중앙은행/NNP+(/SS+ECB/SL+)/SS+이/JKS
시장의	시장/NNG+의/JKG
예상을	예상/NNG+을/JKO
깨고	깨/VV+고/EC
기준금리를	기준/NNG+금리/NNG+를/JKO
0.15%에서	0/SN+./SP+15/SN+%/SW+에서/JKB
0.05%로	0/SN+./SP+05/SN+%/SW+로/JKB
‘깜짝	‘/SS+깜짝/MAG
인하’하면서	인하/NNG+’/SS+하/VV+면서/EC
12일	12/SN+일/NNB
열리는	열리/VV+는/ETM
한국은행	한국은행/NNP
금융통화위원회에	금융/NNG+통화/NNG+위원회/NNG+에/JKB
국내	국내/NNG
금융권의	금융/NNG+권/XSN+의/JKG
이목이	이목/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.32.3.1
한국 경제의 디플레이션 우려가 제기되는 가운데 ECB가 경기 부양을 위한 공격적인 행보를 보이면서 한은에 대한 추가 금리 인하 압박이 커지고 있다.

한국	한국/NNP
경제의	경제/NNG+의/JKG
디플레이션	디플레이션/NNG
우려가	우려/NNG+가/JKS
제기되는	제기/NNG+되/XSV+는/ETM
가운데	가운데/NNG
ECB가	ECB/SL+가/JKS
경기	경기/NNG
부양을	부양/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
행보를	행보/NNG+를/JKO
보이면서	보이/VV+면서/EC
한은에	한은/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
추가	추가/NNG
금리	금리/NNG
인하	인하/NNG
압박이	압박/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.32.3.2
시장에서는 9월 기준금리가 현 수준(연 2.25%)에서 동결된 이후 연내에 한 차례 더 인하될 수 있다는 관측이 나오고 있다.

시장에서는	시장/NNG+에서/JKB+는/JX
9월	9/SN+월/NNB
기준금리가	기준/NNG+금리/NNG+가/JKS
현	현/MMD
수준(연	수준/NNG+(/SS+연/NNG
2.25%)에서	2/SN+./SP+25/SN+%/SW+)/SS+에서/JKB
동결된	동결/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
연내에	연내/NNG+에/JKB
한	한/MMN
차례	차례/NNG
더	더/MAG
인하될	인하/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
관측이	관측/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.32.4.1
9일 금융권에 따르면 최근 금융투자협회가 채권 전문가 113명을 대상으로 설문조사를 실시한 결과 응답자의 96.5%가 이달 기준금리가 동결될 것으로 내다봤다.

9일	9/SN+일/NNB
금융권에	금융/NNG+권/XSN+에/JKB
따르면	따르/VV+면/EC
최근	최근/MAG
금융투자협회가	금융투자협회/NNP+가/JKS
채권	채권/NNG
전문가	전문가/NNG
113명을	113/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
설문조사를	설문/NNG+조사/NNG+를/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
응답자의	응답자/NNG+의/JKG
96.5%가	96/SN+./SP+5/SN+%/SW+가/JKS
이달	이달/NNG
기준금리가	기준/NNG+금리/NNG+가/JKS
동결될	동결/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.32.4.2
시장에서는 한은이 지난달 15개월 만에 기준금리를 전격 인하한 만큼 금리인하 효과를 좀 더 지켜봐야 한다는 의견이 많다.

시장에서는	시장/NNG+에서/JKB+는/JX
한은이	한은/NNP+이/JKS
지난달	지난달/NNG
15개월	15/SN+개월/NNB
