# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.76
metadata : {}


# id : NWRW1800000029.76.1.1
G20회의, 유럽 재정위기 소방수 될까

G20회의,	G/SL+20/SN+회의/NNG+,/SP
유럽	유럽/NNP
재정위기	재정/NNG+위기/NNG
소방수	소방수/NNG
될까	되/VV+ㄹ까/EF


# id : NWRW1800000029.76.2.1
■ 14, 15일 파리서 재무회담

■	■/SW
14,	14/SN+,/SP
15일	15/SN+일/NNB
파리서	파리/NNP+서/JKB
재무회담	재무/NNG+회담/NNG


# id : NWRW1800000029.76.3.1
글로벌 재정위기 확산으로 세계 경제에 먹구름이 짙어가고 있는 가운데 14, 15일 프랑스 파리에서 이틀간 열리는 주요 20개국(G20) 재무장관 회담에 관심이 쏠리고 있다.

글로벌	글로벌/NNG
재정위기	재정/NNG+위기/NNG
확산으로	확산/NNG+으로/JKB
세계	세계/NNG
경제에	경제/NNG+에/JKB
먹구름이	먹구름/NNG+이/JKS
짙어가고	짙/VA+어/EC+가/VX+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
14,	14/SN+,/SP
15일	15/SN+일/NNB
프랑스	프랑스/NNP
파리에서	파리/NNP+에서/JKB
이틀간	이틀/NNG+간/XSN
열리는	열리/VV+는/ETM
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
재무장관	재무/NNG+장관/NNG
회담에	회담/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.76.3.2
유럽 재정위기에 대한 G20의 역할에 기대감이 높아지고 있지만 구체적인 해결책을 내놓기는 쉽지 않을 것으로 전망된다.

유럽	유럽/NNP
재정위기에	재정/NNG+위기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
G20의	G/SL+20/SN+의/JKG
역할에	역할/NNG+에/JKB
기대감이	기대감/NNG+이/JKS
높아지고	높아지/VV+고/EC
있지만	있/VX+지만/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
해결책을	해결책/NNG+을/JKO
내놓기는	내놓/VV+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.76.3.3
