# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.26
metadata : {}


# id : NWRW1800000054.26.1.1
"19세기에나 일어났을 화재"… 실종자 100명 넘어

"19세기에나	"/SS+19/SN+세기/NNG+에/JKB+나/JX
일어났을	일어나/VV+았/EP+을/ETM
화재"…	화재/NNG+"/SS+…/SE
실종자	실종자/NNG
100명	100/SN+명/NNB
넘어	넘/VV+어/EC


# id : NWRW1800000054.26.2.1
런던 아파트 화재는 예고된 人災… 확인된 사망자만 17명… 英언론 "사망 100명 넘을수도"

런던	런던/NNP
아파트	아파트/NNG
화재는	화재/NNG+는/JX
예고된	예고/NNG+되/XSV+ㄴ/ETM
人災…	人災/SH+…/SE
확인된	확인/NNG+되/XSV+ㄴ/ETM
사망자만	사망자/NNG+만/JX
17명…	17/SN+명/NNB+…/SE
英언론	英/SH+언론/NNG
"사망	"/SS+사망/NNG
100명	100/SN+명/NNB
넘을수도"	넘/VV+을/ETM+수/NNB+도/JX+"/SS


# id : NWRW1800000054.26.3.1
지난 14일(현지 시각) 발생한 런던 서부 24층 아파트 '그렌펠 타워' 화재로 지금까지 확인된 사망자는 모두 17명이라고 런던 경찰청이 15일 발표했다.

지난	지나/VV+ㄴ/ETM
14일(현지	14/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
발생한	발생/NNG+하/XSV+ㄴ/ETM
런던	런던/NNP
서부	서부/NNG
24층	24/SN+층/NNG
아파트	아파트/NNG
'그렌펠	'/SS+그렌펠/NNP
타워'	타워/NNG+'/SS
화재로	화재/NNG+로/JKB
지금까지	지금/NNG+까지/JX
확인된	확인/NNG+되/XSV+ㄴ/ETM
사망자는	사망자/NNG+는/JX
모두	모두/MAG
17명이라고	17/SN+명/NNB+이/VCP+라고/EC
경찰청이	경찰청/NNG+이/JKS
15일	15/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.3.2
소방 당국은 "아직 잔불이 남아 있고 본격적 수색이 이뤄지지 못하고 있다"며 "수색은 몇 주간 지속될 것이고 사망자는 더 늘어날 수 있다"고 했다.

소방	소방/NNG
당국은	당국/NNG+은/JX
"아직	"/SS+아직/MAG
잔불이	잔불/NNG+이/JKS
남아	남/VV+아/EC
있고	있/VX+고/EC
본격적	본격/NNG+적/XSN
수색이	수색/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
못하고	못하/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"수색은	"/SS+수색/NNG+은/JX
몇	몇/NR
주간	주간/NNB
지속될	지속/NNG+되/XSV+ㄹ/ETM
것이고	것/NNB+이/VCP+고/EC
사망자는	사망자/NNG+는/JX
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.3.3
영국 일간 텔레그래프는 "아파트 주민 수백명 가운데 생사가 확인되지 않은 사람이 100여 명이나 된다"며 "사망자가 100명이 넘을 것이란 말도 나온다"고 했다.

영국	영국/NNP
일간	일간/NNG
텔레그래프는	텔레그래프/NNP+는/JX
"아파트	"/SS+아파트/NNG
주민	주민/NNG
수백명	수백/NR+명/NNB
가운데	가운데/NNG
생사가	생사/NNG+가/JKS
확인되지	확인/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
사람이	사람/NNG+이/JKS
100여	100/SN+여/XSN
명이나	명/NNB+이나/JX
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"사망자가	"/SS+사망자/NNG+가/JKS
100명이	100/SN+명/NNB+이/JKS
넘을	넘/VV+을/ETM
것이란	것/NNB+이/VCP+란/ETM
말도	말/NNG+도/JX
나온다"고	나오/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.4.1
소방 당국은 이번 화재가 건물 4층 한 집에서 시작된 것으로 보고 있다.

소방	소방/NNG
당국은	당국/NNG+은/JX
이번	이번/NNG
화재가	화재/NNG+가/JKS
건물	건물/NNG
4층	4/SN+층/NNG
한	한/MMN
집에서	집/NNG+에서/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.26.4.2
일간 더타임스는 "4층 한 주민이 0시 50분쯤 자기 집 냉장고가 폭발했다고 이웃에게 말한 뒤 짐을 싸들고 떠났다"고 했다.

일간	일간/NNG
더타임스는	더타임스/NNP+는/JX
"4층	"/SS+4/SN+층/NNG
한	한/MMN
주민이	주민/NNG+이/JKS
0시	0/SN+시/NNB
50분쯤	50/SN+분/NNB+쯤/XSN
자기	자기/NP
집	집/NNG
냉장고가	냉장고/NNG+가/JKS
폭발했다고	폭발/NNG+하/XSV+았/EP+다고/EC
이웃에게	이웃/NNG+에게/JKB
말한	말/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
짐을	짐/NNG+을/JKO
싸들고	싸/VV+아/EC+들/VV+고/EC
떠났다"고	떠나/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.4.3
BBC는 "냉장고 폭발로 인한 화재가 1년에 300여 건씩 발생한다"고 했다.

BBC는	BBC/SL+는/JX
"냉장고	"/SS+냉장고/NNG
폭발로	폭발/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
화재가	화재/NNG+가/JKS
1년에	1/SN+년/NNB+에/JKB
300여	300/SN+여/XSN
건씩	건/NNB+씩/XSN
발생한다"고	발생/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.4.4
소방 당국은 가스 폭발이나 누전 등의 가능성도 조사하고 있는 것으로 알려졌다.

소방	소방/NNG
당국은	당국/NNG+은/JX
가스	가스/NNG
폭발이나	폭발/NNG+이나/JC
누전	누전/NNG
등의	등/NNB+의/JKG
가능성도	가능/NNG+성/XSN+도/JX
조사하고	조사/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.26.5.1
목격자 증언이 이어지면서 이번 화재가 인재(人災)였다는 정황이 속속 드러나고 있다.

목격자	목격자/NNG
증언이	증언/NNG+이/JKS
이어지면서	이어지/VV+면서/EC
이번	이번/NNG
화재가	화재/NNG+가/JKS
인재(人災)였다는	인재/NNG+(/SS+人災/SH+)/SS+이/VCP+었/EP+다는/ETM
정황이	정황/NNG+이/JKS
속속	속속/MAG
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.26.5.2
BBC는 "1974년 지어진 이 아파트에는 스프링클러가 설치돼 있지 않았다"며 "스프링클러만 있었어도 화염과 독가스 피해가 크게 줄었을 것"이라고 했다.

BBC는	BBC/SL+는/JX
"1974년	"/SS+1974/SN+년/NNB
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
이	이/MMD
아파트에는	아파트/NNG+에/JKB+는/JX
스프링클러가	스프링클러/NNG+가/JKS
설치돼	설치/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"스프링클러만	"/SS+스프링클러/NNG+만/JX
있었어도	있/VA+었/EP+어도/EC
화염과	화염/NNG+과/JC
독가스	독가스/NNG
피해가	피해/NNG+가/JKS
크게	크/VA+게/EC
줄었을	줄/VV+었/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.5.3
영국 의회의 화재 안전·구조 그룹 로니 킹 명예총무는 "2009년 '래커널 하우스' 화재로 6명이 숨진 이후 모든 고층 아파트에 스프링클러 설치를 권고했지만 지자체와 집주인이 이를 무시했다"며 "지금도 스프링클러 없는 고층 아파트가 런던에만 수천채다"고 했다.

영국	영국/NNP
의회의	의회/NNG+의/JKG
화재	화재/NNG
안전·구조	안전/NNG+·/SP+구조/NNG
그룹	그룹/NNG
로니	로니/NNP
킹	킹/NNP
명예총무는	명예/NNG+총무/NNG+는/JX
"2009년	"/SS+2009/SN+년/NNB
'래커널	'/SS+래커널/NNP
하우스'	하우스/NNP+'/SS
화재로	화재/NNG+로/JKB
6명이	6/SN+명/NNB+이/JKS
숨진	숨지/VV+ㄴ/ETM
이후	이후/NNG
모든	모든/MMN
고층	고층/NNG
아파트에	아파트/NNG+에/JKB
스프링클러	스프링클러/NNG
설치를	설치/NNG+를/JKO
권고했지만	권고/NNG+하/XSV+았/EP+지만/EC
지자체와	지자체/NNG+와/JC
집주인이	집주인/NNG+이/JKS
이를	이/NP+를/JKO
무시했다"며	무시/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"지금도	"/SS+지금/NNG+도/JX
없는	없/VA+는/ETM
아파트가	아파트/NNG+가/JKS
런던에만	런던/NNP+에/JKB+만/JX
수천채다"고	수천/NR+채/NNB+이/VCP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.6.1
화염이 순식간에 건물 전체를 집어삼킨 것은 작년에 끝난 건물 개량 공사가 원인이라는 분석이 나온다.

화염이	화염/NNG+이/JKS
순식간에	순식/NNG+간/XSN+에/JKB
건물	건물/NNG
전체를	전체/NNG+를/JKO
집어삼킨	집어삼키/VV+ㄴ/ETM
것은	것/NNB+은/JX
작년에	작년/NNG+에/JKB
끝난	끝나/VV+ㄴ/ETM
개량	개량/NNG
공사가	공사/NNG+가/JKS
원인이라는	원인/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.26.6.2
아파트 관리 업체는 총 870만파운드(약 125억원)를 들여 단열·미관 공사를 했는데 화재 예방 작업은 미흡했다는 것이다.

아파트	아파트/NNG
관리	관리/NNG
업체는	업체/NNG+는/JX
총	총/MMA
870만파운드(약	870/SN+만/NR+파운드/NNB+(/SS+약/MMA
125억원)를	125/SN+억/NR+원/NNB+)/SS+를/JKO
들여	들이/VV+어/EC
단열·미관	단열/NNG+·/SP+미관/NNG
공사를	공사/NNG+를/JKO
했는데	하/VV+았/EP+는데/EC
화재	화재/NNG
예방	예방/NNG
작업은	작업/NNG+은/JX
미흡했다는	미흡/NNG+하/XSA+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.26.6.3
텔레그래프는 "공사는 콘크리트 벽에 보온 단열재를 덧대고, 25~30㎜ 간격을 띄운 뒤 최종 외장 마감재를 붙이는 공법으로 이뤄졌다"며 "이 마감재와 단열재 사이 공간이 굴뚝처럼 불길을 옮기는 역할을 했다"고 했다.

텔레그래프는	텔레그래프/NNP+는/JX
"공사는	"/SS+공사/NNG+는/JX
콘크리트	콘크리트/NNG
벽에	벽/NNG+에/JKB
보온	보온/NNG
단열재를	단열재/NNG+를/JKO
덧대고,	덧대/VV+고/EC+,/SP
25~30㎜	25/SN+~/SO+30/SN+㎜/SW
간격을	간격/NNG+을/JKO
띄운	띄우/VV+ㄴ/ETM
뒤	뒤/NNG
최종	최종/NNG
외장	외장/NNG
마감재를	마감재/NNG+를/JKO
붙이는	붙이/VV+는/ETM
공법으로	공법/NNG+으로/JKB
이뤄졌다"며	이뤄지/VV+었/EP+다/EF+"/SS+며/EC
"이	"/SS+이/MMD
마감재와	마감재/NNG+와/JC
단열재	단열재/NNG
사이	사이/NNG
공간이	공간/NNG+이/JKS
굴뚝처럼	굴뚝/NNG+처럼/JKB
불길을	불길/NNG+을/JKO
옮기는	옮기/VV+는/ETM
역할을	역할/NNG+을/JKO
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.6.4
단열재와 외장 마감재 자체도 불연(不燃) 기능이 없어 불에 잘 타는 싸구려 재질이었다는 의혹도 나오고 있다.

단열재와	단열재/NNG+와/JC
외장	외장/NNG
마감재	마감재/NNG
자체도	자체/NNG+도/JX
불연(不燃)	불연/NNG+(/SS+不燃/SH+)/SS
기능이	기능/NNG+이/JKS
없어	없/VA+어/EC
불에	불/NNG+에/JKB
잘	잘/MAG
타는	타/VV+는/ETM
싸구려	싸구려/NNG
재질이었다는	재질/NNG+이/VCP+었/EP+다는/ETM
의혹도	의혹/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.26.6.5
목격자들은 "불은 15~30분 만에 건물 외벽을 타고 순식간에 번진 뒤 전체 건물을 휘감았다"며 "마치 성냥에 불이 붙는 것 같았다"고 했다.

목격자들은	목격자/NNG+들/XSN+은/JX
"불은	"/SS+불/NNG+은/JX
15~30분	15/SN+~/SO+30/SN+분/NNB
만에	만/NNB+에/JKB
건물	건물/NNG
외벽을	외벽/NNG+을/JKO
타고	타/VV+고/EC
순식간에	순식/NNG+간/XSN+에/JKB
번진	번지/VV+ㄴ/ETM
뒤	뒤/NNG
전체	전체/NNG
건물을	건물/NNG+을/JKO
휘감았다"며	휘감/VV+았/EP+다/EF+"/SS+며/EC
"마치	"/SS+마치/MAG
성냥에	성냥/NNG+에/JKB
불이	불/NNG+이/JKS
붙는	붙/VV+는/ETM
것	것/NNB
같았다"고	같/VA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.7.1
입주민들은 "건물이 화재에 취약하다"며 몇 년 전부터 민원을 제기했지만 아파트 관리 업체와 지자체는 듣지 않았다.

입주민들은	입주민/NNG+들/XSN+은/JX
"건물이	"/SS+건물/NNG+이/JKS
화재에	화재/NNG+에/JKB
취약하다"며	취약/NNG+하/XSA+다/EF+"/SS+며/EC
몇	몇/NR
년	년/NNB
전부터	전/NNG+부터/JX
민원을	민원/NNG+을/JKO
제기했지만	제기/NNG+하/XSV+았/EP+지만/EC
아파트	아파트/NNG
관리	관리/NNG
업체와	업체/NNG+와/JC
지자체는	지자체/NNG+는/JX
듣지	듣/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.26.7.2
주민 나타샤는 "우린 돈 없고 힘 없어 무시당했고 버림받았다"며 눈물을 보였다.

주민	주민/NNG
나타샤는	나타샤/NNP+는/JX
"우린	"/SS+우리/NP+ㄴ/JX
돈	돈/NNG
없고	없/VA+고/EC
힘	힘/NNG
없어	없/VA+어/EC
무시당했고	무시/NNG+당하/XSV+았/EP+고/EC
버림받았다"며	버림받/VV+았/EP+다/EF+"/SS+며/EC
눈물을	눈물/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.26.7.3
건축 전문가 샘 웹씨는 "모든 게 마치 재앙이 터지길 기다렸던 것 같다"고 했다.

건축	건축/NNG
전문가	전문가/NNG
샘	샘/NNP
웹씨는	웹/NNP+씨/NNB+는/JX
"모든	"/SS+모든/MMN
게	거/NNB+이/JKS
마치	마치/MAG
재앙이	재앙/NNG+이/JKS
터지길	터지/VV+기/ETN+ㄹ/JKO
기다렸던	기다리/VV+었/EP+던/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.8.1
테리사 메이 정부에 대한 비판도 커지고 있다.

테리사	테리사/NNP
