# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.194
metadata : {}


# id : NWRW1800000026.194.1.1
'낙하산 기관장' 경영성적 살펴보니… 4명 중 3명 '보통 이하'… 탁월·우수 없어

'낙하산	'/SS+낙하산/NNG
기관장'	기관장/NNG+'/SS
경영성적	경영/NNG+성적/NNG
살펴보니…	살펴보/VV+니/EC+…/SE
4명	4/SN+명/NNB
중	중/NNB
3명	3/SN+명/NNB
'보통	'/SS+보통/NNG
이하'…	이하/NNG+'/SS+…/SE
탁월·우수	탁월/XR+·/SP+우수/NNG
없어	없/VA+어/EF


# id : NWRW1800000026.194.2.1
'정치권 낙하산' 공공기관장 4명 중 3명은 '보통 이하'의 경영실적을 올리고 있는 것으로 나타났다.

'정치권	'/SS+정치/NNG+권/XSN
낙하산'	낙하산/NNG+'/SS
공공기관장	공공/NNG+기관장/NNG
4명	4/SN+명/NNB
중	중/NNB
3명은	3/SN+명/NNB+은/JX
'보통	'/SS+보통/NNG
이하'의	이하/NNG+'/SS+의/JKG
경영실적을	경영/NNG+실적/NNG+을/JKO
올리고	올리/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.194.3.1
15일 본지가 전날 기획재정부가 발표한 경영평가 대상 공공기관장 96명을 분석한 결과, 이들 중 21명은 한나라당이나 이명박 대통령 대선캠프·인수위 출신의 소위 '정치권 낙하산'으로 분류됐다.

15일	15/SN+일/NNB
본지가	본지/NNG+가/JKS
전날	전날/NNG
기획재정부가	기획/NNG+재정부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
경영평가	경영/NNG+평가/NNG
대상	대상/NNG
공공기관장	공공/NNG+기관장/NNG
96명을	96/SN+명/NNB+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
이들	이/NP+들/XSN
중	중/NNB
21명은	21/SN+명/NNB+은/JX
한나라당이나	한나라당/NNP+이나/JC
이명박	이명박/NNP
대통령	대통령/NNG
대선캠프·인수위	대선/NNG+캠프/NNG+·/SP+인수위/NNG
출신의	출신/NNG+의/JKG
소위	소위/MAG
'정치권	'/SS+정치/NNG+권/XSN
낙하산'으로	낙하산/NNG+'/SS+으로/JKB
분류됐다.	분류/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.194.3.2
이 중 80점 이상인 '탁월' '우수' 평가 대상은 한명도 없었으며, 6명(29%)이 '양호'(70~80점) 평가를 받았다.

이	이/NP
중	중/NNB
80점	80/SN+점/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
'탁월'	'/SS+탁월/XR+'/SS
'우수'	'/SS+우수/NNG+'/SS
평가	평가/NNG
대상은	대상/NNG+은/JX
한명도	한/MMN+명/NNB+도/JX
없었으며,	없/VA+었/EP+으며/EC+,/SP
6명(29%)이	6/SN+명/NNB+(/SS+29/SN+%/SW+)/SS+이/JKS
'양호'(70~80점)	'/SS+양호/NNG+'/SS+(/SS+70/SN+~/SO+80/SN+점/NNB+)/SS
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.194.3.3
또 10명(48%)은 '보통'(60~70점)이었고, '경고' 대상인 '미흡'(50~60점)이 5명(23%)이었다.

또	또/MAG
10명(48%)은	10/SN+명/NNB+(/SS+48/SN+%/SW+)/SS+은/JX
'보통'(60~70점)이었고,	'/SS+보통/NNG+'/SS+(/SS+60/SN+~/SO+70/SN+점/NNB+)/SS+이/VCP+었/EP+고/EC+,/SP
'경고'	'/SS+경고/NNG+'/SS
대상인	대상/NNG+이/VCP+ㄴ/ETM
