# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.324
metadata : {}


# id : NWRW1800000041.324.1.1
朴대통령 한때 行試폐지 검토… 해경 해체 직접 결정

朴대통령	朴/SH+대통령/NNG
한때	한때/MAG
行試폐지	行試/SH+폐지/NNG
검토…	검토/NNG+…/SE
해경	해경/NNG
해체	해체/NNG
직접	직접/MAG
결정	결정/NNG


# id : NWRW1800000041.324.2.1
[대통령 대국민담화 이후] 담화 준비과정서 발표까지

[대통령	[/SS+대통령/NNG
대국민담화	대국민/NNG+담화/NNG
이후]	이후/NNG+]/SS
담화	담화/NNG
준비과정서	준비/NNG+과정/NNG+서/JKB
발표까지	발표/NNG+까지/JX


# id : NWRW1800000041.324.3.1
박근혜 대통령이 19일 내놓은 대국민 담화는 공직사회에 대한 대대적 개조를 통해 세월호 사태에서 드러난 적폐(積弊)를 일소하겠다는 승부수였던 것으로 전해졌다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
19일	19/SN+일/NNB
내놓은	내놓/VV+은/ETM
대국민	대국민/NNG
담화는	담화/NNG+는/JX
공직사회에	공직/NNG+사회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대대적	대대적/MMA
개조를	개조/NNG+를/JKO
통해	통하/VV+아/EC
세월호	세월호/NNP
사태에서	사태/NNG+에서/JKB
드러난	드러나/VV+ㄴ/ETM
적폐(積弊)를	적폐/NNG+(/SS+積弊/SH+)/SS+를/JKO
일소하겠다는	일소/NNG+하/XSV+겠/EP+다는/ETM
승부수였던	승부수/NNG+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.324.3.2
한 청와대 관계자는 “담화 준비 과정에서 박 대통령은 파격적인 강한 대책을 계속 주문했다”며 “향후 진행되는 구체적인 내용을 보면 대통령의 의지를 느낄 수 있을 것”이라고 말했다.

한	한/MMN
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
“담화	“/SS+담화/NNG
준비	준비/NNG
과정에서	과정/NNG+에서/JKB
박	박/NNP
대통령은	대통령/NNG+은/JX
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
대책을	대책/NNG+을/JKO
계속	계속/MAG
주문했다”며	주문/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“향후	“/SS+향후/NNG
