# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.312
metadata : {}


# id : NWRW1800000044.312.1.1
[유레카] 화살탄 / 김종구

[유레카]	[/SS+유레카/NNG+]/SS
화살탄	화살탄/NNG
/	//SP
김종구	김종구/NNP


# id : NWRW1800000044.312.2.1
[한겨레] 총의 발명과 함께 역사의 뒤안길로 사라졌던 화살이 다시 무기로 등장한 것은 제1차 세계대전 때다.

[한겨레]	[/SS+한겨레/NNP+]/SS
총의	총/NNG+의/JKG
발명과	발명/NNG+과/JKB
함께	함께/MAG
역사의	역사/NNG+의/JKG
뒤안길로	뒤안길/NNG+로/JKB
사라졌던	사라지/VV+었/EP+던/ETM
화살이	화살/NNG+이/JKS
다시	다시/MAG
무기로	무기/NNG+로/JKB
등장한	등장/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
제1차	제/XPN+1/SN+차/NNB
세계대전	세계/NNG+대전/NNG
때다.	때/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.312.2.2
프랑스군은 12~15㎝ 정도 길이의 철제 화살이 든 상자들을 비행기에 매달아 2㎞ 정도의 상공에서 투하했다.

프랑스군은	프랑스군/NNG+은/JX
12~15㎝	12/SN+~/SO+15/SN+㎝/SW
정도	정도/NNG
길이의	길이/NNG+의/JKG
철제	철제/NNG
화살이	화살/NNG+이/JKS
든	들/VV+ㄴ/ETM
상자들을	상자/NNG+들/XSN+을/JKO
비행기에	비행기/NNG+에/JKB
매달아	매달/VV+아/EC
2㎞	2/SN+㎞/SW
정도의	정도/NNG+의/JKG
상공에서	상공/NNG+에서/JKB
투하했다.	투하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.312.2.3
화살은 제조 원가도 싼데다 무게도 가벼워 비행기 한 대에 많으면 한꺼번에 1만2천개씩 실을 수 있었다.

화살은	화살/NNG+은/JX
제조	제조/NNG
원가도	원가/NNG+도/JX
싼데다	싸/VA+ㄴ/ETM+데/NNB+다/JX
무게도	무게/NNG+도/JX
가벼워	가볍/VA+어/EC
비행기	비행기/NNG
한	한/MMN
