# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.306
metadata : {}


# id : NWRW1800000030.306.1.1
[고위 공직자 재산공개] 전혜경 국립식량과학원장… 고위공직 최고 332억 신고, 1등 공신은 '외환딜러' 남편

[고위	[/SS+고위/NNG
공직자	공직자/NNG
재산공개]	재산/NNG+공개/NNG+]/SS
전혜경	전혜경/NNP
국립식량과학원장…	국립/NNG+식량/NNG+과학원장/NNG+…/SE
고위공직	고위/NNG+공직/NNG
최고	최고/NNG
332억	332/SN+억/NR
신고,	신고/NNG+,/SP
1등	1/SN+등/NNB
공신은	공신/NNG+은/JX
'외환딜러'	'/SS+외환/NNG+딜러/NNG+'/SS
남편	남편/NNG


# id : NWRW1800000030.306.2.1
고위 공직자 중에서 가장 재산이 많은 전혜경(53 ·사진) 국립식량과학원장이 신고한 재산은 332억3503만원이다.

고위	고위/NNG
공직자	공직자/NNG
중에서	중/NNB+에서/JKB
가장	가장/MAG
재산이	재산/NNG+이/JKS
많은	많/VA+은/ETM
전혜경(53	전혜경/NNP+(/SS+53/SN
·사진)	·/SP+사진/NNG+)/SS
국립식량과학원장이	국립/NNG+식량/NNG+과학원장/NNG+이/JKS
신고한	신고/NNG+하/XSV+ㄴ/ETM
재산은	재산/NNG+은/JX
332억3503만원이다.	332/SN+억/NR+3503/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.306.2.2
전 원장의 재산은 작년에 42억5637만원 증가해 공직자 중에서 가장 많이 늘어났다.

전	전/NNP
원장의	원장/NNG+의/JKG
재산은	재산/NNG+은/JX
작년에	작년/NNG+에/JKB
42억5637만원	42/SN+억/NR+5637/SN+만/NR+원/NNB
증가해	증가/NNG+하/XSV+아/EC
공직자	공직자/NNG
중에서	중/NNB+에서/JKB
가장	가장/MAG
많이	많이/MAG
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.306.3.1
그러나 정작 본인 재산은 전체 재산의 8.9%인 29억5119만원이다.

그러나	그러나/MAJ
정작	정작/MAG
본인	본인/NNG
재산은	재산/NNG+은/JX
전체	전체/NNG
재산의	재산/NNG+의/JKG
8.9%인	8/SN+./SP+9/SN+%/SW+이/VCP+ㄴ/ETM
29억5119만원이다.	29/SN+억/NR+5119/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.306.3.2
나머지 302억8384만원은 남편과 시댁의 재산이다.

나머지	나머지/NNG
302억8384만원은	302/SN+억/NR+8384/SN+만/NR+원/NNB+은/JX
남편과	남편/NNG+과/JC
시댁의	시댁/NNG+의/JKG
재산이다.	재산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.306.3.3
100억1675만원에 달하는 예금과 펀드 97억7753만원이 남편 몫이다.

100억1675만원에	100/SN+억/NR+1675/SN+만/NR+원/NNB+에/JKB
달하는	달하/VV+는/ETM
예금과	예금/NNG+과/JC
펀드	펀드/NNG
97억7753만원이	97/SN+억/NR+7753/SN+만/NR+원/NNB+이/JKS
남편	남편/NNG
몫이다.	몫/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.306.4.1
28년째 공무원 생활을 하고 있는 전 원장은 이화여대와 숙명여대에서 식품영양학을 전공한 식품분야 전문가다.

28년째	28/SN+년/NNB+째/XSN
공무원	공무원/NNG
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
전	전/NNP
원장은	원장/NNG+은/JX
이화여대와	이화여대/NNP+와/JC
숙명여대에서	숙명여대/NNP+에서/JKB
식품영양학을	식품/NNG+영양학/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
식품분야	식품/NNG+분야/NNG
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.306.4.2
1983년 농촌진흥청에 입사해 2008년 농진청에서 첫 여성 국장(연구정책국)으로 승진했고, 1999년 12월 여성으론 처음으로 식량과학원 원장에 올랐다.

1983년	1983/SN+년/NNB
농촌진흥청에	농촌/NNG+진흥청/NNG+에/JKB
입사해	입사/NNG+하/XSV+아/EC
2008년	2008/SN+년/NNB
농진청에서	농진청/NNG+에서/JKB
첫	첫/MMN
여성	여성/NNG
국장(연구정책국)으로	국장/NNG+(/SS+연구/NNG+정책국/NNG+)/SS+으로/JKB
승진했고,	승진/NNG+하/XSV+았/EP+고/EC+,/SP
1999년	1999/SN+년/NNB
12월	12/SN+월/NNB
여성으론	여성/NNG+으로/JKB+ㄴ/JX
처음으로	처음/NNG+으로/JKB
식량과학원	식량/NNG+과학원/NNG
원장에	원장/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.306.5.1
그러나 뻔한 공무원 월급을 감안하면 결국 전 원장의 재산 형성에 실제 기여한 사람은 남편 이모씨이다.

그러나	그러나/MAJ
뻔한	뻔하/VA+ㄴ/ETM
공무원	공무원/NNG
월급을	월급/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
결국	결국/NNG
전	전/NNP
원장의	원장/NNG+의/JKG
재산	재산/NNG
형성에	형성/NNG+에/JKB
실제	실제/NNG
기여한	기여/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
남편	남편/NNG
이모씨이다.	이/NNP+모/NP+씨/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.306.6.1
전 원장의 남편 이씨는 1980~2000년대 한 시중은행에서 외환 딜러로 일하며 외환시장을 풍미했던 사람으로 알려져 있다.

전	전/NNP
원장의	원장/NNG+의/JKG
남편	남편/NNG
이씨는	이/NNP+씨/NNB+는/JX
1980~2000년대	1980/SN+~/SO+2000/SN+년대/NNB
한	한/MMN
시중은행에서	시중/NNG+은행/NNG+에서/JKB
외환	외환/NNG
딜러로	딜러/NNG+로/JKB
일하며	일/NNG+하/XSV+며/EC
외환시장을	외환/NNG+시장/NNG+을/JKO
풍미했던	풍미/NNG+하/XSV+았/EP+던/ETM
사람으로	사람/NNG+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.306.6.2
전 원장이 신고한 남편의 재산을 살펴보면 외환을 주로 취급하는 은행에 23억3512만원의 예금이 들어 있고, 작년에만 17억8534만원이 불어나 현재도 외환 거래를 해서 수익을 올리는 것으로 추정할 수 있다.

전	전/NNP
원장이	원장/NNG+이/JKS
신고한	신고/NNG+하/XSV+ㄴ/ETM
남편의	남편/NNG+의/JKG
재산을	재산/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
외환을	외환/NNG+을/JKO
주로	주로/MAG
취급하는	취급/NNG+하/XSV+는/ETM
은행에	은행/NNG+에/JKB
23억3512만원의	23/SN+억/NR+3512/SN+만/NR+원/NNB+의/JKG
예금이	예금/NNG+이/JKS
들어	들/VV+어/EC
있고,	있/VX+고/EC+,/SP
작년에만	작년/NNG+에/JKB+만/JX
17억8534만원이	17/SN+억/NR+8534/SN+만/NR+원/NNB+이/JKS
불어나	불어나/VV+아/EC
현재도	현재/NNG+도/JX
외환	외환/NNG
거래를	거래/NNG+를/JKO
해서	하/VV+아서/EC
