# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.409
metadata : {}


# id : NWRW1800000022.409.1.1
다가온 '하지(Hajj·이슬람 성지 순례)' … 이란·사우디 또 갈등;이란 "사우디서 反美 집회"사우디 "혼란행위 용납못해"

다가온	다가오/VV+ㄴ/ETM
'하지(Hajj·이슬람	'/SS+하지/NNG+(/SS+Hajj/SL+·/SP+이슬람/NNG
성지	성지/NNG
순례)'	순례/NNG+)/SS+'/SS
…	…/SE
이란·사우디	이란/NNP+·/SP+사우디/NNP
또	또/MAG
갈등;이란	갈등/NNG+;/SW+이란/NNP
"사우디서	"/SS+사우디/NNP+서/JKB
反美	反美/SH
집회"사우디	집회/NNG+"/SS+사우디/NNP
"혼란행위	"/SS+혼란/NNG+행위/NNG
용납못해"	용납/NNG+못/MAG+하/VV+아/EF+"/SS


# id : NWRW1800000022.409.2.1
이슬람 최대의 종교 행사인 성지 순례 '하지(Hajj)'가 25일부터 시작된다.

이슬람	이슬람/NNG
최대의	최대/NNG+의/JKG
종교	종교/NNG
행사인	행사/NNG+이/VCP+ㄴ/ETM
성지	성지/NNG
순례	순례/NNG
'하지(Hajj)'가	'/SS+하지/NNG+(/SS+Hajj/SL+)/SS+'/SS+가/JKS
25일부터	25/SN+일/NNB+부터/JX
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.409.3.1
AFP통신은 "무슬림 250만명 이상이 하지 기간에 메카와 메디나 순례에 나선다"고 23일 보도했다.

AFP통신은	AFP통신/NNP+은/JX
"무슬림	"/SS+무슬림/NNG
250만명	250/SN+만/NR+명/NNB
이상이	이상/NNG+이/JKS
하지	하지/NNG
기간에	기간/NNG+에/JKB
메카와	메카/NNP+와/JC
메디나	메디나/NNP
순례에	순례/NNG+에/JKB
나선다"고	나서/VV+ㄴ다/EF+"/SS+고/JKQ
23일	23/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.409.3.2
메카는 이슬람 창시자인 마호메트가 태어난 곳이고, 메디나는 마호메트의 무덤이 있는 곳이다.

메카는	메카/NNP+는/JX
이슬람	이슬람/NNG
창시자인	창시자/NNG+이/VCP+ㄴ/ETM
마호메트가	마호메트/NNP+가/JKS
태어난	태어나/VV+ㄴ/ETM
곳이고,	곳/NNG+이/VCP+고/EC+,/SP
메디나는	메디나/NNP+는/JX
마호메트의	마호메트/NNP+의/JKG
무덤이	무덤/NNG+이/JKS
있는	있/VA+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.409.3.3
일찌감치 사우디아라비아에 도착한 순례자 4명이 신종플루로 사망했지만 올해도 열성 무슬림들은 순례를 포기하지 않을 태세라고 로이터통신이 21일 보도했다.

일찌감치	일찌감치/MAG
사우디아라비아에	사우디아라비아/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
순례자	순례자/NNG
4명이	4/SN+명/NNB+이/JKS
신종플루로	신종/NNG+플루/NNG+로/JKB
사망했지만	사망/NNG+하/XSV+았/EP+지만/EC
올해도	올해/NNG+도/JX
열성	열성/NNG
무슬림들은	무슬림/NNG+들/XSN+은/JX
순례를	순례/NNG+를/JKO
포기하지	포기/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
태세라고	태세/NNG+이/VCP+라고/EC
로이터통신이	로이터통신/NNP+이/JKS
21일	21/SN+일/NNB
