# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.204
metadata : {}


# id : NWRW1800000038.204.1.1
교육부, 대학 주최 '청소년 영어캠프' 폐쇄한다는데…

교육부,	교육부/NNG+,/SP
대학	대학/NNG
주최	주최/NNG
'청소년	'/SS+청소년/NNG
영어캠프'	영어/NNP+캠프/NNG+'/SS
폐쇄한다는데…	폐쇄/NNG+하/XSV+ㄴ다는데/EC+…/SE


# id : NWRW1800000038.204.2.1
"기숙 학원 등록해야 운영 가능, 기존 방학캠프는 사실상 불법"학생·학부모들 "이해할 수 없어"

"기숙	"/SS+기숙/NNG
학원	학원/NNG
등록해야	등록/NNG+하/XSV+아야/EC
운영	운영/NNG
가능,	가능/NNG+,/SP
기존	기존/NNG
방학캠프는	방학/NNG+캠프/NNG+는/JX
사실상	사실상/MAG
불법"학생·학부모들	불법/NNG+"/SS+학생/NNG+·/SP+학부모/NNG+들/XSN
"이해할	"/SS+이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없어"	없/VA+어/EF+"/SS


# id : NWRW1800000038.204.3.1
정부가 대학들이 주최하는 초·중·고등학생 대상 캠프들을 폐쇄하기로 했다.

정부가	정부/NNG+가/JKS
대학들이	대학/NNG+들/XSN+이/JKS
주최하는	주최/NNG+하/XSV+는/ETM
초·중·고등학생	초·중·고등학생/NNG
대상	대상/NNG
캠프들을	캠프/NNG+들/XSN+을/JKO
폐쇄하기로	폐쇄/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.204.4.1
교육부는 최근 대학들에 9일까지 학생 대상 캠프 운영 현황을 제출하고, 학생 대상 영어 캠프를 운영하는 곳은 폐쇄 계획을 함께 제출하라고 공문을 보냈다.

교육부는	교육부/NNG+는/JX
최근	최근/MAG
대학들에	대학/NNG+들/XSN+에/JKB
9일까지	9/SN+일/NNB+까지/JX
학생	학생/NNG
대상	대상/NNG
캠프	캠프/NNG
운영	운영/NNG
현황을	현황/NNG+을/JKO
제출하고,	제출/NNG+하/XSV+고/EC+,/SP
영어	영어/NNP
캠프를	캠프/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
곳은	곳/NNG+은/JX
폐쇄	폐쇄/NNG
계획을	계획/NNG+을/JKO
함께	함께/MAG
제출하라고	제출/NNG+하/XSV+라고/EC
공문을	공문/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.204.5.1
지난 2011년에 개정된 '학원의 설립·운영 및 과외 교습에 관한 법률'에 따르면 학원으로 등록하지 않고 초·중·고교생 대상 캠프를 운영하는 것이 금지된다.

지난	지나/VV+ㄴ/ETM
2011년에	2011/SN+년/NNB+에/JKB
개정된	개정/NNG+되/XSV+ㄴ/ETM
'학원의	'/SS+학원/NNG+의/JKG
설립·운영	설립/NNG+·/SP+운영/NNG
및	및/MAG
과외	과외/NNG
교습에	교습/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률'에	법률/NNG+'/SS+에/JKB
따르면	따르/VV+면/EC
학원으로	학원/NNG+으로/JKB
등록하지	등록/NNG+하/XSV+지/EC
않고	않/VX+고/EC
초·중·고교생	초·중·고교/NNG+생/XSN
대상	대상/NNG
캠프를	캠프/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
금지된다.	금지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.204.5.2
교육부 측은 "대학이 초·중·고교생 대상의 숙박 캠프를 운영하려면 '기숙 학원'으로 등록해야 한다"고 말했다.

교육부	교육부/NNG
측은	측/NNB+은/JX
"대학이	"/SS+대학/NNG+이/JKS
초·중·고교생	초·중·고교/NNG+생/XSN
대상의	대상/NNG+의/JKG
숙박	숙박/NNG
