# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.53
metadata : {}


# id : NWRW1800000030.53.1.1
美기업들 "베이비부머 세대 숙련공 챙겨라"

美기업들	美/SH+기업/NNG+들/XSN
"베이비부머	"/SS+베이비부머/NNG
세대	세대/NNG
숙련공	숙련공/NNG
챙겨라"	챙기/VV+어라/EF+"/SS


# id : NWRW1800000030.53.2.1
•퇴근 후 근육마사지 서비스… 공장에 관절 전문가도 상주

•퇴근	•/SW+퇴근/NNG
후	후/NNG
근육마사지	근육/NNG+마사지/NNG
서비스…	서비스/NNG+…/SE
공장에	공장/NNG+에/JKB
관절	관절/NNG
전문가도	전문가/NNG+도/JX
상주	상주/NNG


# id : NWRW1800000030.53.3.1
미국 위스콘신주(州) 메노모니폴스에 있는 할리데이비슨 오토바이 공장의 50~60대 직원들은 일하다 팔다리가 욱신거리면 전문가를 긴급 호출한다.

미국	미국/NNP
위스콘신주(州)	위스콘신주/NNP+(/SS+州/SH+)/SS
메노모니폴스에	메노모니폴스/NNP+에/JKB
있는	있/VA+는/ETM
할리데이비슨	할리데이비슨/NNP
오토바이	오토바이/NNG
공장의	공장/NNG+의/JKG
50~60대	50/SN+~/SO+60/SN+대/NNB
직원들은	직원/NNG+들/XSN+은/JX
일하다	일/NNG+하/XSV+다/EC
팔다리가	팔다리/NNG+가/JKS
욱신거리면	욱신거리/VV+면/EC
전문가를	전문가/NNG+를/JKO
긴급	긴급/NNG
호출한다.	호출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.53.3.2
공장에 늘 상주하는 관절 전문가들은 이들이 고통을 호소하면 즉각 달려와 아픈 부위를 살핀다.

공장에	공장/NNG+에/JKB
늘	늘/MAG
상주하는	상주/NNG+하/XSV+는/ETM
관절	관절/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
이들이	이/NP+들/XSN+이/JKS
고통을	고통/NNG+을/JKO
호소하면	호소/NNG+하/XSV+면/EC
즉각	즉각/MAG
달려와	달려오/VV+아/EC
아픈	아프/VA+ㄴ/ETM
부위를	부위/NNG+를/JKO
살핀다.	살피/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.53.3.3
근무 시간이 끝난 후엔 적절한 마사지나 스트레칭을 통해 관절과 근육을 풀어준다.

근무	근무/NNG
시간이	시간/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
후엔	후/NNG+에/JKB+ㄴ/JX
적절한	적절하/VA+ㄴ/ETM
마사지나	마사지/NNG+나/JC
스트레칭을	스트레칭/NNG+을/JKO
통해	통하/VV+아/EC
관절과	관절/NNG+과/JC
근육을	근육/NNG+을/JKO
풀어준다.	풀/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.53.3.4
월스트리트저널은 할리데이비슨 등 다수의 기업이 50~60대에 접어든 베이비부머들의 숙련된 기술을 놓치지 않기 위해 '50~60대 맞춤형' 건강관리 프로그램을 도입하고 있다고 28일 보도했다.

월스트리트저널은	월스트리트저널/NNP+은/JX
할리데이비슨	할리데이비슨/NNP
등	등/NNB
다수의	다수/NNG+의/JKG
기업이	기업/NNG+이/JKS
50~60대에	50/SN+~/SO+60/SN+대/NNB+에/JKB
접어든	접어들/VV+ㄴ/ETM
베이비부머들의	베이비부머/NNG+들/XSN+의/JKG
숙련된	숙련/NNG+되/XSV+ㄴ/ETM
기술을	기술/NNG+을/JKO
놓치지	놓치/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
'50~60대	'/SS+50/SN+~/SO+60/SN+대/NNB
맞춤형'	맞춤/NNG+형/XSN+'/SS
건강관리	건강/NNG+관리/NNG
프로그램을	프로그램/NNG+을/JKO
도입하고	도입/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
28일	28/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.53.4.1
미국의 실업률이 9%에 달해 일하겠다는 이들이 넘치는데도 기업들이 베이비부머에 집착하는 이유는 그만큼 숙련된 기술자를 구하기가 쉽지 않기 때문이다.

미국의	미국/NNP+의/JKG
실업률이	실업/NNG+률/XSN+이/JKS
9%에	9/SN+%/SW+에/JKB
달해	달하/VV+아/EC
일하겠다는	일/NNG+하/XSV+겠/EP+다는/ETM
이들이	이/NNB+들/XSN+이/JKS
넘치는데도	넘치/VV+는데/EC+도/JX
기업들이	기업/NNG+들/XSN+이/JKS
베이비부머에	베이비부머/NNG+에/JKB
집착하는	집착/NNG+하/XSV+는/ETM
이유는	이유/NNG+는/JX
그만큼	그만큼/MAG
숙련된	숙련/NNG+되/XSV+ㄴ/ETM
기술자를	기술자/NNG+를/JKO
구하기가	구하/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.53.4.2
'장인이 만든 오토바이'로 유명한 할리데이비슨의 경우 오토바이를 제작하는 베이비붐 세대의 기술자들이 일제히 그만두거나 아프기라도 하면 생산에 차질이 생길 가능성이 있다.

'장인이	'/SS+장인/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
오토바이'로	오토바이/NNG+'/SS+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
할리데이비슨의	할리데이비슨/NNP+의/JKG
경우	경우/NNG
오토바이를	오토바이/NNG+를/JKO
제작하는	제작/NNG+하/XSV+는/ETM
베이비붐	베이비붐/NNG
세대의	세대/NNG+의/JKG
기술자들이	기술자/NNG+들/XSN+이/JKS
일제히	일제히/MAG
그만두거나	그만두/VV+거나/EC
아프기라도	아프/VA+기/ETN+라도/JX
하면	하/VX+면/EC
생산에	생산/NNG+에/JKB
차질이	차질/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.53.4.3
노스캐롤라이나주에 있는 전자기기 회사 '듀크 에너지'는 중장년 근로자들이 공장 일을 시작하기 전에 관절 부상을 예방하기 위한 스트레칭 트레이닝을 받도록 스트레칭 전문가를 고용했다.

