# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.364
metadata : {}


# id : NWRW1800000049.364.1.1
“北, 한미동맹 끝장내고 핵보유국 지위 인정 노려”

“北,	“/SS+北/SH+,/SP
한미동맹	한미/NNP+동맹/NNG
끝장내고	끝장내/VV+고/EC
핵보유국	핵보유국/NNG
지위	지위/NNG
인정	인정/NNG
노려”	노리/VV+어/EF+”/SS


# id : NWRW1800000049.364.2.1
[머리 위의 북핵 대응전략 바꾸자] 한반도 전문가들이 본 ‘北의 속내’

[머리	[/SS+머리/NNG
위의	위/NNG+의/JKG
북핵	북핵/NNG
대응전략	대응/NNG+전략/NNG
바꾸자]	바꾸/VV+자/EF+]/SS
한반도	한반도/NNP
전문가들이	전문가/NNG+들/XSN+이/JKS
본	보/VV+ㄴ/ETM
‘北의	‘/SS+北/SH+의/JKG
속내’	속내/NNG+’/SS


# id : NWRW1800000049.364.3.1
“미국은 한국을 계속 방어해 샌프란시스코를 위험에 빠뜨릴 생각인가?”

“미국은	“/SS+미국/NNP+은/JX
한국을	한국/NNP+을/JKO
계속	계속/MAG
방어해	방어/NNG+하/XSV+아/EC
샌프란시스코를	샌프란시스코/NNP+를/JKO
위험에	위험/NNG+에/JKB
빠뜨릴	빠뜨리/VV+ㄹ/ETM
생각인가?”	생각/NNG+이/VCP+ㄴ가/EF+?/SF+”/SS


# id : NWRW1800000049.364.4.1
미국의 한반도 전문가인 래리 닉시 전략국제문제연구소(CSIS) 연구위원은 동아일보와의 e메일 인터뷰에서 2020년 이후 미국과의 협상 테이블에 앉은 북한 측 인사가 할 수 있는 ‘공갈’의 한 가지를 이렇게 꼽았다.

미국의	미국/NNP+의/JKG
한반도	한반도/NNP
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
래리	래리/NNP
닉시	닉시/NNP
전략국제문제연구소(CSIS)	전략국제문제연구소/NNP+(/SS+CSIS/SL+)/SS
연구위원은	연구/NNG+위원/NNG+은/JX
동아일보와의	동아일보/NNP+와/JKB+의/JKG
e메일	e/SL+메일/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
2020년	2020/SN+년/NNB
이후	이후/NNG
미국과의	미국/NNP+과/JKB+의/JKG
협상	협상/NNG
테이블에	테이블/NNG+에/JKB
앉은	앉/VV+은/ETM
북한	북한/NNP
측	측/NNB
인사가	인사/NNG+가/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘공갈’의	‘/SS+공갈/NNG+’/SS+의/JKG
한	한/MMN
가지를	가지/NNB+를/JKO
이렇게	이렇/VA+게/EC
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.364.4.2
2020년이면 북한이 (괌과 오키나와 등) 태평양의 미군 기지나 본토 서부해안을 핵미사일로 공격할 능력을 갖게 될 것이며 이를 통해 6·25전쟁 이후 숙원인 한미동맹의 종식을 노릴 것이라는 이야기다.

2020년이면	2020/SN+년/NNB+이/VCP+면/EC
북한이	북한/NNP+이/JKS
(괌과	(/SS+괌/NNP+과/JC
오키나와	오키나와/NNP
등)	등/NNB+)/SS
태평양의	태평양/NNP+의/JKG
미군	미군/NNG
기지나	기지/NNG+나/JC
본토	본토/NNG
서부해안을	서부/NNG+해안/NNG+을/JKO
핵미사일로	핵미사일/NNG+로/JKB
공격할	공격/NNG+하/XSV+ㄹ/ETM
능력을	능력/NNG+을/JKO
갖게	갖/VV+게/EC
될	되/VV+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
이를	이/NP+를/JKO
통해	통하/VV+아/EC
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
이후	이후/NNG
숙원인	숙원/NNG+이/VCP+ㄴ/ETM
한미동맹의	한미/NNP+동맹/NNG+의/JKG
종식을	종식/NNG+을/JKO
노릴	노리/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.364.5.1
그를 포함해 많은 미국 전문가들이 사실상 핵 보유 국가가 된 북한이 추구할 목표로 ‘한미동맹의 교란과 와해’를 들었다.

그를	그/NP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
많은	많/VA+은/ETM
미국	미국/NNP
전문가들이	전문가/NNG+들/XSN+이/JKS
사실상	사실/NNG+상/XSN
핵	핵/NNG
보유	보유/NNG
국가가	국가/NNG+가/JKC
된	되/VV+ㄴ/ETM
북한이	북한/NNP+이/JKS
추구할	추구/NNG+하/XSV+ㄹ/ETM
목표로	목표/NNG+로/JKB
‘한미동맹의	‘/SS+한미/NNP+동맹/NNG+의/JKG
교란과	교란/NNG+과/JC
와해’를	와해/NNG+’/SS+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.364.5.2
패트릭 크로닌 미국신안보센터(CNAS) 아시아태평양안보소장은 “핵을 가진 김정은은 자신의 권위를 한반도 전체로 확대하고 싶어 하며 이를 위해 한미동맹을 끝장내고 핵보유국의 지위를 얻고자 할 것”이라고 전망했다.

패트릭	패트릭/NNP
크로닌	크로닌/NNP
미국신안보센터(CNAS)	미국신안보센터/NNP+(/SS+CNAS/SL+)/SS
아시아태평양안보소장은	아시아/NNP+태평양/NNP+안보/NNG+소장/NNG+은/JX
“핵을	“/SS+핵/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
김정은은	김정은/NNP+은/JX
자신의	자신/NNG+의/JKG
권위를	권위/NNG+를/JKO
한반도	한반도/NNP
전체로	전체/NNG+로/JKB
확대하고	확대/NNG+하/XSV+고/EC
싶어	싶/VX+어/EC
하며	하/VX+며/EC
이를	이/NP+를/JKO
위해	위하/VV+아/EC
한미동맹을	한미/NNP+동맹/NNG+을/JKO
끝장내고	끝장내/VV+고/EC
핵보유국의	핵보유국/NNG+의/JKG
지위를	지위/NNG+를/JKO
얻고자	얻/VV+고자/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.364.5.3
빅터 차 CSIS 한국석좌도 “북한은 한국이 배제된 상태에서 미국과 평화협정을 맺고 싶어 한다”고 말했다.

빅터	빅터/NNP
차	차/NNP
CSIS	CSIS/SL
한국석좌도	한국/NNP+석좌/NNG+도/JX
“북한은	“/SS+북한/NNP+은/JX
한국이	한국/NNP+이/JKS
배제된	배제/NNG+되/XSV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
미국과	미국/NNP+과/JKB
평화협정을	평화/NNG+협정/NNG+을/JKO
맺고	맺/VV+고/EC
싶어	싶/VX+어/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.364.6.1
해외 전문가들은 또 핵을 가진 북한이 남한을 상대로 과감한 무력시위나 공세를 할 우려가 크다고 입을 모았다.

해외	해외/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
또	또/MAG
핵을	핵/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
북한이	북한/NNP+이/JKS
남한을	남한/NNP+을/JKO
상대로	상대/NNG+로/JKB
과감한	과감하/VA+ㄴ/ETM
무력시위나	무력시위/NNG+나/JC
공세를	공세/NNG+를/JKO
할	하/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
크다고	크/VA+다고/EC
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.364.6.2
오코노기 마사오(小此木政夫) 게이오대 명예교수는 “경제 건설과 핵무력 건설의 병진 노선을 계속하면서 정치와 군사를 혼합시킨 복잡한 도발을 시도할지도 모른다”고 분석했다.

오코노기	오코노기/NNP
마사오(小此木政夫)	마사오/NNP+(/SS+小此木政夫/SH+)/SS
게이오대	게이오대/NNP
명예교수는	명예/NNG+교수/NNG+는/JX
“경제	“/SS+경제/NNG
건설과	건설/NNG+과/JC
핵무력	핵/NNG+무력/NNG
건설의	건설/NNG+의/JKG
병진	병진/NNG
노선을	노선/NNG+을/JKO
계속하면서	계속/NNG+하/XSV+면서/EC
정치와	정치/NNG+와/JC
군사를	군사/NNG+를/JKO
