# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.441
metadata : {}


# id : NWRW1800000038.441.1.1
朴대통령, 새해 취임후 첫 회견… 본격 소통 나서나

朴대통령,	朴/SH+대통령/NNG+,/SP
새해	새해/NNG
취임후	취임/NNG+후/NNG
첫	첫/MMN
회견…	회견/NNG+…/SE
본격	본격/NNG
소통	소통/NNG
나서나	나서/VV+나/EF


# id : NWRW1800000038.441.2.1
민심 수습위해 첫 설 특별사면도 추진

민심	민심/NNG
수습위해	수습/NNG+위하/VV+아/EC
첫	첫/MMN
설	설/NNG
특별사면도	특별/NNG+사면/NNG+도/JX
추진	추진/NNG


# id : NWRW1800000038.441.3.1
박근혜 대통령은 23일 오전 청와대 수석비서관 회의를 주재하면서 내년 설 특별사면과 신년 기자회견 준비를 지시했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
23일	23/SN+일/NNB
오전	오전/NNG
청와대	청와대/NNP
수석비서관	수석/NNG+비서관/NNG
회의를	회의/NNG+를/JKO
주재하면서	주재/NNG+하/XSV+면서/EC
내년	내년/NNG
설	설/NNG
특별사면과	특별/NNG+사면/NNG+과/JC
신년	신년/NNG
기자회견	기자/NNG+회견/NNG
준비를	준비/NNG+를/JKO
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.3.2
청와대는 서면 브리핑을 통해 그 내용을 공개했다.

청와대는	청와대/NNP+는/JX
서면	서면/NNG
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+아/EC
그	그/MMD
내용을	내용/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.4.1
두 지시는 박 대통령 지지율이 50% 밑으로 하락하고, 철도 파업 문제로 노정(勞政) 간 갈등이 고조되는 국면에서 나왔다.

두	두/MMN
지시는	지시/NNG+는/JX
박	박/NNP
대통령	대통령/NNG
지지율이	지지/NNG+율/XSN+이/JKS
50%	50/SN+%/SW
밑으로	밑/NNG+으로/JKB
하락하고,	하락/NNG+하/XSV+고/EC+,/SP
철도	철도/NNG
파업	파업/NNG
문제로	문제/NNG+로/JKB
노정(勞政)	노정/NNG+(/SS+勞政/SH+)/SS
간	간/NNB
갈등이	갈등/NNG+이/JKS
고조되는	고조/NNG+되/XSV+는/ETM
국면에서	국면/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.4.2
대통령에 대한 '불통' 논란을 누그러뜨리고 민심도 수습하는 차원이라는 관측이다.

대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'불통'	'/SS+불통/NNG+'/SS
논란을	논란/NNG+을/JKO
누그러뜨리고	누그러뜨리/VV+고/EC
민심도	민심/NNG+도/JX
수습하는	수습/NNG+하/XSV+는/ETM
차원이라는	차원/NNG+이/VCP+라는/ETM
관측이다.	관측/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.441.5.1
◇1월에 취임 후 첫 기자회견

◇1월에	◇/SW+1/SN+월/NNB+에/JKB
취임	취임/NNG
후	후/NNG
첫	첫/MMN
기자회견	기자/NNG+회견/NNG


# id : NWRW1800000038.441.6.1
박 대통령은 취임 이후 한 번도 기자회견을 하지 않았다.

박	박/NNP
대통령은	대통령/NNG+은/JX
취임	취임/NNG
이후	이후/NNG
한	한/MMN
번도	번/NNB+도/JX
기자회견을	기자/NNG+회견/NNG+을/JKO
하지	하/VV+지/EC
