# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.9
metadata : {}


# id : NWRW1800000037.9.1.1
한은, 기준금리 2.75% 넉달째 동결

한은,	한은/NNP+,/SP
기준금리	기준/NNG+금리/NNG
2.75%	2/SN+./SP+75/SN+%/SW
넉달째	넉/MMN+달/NNB+째/XSN
동결	동결/NNG


# id : NWRW1800000037.9.2.1
김중수 “경기 완만한 회복세”

김중수	김중수/NNP
“경기	“/SS+경기/NNG
완만한	완만하/VA+ㄴ/ETM
회복세”	회복세/NNG+”/SS


# id : NWRW1800000037.9.3.1
한국은행은 14일 금융통화위원회를 열어 기준금리를 연 2.75%로 동결했다.

한국은행은	한국은행/NNP+은/JX
14일	14/SN+일/NNB
금융통화위원회를	금융/NNG+통화/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
기준금리를	기준/NNG+금리/NNG+를/JKO
연	연/NNG
2.75%로	2/SN+./SP+75/SN+%/SW+로/JKB
동결했다.	동결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.9.3.2
한은은 지난해 7월과 10월 기준금리를 각각 0.25%포인트 인하한 후 11월부터 넉 달째 현 금리 수준을 유지하고 있다.

한은은	한은/NNP+은/JX
지난해	지난해/NNG
7월과	7/SN+월/NNB+과/JC
10월	10/SN+월/NNB
기준금리를	기준/NNG+금리/NNG+를/JKO
각각	각각/MAG
0.25%포인트	0/SN+./SP+25/SN+%포인트/NNG
인하한	인하/NNG+하/XSV+ㄴ/ETM
후	후/NNG
11월부터	11/SN+월/NNB+부터/JX
넉	넉/MMN
달째	달/NNB+째/XSN
현	현/MMD
금리	금리/NNG
수준을	수준/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.9.4.1
김중수 한은 총재는 금리 동결 배경으로 “주요국의 양적 완화에 힘입어 국제 금융시장은 안정을 지속해오고 있고 글로벌 주가도 전월 대비 상승하는 등 세계 경제가 완만한 회복세를 이어가고 있다”고 말했다.

김중수	김중수/NNP
한은	한은/NNP
총재는	총재/NNG+는/JX
금리	금리/NNG
동결	동결/NNG
배경으로	배경/NNG+으로/JKB
“주요국의	“/SS+주요국/NNG+의/JKG
양적	양/NNG+적/XSN
완화에	완화/NNG+에/JKB
힘입어	힘입/VV+어/EC
국제	국제/NNG
금융시장은	금융/NNG+시장/NNG+은/JX
안정을	안정/NNG+을/JKO
지속해오고	지속/NNG+하/XSV+아/EC+오/VX+고/EC
있고	있/VX+고/EC
글로벌	글로벌/NNG
주가도	주가/NNG+도/JX
전월	전월/NNG
대비	대비/NNG
상승하는	상승/NNG+하/XSV+는/ETM
등	등/NNB
세계	세계/NNG
경제가	경제/NNG+가/JKS
완만한	완만하/VA+ㄴ/ETM
회복세를	회복세/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.9.5.1
이날 한은이 배포한 ‘최근의 국내외 경제동향’에 따르면 한국의 1월 수출은 중국과 동남아 등의 수요회복으로 지난해 같은 기간보다 11.8%, 12월 설비투자는 9.9% 늘었다.

이날	이날/NNG
한은이	한은/NNP+이/JKS
