# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.110
metadata : {}


# id : NWRW1800000030.110.1.1
"선플 달아요" 전국 청소년 용돈 모아 착한 캠페인

"선플	"/SS+선플/NNG
달아요"	달/VV+아요/EF+"/SS
전국	전국/NNG
청소년	청소년/NNG
용돈	용돈/NNG
모아	모으/VV+아/EC
착한	착하/VA+ㄴ/ETM
캠페인	캠페인/NNG


# id : NWRW1800000030.110.2.1
전북 부안여고, 부산 동아중, 대전 남대전고….

전북	전북/NNP
부안여고,	부안여고/NNP+,/SP
부산	부산/NNP
동아중,	동아중/NNP+,/SP
대전	대전/NNP
남대전고….	남대전고/NNP+…/SE+./SF


# id : NWRW1800000030.110.3.1
전국 12개 지역 청소년들이 시민들에게 인터넷에서 '선플'을 달자며 촉구하는 데 나섰다.

전국	전국/NNG
12개	12/SN+개/NNB
지역	지역/NNG
청소년들이	청소년/NNG+들/XSN+이/JKS
시민들에게	시민/NNG+들/XSN+에게/JKB
인터넷에서	인터넷/NNG+에서/JKB
'선플'을	'/SS+선플/NNG+'/SS+을/JKO
달자며	달/VV+자며/EC
촉구하는	촉구/NNG+하/XSV+는/ETM
데	데/NNB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.110.3.2
선플이란 인터넷상에서 칭찬과 격려의 댓글을 의미하는 단어다.

선플이란	선플/NNG+이란/JX
인터넷상에서	인터넷/NNG+상/XSN+에서/JKB
칭찬과	칭찬/NNG+과/JC
격려의	격려/NNG+의/JKG
댓글을	댓글/NNG+을/JKO
의미하는	의미/NNG+하/XSV+는/ETM
단어다.	단어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.110.3.3
전남 목포마리아회고, 인천 영종중, 용인 성복고, 경북 김천농공고, 포항 오천고, 평택 한광고, 경남 창녕여중, 화성 동탄고, 안산공업고 등 12개 학교는 17일 부산 광안리와 전남 해남 땅끝마을 등 전국 거리에서 '선플을 달자'는 캠페인을 벌였다.

전남	전남/NNP
목포마리아회고,	목포마리아회고/NNP+,/SP
인천	인천/NNP
영종중,	영종중/NNP+,/SP
용인	용인/NNP
성복고,	성복고/NNP+,/SP
경북	경북/NNP
김천농공고,	김천농공고/NNP+,/SP
포항	포항/NNP
오천고,	오천고/NNP+,/SP
평택	평택/NNP
한광고,	한광고/NNP+,/SP
경남	경남/NNP
창녕여중,	창녕여중/NNP+,/SP
화성	화성/NNP
동탄고,	동탄고/NNP+,/SP
안산공업고	안산공업고/NNP
등	등/NNB
12개	12/SN+개/NNB
학교는	학교/NNG+는/JX
17일	17/SN+일/NNB
부산	부산/NNP
광안리와	광안리/NNP+와/JC
해남	해남/NNP
땅끝마을	땅끝마을/NNP
전국	전국/NNG
거리에서	거리/NNG+에서/JKB
'선플을	'/SS+선플/NNG+을/JKO
달자'는	달/VV+자/EF+'/SS+는/ETM
캠페인을	캠페인/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.110.4.1
전북 부안여고(교장 김철) 선플누리단 'YES'(지도교사 서기원)는 이날 부산을 방문해 부산 동아중 선플누리단 학생들과 함께 광안리 해수욕장 인근에서 선플 거리 캠페인을 진행했다.

전북	전북/NNP
부안여고(교장	부안여고/NNP+(/SS+교장/NNG
김철)	김철/NNP+)/SS
선플누리단	선플누리단/NNP
'YES'(지도교사	'/SS+YES/SL+'/SS+(/SS+지도/NNG+교사/NNG
서기원)는	서기원/NNP+)/SS+는/JX
이날	이날/NNG
