# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.321
metadata : {}


# id : NWRW1800000049.321.1.1
비례 지지율, 더민주 18%: 국민의당 17%

비례	비례/NNG
지지율,	지지/NNG+율/XSN+,/SP
더민주	더민주/NNP
18%:	18/SN+%/SW+:/SP
국민의당	국민의당/NNP
17%	17/SN+%/SW


# id : NWRW1800000049.321.2.1
[총선 D-4]마지막 주말 총력전 서울-호남선 국민의당이 앞서… 지역구-비례의원 교차투표 뚜렷

[총선	[/SS+총선/NNG
D-4]마지막	D/SL+-/SO+4/SN+]/SS+마지막/NNG
주말	주말/NNG
총력전	총력전/NNG
서울-호남선	서울/NNP+-/SO+호남/NNP+서/JKB+ㄴ/JX
국민의당이	국민의당/NNP+이/JKS
앞서…	앞서/VV+어/EF+…/SE
지역구-비례의원	지역구/NNG+-/SO+비례/NNG+의원/NNG
교차투표	교차/NNG+투표/NNG
뚜렷	뚜렷/XR


# id : NWRW1800000049.321.3.1
4·13총선 막판 여론조사에서 ‘국민의당에 비례대표 정당투표를 하겠다’는 유권자가 17%인 것으로 나타났다.

4·13총선	4/SN+·/SP+13/SN+총선/NNG
막판	막판/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
‘국민의당에	‘/SS+국민의당/NNP+에/JKB
비례대표	비례/NNG+대표/NNG
정당투표를	정당/NNG+투표/NNG+를/JKO
하겠다’는	하/VV+겠/EP+다/EF+’/SS+는/ETM
유권자가	유권자/NNG+가/JKS
17%인	17/SN+%/SW+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.321.3.2
제1야당인 더불어민주당에 비례대표 투표 의사를 밝힌 것(18%)과 비슷해 정당투표로 결정되는 비례대표 의석수가 선거 막판 최대 변수로 떠올랐다.

제1야당인	제/XPN+1/SN+야당/NNG+이/VCP+ㄴ/ETM
더불어민주당에	더불어민주당/NNP+에/JKB
비례대표	비례/NNG+대표/NNG
투표	투표/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것(18%)과	것/NNB+(/SS+18/SN+%/SW+)/SS+과/JKB
비슷해	비슷하/VA+아/EC
정당투표로	정당/NNG+투표/NNG+로/JKB
결정되는	결정/NNG+되/XSV+는/ETM
의석수가	의석수/NNG+가/JKS
선거	선거/NNG
막판	막판/NNG
최대	최대/NNG
변수로	변수/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.321.4.1
한국갤럽이 8일 발표한 여론조사 결과 20대 총선에서 투표할 비례대표 정당을 묻는 질문에 △새누리당 36% △더민주당 18% △국민의당 17% △정의당 9% 순이었다.

한국갤럽이	한국갤럽/NNP+이/JKS
8일	8/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
여론조사	여론/NNG+조사/NNG
결과	결과/NNG
20대	20/SN+대/NNB
총선에서	총선/NNG+에서/JKB
투표할	투표/NNG+하/XSV+ㄹ/ETM
비례대표	비례/NNG+대표/NNG
정당을	정당/NNG+을/JKO
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
△새누리당	△/SW+새누리당/NNP
36%	36/SN+%/SW
△더민주당	△/SW+더민주당/NNP
18%	18/SN+%/SW
△국민의당	△/SW+국민의당/NNP
17%	17/SN+%/SW
△정의당	△/SW+정의당/NNP
9%	9/SN+%/SW
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.321.4.2
이를 토대로 공직선거법상 비례대표 의석 배분 방식으로 나눠보면 총 비례대표 47석 중 △새누리당 21석 △더민주당 11석 △국민의당 10석 △정의당 5석 순으로 나눠 가질 수 있다는 계산이 나온다.

이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
공직선거법상	공직/NNG+선거법/NNG+상/XSN
비례대표	비례/NNG+대표/NNG
의석	의석/NNG
배분	배분/NNG
방식으로	방식/NNG+으로/JKB
나눠보면	나누/VV+어/EC+보/VX+면/EC
총	총/MMA
47석	47/SN+석/NNB
중	중/NNB
△새누리당	△/SW+새누리당/NNP
21석	21/SN+석/NNB
△더민주당	△/SW+더민주당/NNP
11석	11/SN+석/NNB
△국민의당	△/SW+국민의당/NNP
10석	10/SN+석/NNB
△정의당	△/SW+정의당/NNP
5석	5/SN+석/NNB
순으로	순/NNB+으로/JKB
나눠	나누/VV+어/EC
가질	가지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
계산이	계산/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.321.4.3
더민주당은 애초 목표로 했던 비례대표 15석보다 4석가량 줄어들 수도 있다는 얘기다.

더민주당은	더민주당/NNP+은/JX
애초	애초/NNG
목표로	목표/NNG+로/JKB
했던	하/VV+았/EP+던/ETM
비례대표	비례/NNG+대표/NNG
15석보다	15/SN+석/NNB+보다/JKB
4석가량	4/SN+석/NNB+가량/XSN
줄어들	줄어들/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.321.5.1
특히 호남권에서 국민의당의 상승세가 눈에 띈다.

특히	특히/MAG
호남권에서	호남/NNP+권/XSN+에서/JKB
국민의당의	국민의당/NNP+의/JKG
상승세가	상승세/NNG+가/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.321.5.2
호남권에서 비례대표 투표 정당을 묻는 질문에는 국민의당(38%)이 더민주당(19%)보다 2배나 높았다.

호남권에서	호남/NNP+권/XSN+에서/JKB
비례대표	비례/NNG+대표/NNG
투표	투표/NNG
정당을	정당/NNG+을/JKO
묻는	묻/VV+는/ETM
질문에는	질문/NNG+에/JKB+는/JX
국민의당(38%)이	국민의당/NNP+(/SS+38/SN+%/SW+)/SS+이/JKS
더민주당(19%)보다	더민주당/NNP+(/SS+19/SN+%/SW+)/SS+보다/JKB
2배나	2/SN+배/NNG+나/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.321.5.3
서울에서도 국민의당(23%)이 더민주당(15%)을 앞섰다.

서울에서도	서울/NNP+에서/JKB+도/JX
국민의당(23%)이	국민의당/NNP+(/SS+23/SN+%/SW+)/SS+이/JKS
더민주당(15%)을	더민주당/NNP+(/SS+15/SN+%/SW+)/SS+을/JKO
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.321.6.1
이 같은 민심은 호남지역에서 여전히 ‘반(反)문재인 정서’가 해소되지 못하고 있고 국민의당을 대안 야당으로 생각하기 시작한 결과로 해석된다.

이	이/NP
같은	같/VA+은/ETM
민심은	민심/NNG+은/JX
호남지역에서	호남지역/NNP+에서/JKB
여전히	여전히/MAG
‘반(反)문재인	‘/SS+반/XPN+(/SS+反/SH+)/SS+문재인/NNP
정서’가	정서/NNG+’/SS+가/JKS
해소되지	해소/NNG+되/XSV+지/EC
못하고	못하/VX+고/EC
있고	있/VX+고/EC
국민의당을	국민의당/NNP+을/JKO
대안	대안/NNG
야당으로	야당/NNG+으로/JKB
생각하기	생각/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
결과로	결과/NNG+로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.321.6.2
문 전 대표의 호남 방문이 막판 표심에 어떤 영향을 줄지 주목된다.

문	문/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
호남	호남/NNP
방문이	방문/NNG+이/JKS
막판	막판/NNG
표심에	표심/NNG+에/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
줄지	주/VV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.321.7.1
한국갤럽 조사에 따르면 지지하는 후보의 정당과 비례대표 투표 정당을 다르게 선택하는 교차투표 가능성도 높아 보인다.

한국갤럽	한국갤럽/NNP
조사에	조사/NNG+에/JKB
따르면	따르/VV+면/EC
지지하는	지지/NNG+하/XSV+는/ETM
후보의	후보/NNG+의/JKG
정당과	정당/NNG+과/JC
비례대표	비례/NNG+대표/NNG
투표	투표/NNG
정당을	정당/NNG+을/JKO
다르게	다르/VA+게/EC
선택하는	선택/NNG+하/XSV+는/ETM
교차투표	교차/NNG+투표/NNG
가능성도	가능/NNG+성/XSN+도/JX
높아	높/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.321.7.2
이번 총선에서 투표할 후보의 소속 정당에 대한 응답은 △새누리당 36% △더민주당 21% △국민의당 10% △정의당 2% 순이었다.

이번	이번/NNG
총선에서	총선/NNG+에서/JKB
투표할	투표/NNG+하/XSV+ㄹ/ETM
후보의	후보/NNG+의/JKG
소속	소속/NNG
정당에	정당/NNG+에/JKB
