# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.246
metadata : {}


# id : NWRW1800000033.246.1.1
불꽃타 이승엽… 철벽투 오승환… 사자는 강했다

불꽃타	불꽃타/NNG
이승엽…	이승엽/NNP+…/SE
철벽투	철벽투/NNG
오승환…	오승환/NNP+…/SE
사자는	사자/NNG+는/JX
강했다	강하/VA+았/EP+다/EF


# id : NWRW1800000033.246.2.1
삼성 4승 2패로 SK 제압… 장원삼 7이닝 무실점 펄펄 박석민 부활의 투런포

삼성	삼성/NNP
4승	4/SN+승/NNB
2패로	2/SN+패/NNB+로/JKB
SK	SK/SL
제압…	제압/NNG+…/SE
장원삼	장원삼/NNP
7이닝	7/SN+이닝/NNG
무실점	무/XPN+실점/NNG
펄펄	펄펄/MAG
박석민	박석민/NNP
부활의	부활/NNG+의/JKG
투런포	투런/NNG+포/NNG


# id : NWRW1800000033.246.3.1
이번에도 마운드 위에는 오승환이 서 있었다.

이번에도	이번/NNG+에/JKB+도/JX
마운드	마운드/NNG
위에는	위/NNG+에/JKB+는/JX
오승환이	오승환/NNP+이/JKS
서	서/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.246.3.2
세이브 요건(3점 이내 리드)은 아니었지만 삼성 류중일 감독은 최고의 마무리 투수에게 마지막을 맡겼다.

세이브	세이브/NNG
요건(3점	요건/NNG+(/SS+3/SN+점/NNB
이내	이내/NNG
리드)은	리드/NNG+)/SS+은/JX
아니었지만	아니/VCN+었/EP+지만/EC
삼성	삼성/NNP
류중일	류중일/NNP
감독은	감독/NNG+은/JX
최고의	최고/NNG+의/JKG
마무리	마무리/NNG
투수에게	투수/NNG+에게/JKB
마지막을	마지막/NNG+을/JKO
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.246.3.3
지난해 10월의 마지막 날 오른팔을 번쩍 치켜들었던 그는 1년 하루 만에 같은 장면을 연출한 뒤 선수들과 얼싸안고 기쁨을 만끽했다.

지난해	지난해/NNG
10월의	10/SN+월/NNB+의/JKG
