# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.355
metadata : {}


# id : NWRW1800000026.355.1.1
[부산·경남] '2010 부산디지털콘텐츠유니버시아드' 열려

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
'2010	'/SS+2010/SN
부산디지털콘텐츠유니버시아드'	부산/NNP+디지털/NNG+콘텐츠/NNG+유니버시아드/NNG+'/SS
열려	열리/VV+어/EF


# id : NWRW1800000026.355.2.1
세계 각국의 대학생 감독들이 만든 영상작품들을 한눈에 볼 수 있는 '2010 부산디지털콘텐츠유니버시아드(BUDI)'가 1일 온라인 개막을 시작으로 부산 남구 대연동 경성대 등지에서 5일간의 축제에 들어간다.

세계	세계/NNG
각국의	각국/NNG+의/JKG
대학생	대학/NNG+생/XSN
감독들이	감독/NNG+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
영상작품들을	영상/NNG+작품/NNG+들/XSN+을/JKO
한눈에	한눈/NNG+에/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'2010	'/SS+2010/SN
부산디지털콘텐츠유니버시아드(BUDI)'가	부산/NNP+디지털/NNG+콘텐츠/NNG+유니버시아드/NNG+(/SS+BUDI/SL+)/SS+'/SS+가/JKS
1일	1/SN+일/NNB
온라인	온라인/NNG
개막을	개막/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
부산	부산/NNP
남구	남구/NNP
대연동	대연동/NNP
경성대	경성대/NNP
등지에서	등지/NNB+에서/JKB
5일간의	5/SN+일/NNB+간/XSN+의/JKG
축제에	축제/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.355.2.2
종전 봄에 열리던 것을 가을로 옮겨 처음 개최하는 이번 행사는 ▲픽션 ▲다큐멘터리 ▲애니메이션·모션그래픽 등 3개 장르로 이뤄져 진행된다.

종전	종전/NNG
봄에	봄/NNG+에/JKB
열리던	열리/VV+던/ETM
것을	것/NNB+을/JKO
가을로	가을/NNG+로/JKB
옮겨	옮기/VV+어/EC
처음	처음/NNG
개최하는	개최/NNG+하/XSV+는/ETM
이번	이번/NNG
행사는	행사/NNG+는/JX
▲픽션	▲/SW+픽션/NNG
▲다큐멘터리	▲/SW+다큐멘터리/NNG
▲애니메이션·모션그래픽	▲/SW+애니메이션/NNG+·/SP+모션/NNG+그래픽/NNG
등	등/NNB
3개	3/SN+개/NNB
장르로	장르/NNG+로/JKB
이뤄져	이뤄지/VV+어/EC
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.355.3.1
3개 장르에 출품된 작품은 26개국 345편에 이른다.

3개	3/SN+개/NNB
장르에	장르/NNG+에/JKB
출품된	출품/NNG+되/XSV+ㄴ/ETM
작품은	작품/NNG+은/JX
26개국	26/SN+개국/NNB
345편에	345/SN+편/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.355.3.2
이 중 치열한 경합을 뚫고 본선에 올라온 51편이 이번 행사 기간에 BUDI 홈페이지(www.budibudi.org)에서 온라인으로 상영된다.

이	이/MMD
중	중/NNB
치열한	치열/NNG+하/XSA+ㄴ/ETM
경합을	경합/NNG+을/JKO
뚫고	뚫/VV+고/EC
본선에	본선/NNG+에/JKB
올라온	올라오/VV+ㄴ/ETM
51편이	51/SN+편/NNB+이/JKS
이번	이번/NNG
행사	행사/NNG
기간에	기간/NNG+에/JKB
BUDI	BUDI/SL
홈페이지(www.budibudi.org)에서	홈페이지/NNG+(/SS+www/SL+./SP+budibudi/SL+./SP+org/SL+)/SS+에서/JKB
온라인으로	온라인/NNG+으로/JKB
상영된다.	상영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.355.3.3
또 '5년~, 미래를 위하여'를 주제로 지난 5년간의 BUDI 수상작 24편을 3~5일 경성대 콘서트홀·누리소강당, 부경대 영상세미나실, 동명대 중앙도서관 대회의실, 부산시청자미디어센터에서 상영한다.

또	또/MAG
'5년~,	'/SS+5/SN+년/NNB+~/SO+,/SP
미래를	미래/NNG+를/JKO
위하여'를	위하/VV+아/EF+'/SS+를/JKO
주제로	주제/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
5년간의	5/SN+년/NNB+간/XSN+의/JKG
BUDI	BUDI/SL
수상작	수상작/NNG
24편을	24/SN+편/NNB+을/JKO
3~5일	3/SN+~/SO+5/SN+일/NNB
경성대	경성대/NNP
콘서트홀·누리소강당,	콘서트홀/NNG+·/SP+누리/NNG+소/XPN+강당/NNG+,/SP
부경대	부경대/NNP
영상세미나실,	영상/NNG+세미나실/NNG+,/SP
동명대	동명대/NNP
중앙도서관	중앙/NNG+도서관/NNG
대회의실,	대/XPN+회의실/NNG+,/SP
부산시청자미디어센터에서	부산시청자미디어센터/NNP+에서/JKB
상영한다.	상영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.355.4.1
이와 함께 요즘 화두가 되고 있는 3D콘텐츠 기술·촬영 및 제작 노하우를 배우는 워크숍과 모바일 콘텐츠 제작자·애니메이션 제작자·감독 등 융합콘텐츠를 지향하는 전문가들의 특강, 애니메이션 '오디션' 상영, 민경조 감독의 관객과의 대화 등 부대행사도 다채롭게 펼쳐진다.

이와	이/NP+와/JKB
함께	함께/MAG
요즘	요즘/NNG
화두가	화두/NNG+가/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
3D콘텐츠	3/SN+D/SL+콘텐츠/NNG
기술·촬영	기술/NNG+·/SP+촬영/NNG
및	및/MAG
제작	제작/NNG
노하우를	노하우/NNG+를/JKO
배우는	배우/VV+는/ETM
워크숍과	워크숍/NNG+과/JC
모바일	모바일/NNG
콘텐츠	콘텐츠/NNG
제작자·애니메이션	제작자/NNG+·/SP+애니메이션/NNG
