# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.382
metadata : {}


# id : NWRW1800000040.382.1.1
박대통령 “고용률 70% 달성, 노사정 대타협을”

박대통령	박/NNP+대통령/NNG
“고용률	“/SS+고용/NNG+률/XSN
70%	70/SN+%/SW
달성,	달성/NNG+,/SP
노사정	노사정/NNG
대타협을”	대/XPN+타협/NNG+을/JKO+”/SS


# id : NWRW1800000040.382.2.1
박근혜 대통령은 20일 “정부를 포함한 모든 경제주체들이 상호신뢰와 자기 양보를 통해 더 많은 일자리를 만들어 낼 수 있도록 노사정 대타협을 적극 추진해 주기를 바란다”고 말했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
20일	20/SN+일/NNB
“정부를	“/SS+정부/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
경제주체들이	경제/NNG+주체/NNG+들/XSN+이/JKS
상호신뢰와	상호/NNG+신뢰/NNG+와/JC
자기	자기/NNG
양보를	양보/NNG+를/JKO
통해	통하/VV+아/EC
더	더/MAG
많은	많/VA+은/ETM
일자리를	일자리/NNG+를/JKO
만들어	만들/VV+어/EC
낼	내/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노사정	노사정/NNG
대타협을	대/XPN+타협/NNG+을/JKO
적극	적극/NNG
추진해	추진/NNG+하/XSV+아/EC
주기를	주/VX+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.382.2.2
박 대통령은 지난달 15일에도 일자리 창출을 위해 노사정위원회의 가동을 검토하라고 지시한 바 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
지난달	지난달/NNG
15일에도	15/SN+일/NNB+에/JKB+도/JX
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위해	위하/VV+아/EC
노사정위원회의	노사정/NNG+위원회/NNG+의/JKG
가동을	가동/NNG+을/JKO
검토하라고	검토/NNG+하/XSV+라고/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.382.3.1
박 대통령은 오전에 주재한 수석비서관회의에서 “고용률 70% 달성은 정부의 노력만으로는 한계가 있고, 산적해 있는 노동시장과 노사 관계 이슈들에 대한 노사정 대타협이 이뤄져야만 속도감 있게 추진될 수 있다”며 이렇게 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
오전에	오전/NNG+에/JKB
주재한	주재/NNG+하/XSV+ㄴ/ETM
수석비서관회의에서	수석/NNG+비서관/NNG+회의/NNG+에서/JKB
“고용률	“/SS+고용/NNG+률/XSN
70%	70/SN+%/SW
달성은	달성/NNG+은/JX
정부의	정부/NNG+의/JKG
노력만으로는	노력/NNG+만/JX+으로/JKB+는/JX
한계가	한계/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
산적해	산적/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
노동시장과	노동/NNG+시장/NNG+과/JC
노사	노사/NNG
관계	관계/NNG
이슈들에	이슈/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
노사정	노사정/NNG
대타협이	대/XPN+타협/NNG+이/JKS
이뤄져야만	이뤄지/VV+어야/EC+만/JX
속도감	속도감/NNG
있게	있/VA+게/EC
추진될	추진/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.382.3.2
또 독일과 네덜란드를 거론하며 “이런 선진국에서 약 5년 동안 5~6%의 고용률을 높여 고용률 70%를 달성할 수 있었던 것도 안정적인 노사 관계와 노사정 대타협이 바탕이 됐다”고 강조했다.

또	또/MAG
독일과	독일/NNP+과/JC
네덜란드를	네덜란드/NNP+를/JKO
거론하며	거론/NNG+하/XSV+며/EC
“이런	“/SS+이런/MMD
선진국에서	선진국/NNG+에서/JKB
약	약/MMA
5년	5/SN+년/NNB
동안	동안/NNG
5~6%의	5/SN+~/SO+6/SN+%/SW+의/JKG
고용률을	고용/NNG+률/XSN+을/JKO
높여	높이/VV+어/EC
고용률	고용/NNG+률/XSN
70%를	70/SN+%/SW+를/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것도	것/NNB+도/JX
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
노사	노사/NNG
관계와	관계/NNG+와/JC
노사정	노사정/NNG
대타협이	대/XPN+타협/NNG+이/JKS
바탕이	바탕/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.382.4.1
정부는 조만간 고용률 70%를 달성하기 위한 로드맵을 내놓을 예정인데, 이 로드맵을 실행하려면 경영진과 노조의 적극적인 협력이 필수적이라는 게 박 대통령의 생각이다.

정부는	정부/NNG+는/JX
조만간	조만간/MAG
고용률	고용/NNG+률/XSN
70%를	70/SN+%/SW+를/JKO
달성하기	달성/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
로드맵을	로드맵/NNG+을/JKO
내놓을	내놓/VV+을/ETM
예정인데,	예정/NNG+이/VCP+ㄴ데/EC+,/SP
이	이/MMD
실행하려면	실행/NNG+하/XSV+려면/EC
경영진과	경영진/NNG+과/JC
노조의	노조/NNG+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
협력이	협력/NNG+이/JKS
필수적이라는	필수/NNG+적/XSN+이/VCP+라는/ETM
게	거/NNB+이/JKS
박	박/NNP
대통령의	대통령/NNG+의/JKG
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.382.4.2
대선 과정에서도 박 대통령은 노사정위원회를 통한 사회적 대타협을 공약한 바 있다.

대선	대선/NNG
과정에서도	과정/NNG+에서/JKB+도/JX
박	박/NNP
대통령은	대통령/NNG+은/JX
노사정위원회를	노사정/NNG+위원회/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
사회적	사회/NNG+적/XSN
대타협을	대/XPN+타협/NNG+을/JKO
공약한	공약/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.382.5.1
노사정 대타협의 대상으로는 장시간 노동관행 개선과 일자리 창출을 위한 노동시간 단축, 다양한 고용 형태 도입, 상여금의 통상임금 반영 여부, 비정규직 보호, 복수노조 제도 보완 방안 등이 거론된다.

노사정	노사정/NNG
대타협의	대/XPN+타협/NNG+의/JKG
대상으로는	대상/NNG+으로/JKB+는/JX
장시간	장시간/NNG
노동관행	노동/NNG+관행/NNG
개선과	개선/NNG+과/JC
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
노동시간	노동/NNG+시간/NNG
단축,	단축/NNG+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
고용	고용/NNG
형태	형태/NNG
도입,	도입/NNG+,/SP
상여금의	상여금/NNG+의/JKG
통상임금	통상/NNG+임금/NNG
반영	반영/NNG
여부,	여부/NNG+,/SP
비정규직	비/XPN+정규직/NNG
보호,	보호/NNG+,/SP
복수노조	복수/NNG+노조/NNG
제도	제도/NNG
보완	보완/NNG
방안	방안/NNG
등이	등/NNB+이/JKS
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.382.5.2
정부는 노사정위에 기존 참여기관들 말고도 비정규직, 자영업자, 청년 부문 등의 대표자를 포함시키는 방안도 검토중인 것으로 알려졌다.

정부는	정부/NNG+는/JX
노사정위에	노사정위/NNG+에/JKB
기존	기존/NNG
참여기관들	참여/NNG+기관/NNG+들/XSN
말고도	말/VV+고/EC+도/JX
비정규직,	비/XPN+정규직/NNG+,/SP
자영업자,	자영업자/NNG+,/SP
청년	청년/NNG
부문	부문/NNG
등의	등/NNB+의/JKG
대표자를	대표자/NNG+를/JKO
포함시키는	포함/NNG+시키/XSV+는/ETM
방안도	방안/NNG+도/JX
검토중인	검토/NNG+중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


