# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.98
metadata : {}


# id : NWRW1800000030.98.1.1
춤으로 시대 감동시킨 그녀를 아십니까

춤으로	춤/NNG+으로/JKB
시대	시대/NNG
감동시킨	감동/NNG+시키/XSV+ㄴ/ETM
그녀를	그녀/NP+를/JKO
아십니까	알/VV+시/EP+ㅂ니까/EF


# id : NWRW1800000030.98.2.1
•탄생 100년 '무희 최승희'… 전시회 여는 재일교포 하정웅씨

•탄생	•/SW+탄생/NNG
100년	100/SN+년/NNB
'무희	'/SS+무희/NNG
최승희'…	최승희/NNP+'/SS+…/SE
전시회	전시회/NNG
여는	열/VV+는/ETM
재일교포	재일/NNG+교포/NNG
하정웅씨	하정웅/NNP+씨/NNB


# id : NWRW1800000030.98.3.1
"최승희의 춤을 보고 감동하였다는 어른들 얘기를 들으며 자랐습니다.

"최승희의	"/SS+최승희/NNP+의/JKG
춤을	춤/NNG+을/JKO
보고	보/VV+고/EC
감동하였다는	감동/NNG+하/XSV+았/EP+다는/ETM
어른들	어른/NNG+들/XSN
얘기를	얘기/NNG+를/JKO
들으며	듣/VV+으며/EC
자랐습니다.	자라/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000030.98.3.2
일본에 사는 조선 사람으로서 그 이름 석 자는 긍지이자 동경의 대상이었어요.

일본에	일본/NNP+에/JKB
사는	살/VV+는/ETM
조선	조선/NNP
사람으로서	사람/NNG+으로서/JKB
그	그/MMD
이름	이름/NNG
석	석/MMN
자는	자/NNG+는/JX
긍지이자	긍지/NNG+이/VCP+자/EC
동경의	동경/NNG+의/JKG
대상이었어요.	대상/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000030.98.3.3
그래서 사진과 그림 등 최승희와 관련된 자료를 수집했고, 100주년을 기리며 정보도 모을 겸 이렇게 전시회를 열게 됐습니다."

그래서	그래서/MAJ
사진과	사진/NNG+과/JC
그림	그림/NNG
등	등/NNB
최승희와	최승희/NNP+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
수집했고,	수집/NNG+하/XSV+았/EP+고/EC+,/SP
100주년을	100/SN+주년/NNB+을/JKO
기리며	기리/VV+며/EC
정보도	정보/NNG+도/JX
모을	모으/VV+ㄹ/ETM
겸	겸/NNB
이렇게	이렇/VA+게/EC
전시회를	전시회/NNG+를/JKO
열게	열/VV+게/EC
