# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.122
metadata : {}


# id : NWRW1800000021.122.1.1
법원 “강호순 13억 배상”

법원	법원/NNG
“강호순	“/SS+강호순/NNP
13억	13/SN+억/NR
배상”	배상/NNG+”/SS


# id : NWRW1800000021.122.2.1
수원지법 안산지원 민사1부(부장판사 소영진)는 16일 연쇄살인사건 피의자 강호순 씨(39)에게 살해된 피해자 6명의 유족 21명이 낸 손해배상청구 소송에서 “강 씨는 유족에게 13억여 원을 지급하라”며 유족 측에 승소 판결했다.

수원지법	수원지법/NNP
안산지원	안산지원/NNP
민사1부(부장판사	민사/NNG+1/SN+부/NNG+(/SS+부장/NNG+판사/NNG
소영진)는	소영진/NNP+)/SS+는/JX
16일	16/SN+일/NNB
연쇄살인사건	연쇄/NNG+살인/NNG+사건/NNG
피의자	피의자/NNG
강호순	강호순/NNP
씨(39)에게	씨/NNB+(/SS+39/SN+)/SS+에게/JKB
살해된	살해/NNG+되/XSV+ㄴ/ETM
피해자	피해자/NNG
6명의	6/SN+명/NNB+의/JKG
유족	유족/NNG
21명이	21/SN+명/NNB+이/JKS
낸	내/VV+ㄴ/ETM
손해배상청구	손해/NNG+배상/NNG+청구/NNG
소송에서	소송/NNG+에서/JKB
“강	“/SS+강/NNP
씨는	씨/NNB+는/JX
유족에게	유족/NNG+에게/JKB
13억여	13/SN+억/NR+여/XSN
원을	원/NNB+을/JKO
지급하라”며	지급/NNG+하/XSV+라/EF+”/SS+며/EC
측에	측/NNB+에/JKB
승소	승소/NNG
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.122.3.1
재판부는 “강 씨가 ‘아무런 이의가 없어 재판에 출석할 의사가 없다’고 밝힘에 따라 자백을 한 것으로 간주한다”고 밝혀 강 씨가 항소하지 않으면 판결이 확정된다.

재판부는	재판부/NNG+는/JX
“강	“/SS+강/NNP
씨가	씨/NNB+가/JKS
‘아무런	‘/SS+아무런/MMD
이의가	이의/NNG+가/JKS
없어	없/VA+어/EC
재판에	재판/NNG+에/JKB
출석할	출석/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
없다’고	없/VA+다/EF+’/SS+고/JKQ
밝힘에	밝히/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
자백을	자백/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
간주한다”고	간주/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혀	밝히/VV+어/EC
강	강/NNP
항소하지	항소/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
판결이	판결/NNG+이/JKS
확정된다.	확정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.122.3.2
재판부는 유족들이 강 씨의 범행으로 정신적 재산적 피해를 봤다며 1000만∼1억4000만여 원씩 낸 배상청구액을 모두 인정했다.

재판부는	재판부/NNG+는/JX
유족들이	유족/NNG+들/XSN+이/JKS
강	강/NNP
씨의	씨/NNB+의/JKG
범행으로	범행/NNG+으로/JKB
정신적	정신/NNG+적/XSN
재산적	재산/NNG+적/XSN
피해를	피해/NNG+를/JKO
봤다며	보/VV+았/EP+다며/EC
1000만∼1억4000만여	1000/SN+만/NR+∼/SO+1/SN+억/NR+4000/SN+만/NR+여/XSN
원씩	원/NNB+씩/XSN
낸	내/VV+ㄴ/ETM
배상청구액을	배상/NNG+청구액/NNG+을/JKO
모두	모두/MAG
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.122.4.1
강 씨는 2005년 10월∼2008년 12월 부녀자 10명을 살해한 혐의로 올해 2월 구속기소돼 사형이 구형됐으며, 22일 1심 판결이 선고된다.

강	강/NNP
씨는	씨/NNB+는/JX
2005년	2005/SN+년/NNB
10월∼2008년	10/SN+월/NNB+∼/SO+2008/SN+년/NNB
12월	12/SN+월/NNB
부녀자	부녀자/NNG
10명을	10/SN+명/NNB+을/JKO
살해한	살해/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
올해	올해/NNG
2월	2/SN+월/NNB
구속기소돼	구속/NNG+기소/NNG+되/XSV+어/EC
사형이	사형/NNG+이/JKS
구형됐으며,	구형/NNG+되/XSV+었/EP+으며/EC+,/SP
22일	22/SN+일/NNB
1심	1심/NNG
판결이	판결/NNG+이/JKS
선고된다.	선고/NNG+되/XSV+ㄴ다/EF+./SF


