# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.382
metadata : {}


# id : NWRW1800000041.382.1.1
[수도권]유종필 관악구청장 “인문학이 흐르는 ‘지식 복지’ 1번지로”

[수도권]유종필	[/SS+수도/NNG+권/XSN+]/SS+유종필/NNP
관악구청장	관악구청장/NNG
“인문학이	“/SS+인문학/NNG+이/JKS
흐르는	흐르/VV+는/ETM
‘지식	‘/SS+지식/NNG
복지’	복지/NNG+’/SS
1번지로”	1/SN+번지/NNG+로/JKB+”/SS


# id : NWRW1800000041.382.2.1
[기초단체장에게 듣는다]

[기초단체장에게	[/SS+기초/NNG+단체장/NNG+에게/JKB
듣는다]	듣/VV+는다/EF+]/SS


# id : NWRW1800000041.382.3.1
서울 관악구청 1층에는 ‘용 꿈꾸는 작은 도서관’이란 특이한 이름의 도서관이 있다.

서울	서울/NNP
관악구청	관악구청/NNP
1층에는	1/SN+층/NNG+에/JKB+는/JX
‘용	‘/SS+용/NNG
꿈꾸는	꿈꾸/VV+는/ETM
작은	작/VA+은/ETM
도서관’이란	도서관/NNG+’/SS+이/VCP+란/ETM
특이한	특이/NNG+하/XSA+ㄴ/ETM
이름의	이름/NNG+의/JKG
도서관이	도서관/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.382.3.2
2층 미술관으로 이어지는 구청 로비에는 ‘계단은 짧고 예술은 길다’라는 문구가 적혀있다.

2층	2/SN+층/NNG
미술관으로	미술관/NNG+으로/JKB
이어지는	이어지/VV+는/ETM
구청	구청/NNG
로비에는	로비/NNG+에/JKB+는/JX
‘계단은	‘/SS+계단/NNG+은/JX
짧고	짧/VA+고/EC
예술은	예술/NNG+은/JX
길다’라는	길/VA+다/EF+’/SS+이/VCP+라는/ETM
문구가	문구/NNG+가/JKS
적혀있다.	적히/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000041.382.3.3
귀에 쏙쏙 들어오는 이 문구들은 모두 유종필 관악구청장(57·새정치민주연합·사진)이 직접 지었다.

귀에	귀/NNG+에/JKB
쏙쏙	쏙쏙/MAG
들어오는	들어오/VV+는/ETM
이	이/MMD
문구들은	문구/NNG+들/XSN+은/JX
모두	모두/MAG
유종필	유종필/NNP
관악구청장(57·새정치민주연합·사진)이	관악구청장/NNG+(/SS+57/SN+·/SP+새정치민주연합/NNP+·/SP+사진/NNG+)/SS+이/JKS
직접	직접/MAG
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.382.3.4
2003년 9월부터 4년 10개월 동안 새천년민주당 등 정당의 ‘입’으로 활약했던 유 구청장의 작명 재주는 여전한 것 같았다.

2003년	2003/SN+년/NNB
9월부터	9/SN+월/NNB+부터/JX
4년	4/SN+년/NNB
10개월	10/SN+개월/NNB
동안	동안/NNG
새천년민주당	새천년민주당/NNP
등	등/NNB
정당의	정당/NNG+의/JKG
‘입’으로	‘/SS+입/NNG+’/SS+으로/JKB
