# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.50
metadata : {}


# id : NWRW1800000038.50.1.1
시퀘스터로 교통 예산 삭감… 美, 붕괴위험 다리 8000개 방치

시퀘스터로	시퀘스터/NNG+로/JKB
교통	교통/NNG
예산	예산/NNG
삭감…	삭감/NNG+…/SE
美,	美/SH+,/SP
붕괴위험	붕괴/NNG+위험/NNG
다리	다리/NNG
8000개	8000/SN+개/NNB
방치	방치/NNG


# id : NWRW1800000038.50.2.1
뉴욕서 가장 긴 타판지 다리도 심각한 상태지만 예산 못 구해… 펜실베이니아는 25%가 위험

뉴욕서	뉴욕/NNP+서/JKB
가장	가장/MAG
긴	길/VA+ㄴ/ETM
타판지	타판지/NNP
다리도	다리/NNG+도/JX
심각한	심각하/VA+ㄴ/ETM
상태지만	상태/NNG+이/VCP+지만/EC
예산	예산/NNG
못	못/MAG
구해…	구하/VV+아/EC+…/SE
펜실베이니아는	펜실베이니아/NNP+는/JX
25%가	25/SN+%/SW+가/JKS
위험	위험/NNG


# id : NWRW1800000038.50.3.1
미국 전역에서 주요 도로와 교량(橋梁)이 노후해 붕괴 위험에 처했는데도 재정난으로 개·보수 작업이 이뤄지지 않고 있다고 로스앤젤레스타임스(LAT)가 3일(현지 시각) 보도했다.

미국	미국/NNP
전역에서	전역/NNG+에서/JKB
주요	주요/NNG
도로와	도로/NNG+와/JC
교량(橋梁)이	교량/NNG+(/SS+橋梁/SH+)/SS+이/JKS
노후해	노후/NNG+하/XSA+아/EC
붕괴	붕괴/NNG
위험에	위험/NNG+에/JKB
처했는데도	처하/VV+았/EP+는데/EC+도/JX
재정난으로	재정난/NNG+으로/JKB
개·보수	개·보수/NNG
작업이	작업/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
로스앤젤레스타임스(LAT)가	로스앤젤레스타임스/NNP+(/SS+LAT/SL+)/SS+가/JKS
3일(현지	3/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.50.3.2
지방 정부들은 경제 위기를 겪으면서 교통 관련 예산을 삭감했고, 엄청난 재정 적자를 안고 있는 연방 정부는 시퀘스터(예산자동삭감)로 도로·다리 보수에 여력이 없는 상황이란 것이다.

지방	지방/NNG
정부들은	정부/NNG+들/XSN+은/JX
경제	경제/NNG
위기를	위기/NNG+를/JKO
겪으면서	겪/VV+으면서/EC
교통	교통/NNG
관련	관련/NNG
예산을	예산/NNG+을/JKO
삭감했고,	삭감/NNG+하/XSV+았/EP+고/EC+,/SP
엄청난	엄청나/VA+ㄴ/ETM
재정	재정/NNG
적자를	적자/NNG+를/JKO
안고	안/VV+고/EC
있는	있/VX+는/ETM
연방	연방/NNG
정부는	정부/NNG+는/JX
시퀘스터(예산자동삭감)로	시퀘스터/NNG+(/SS+예산/NNG+자동/NNG+삭감/NNG+)/SS+로/JKB
도로·다리	도로/NNG+·/SP+다리/NNG
보수에	보수/NNG+에/JKB
여력이	여력/NNG+이/JKS
없는	없/VA+는/ETM
상황이란	상황/NNG+이/VCP+란/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.50.4.1
