# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.127
metadata : {}


# id : NWRW1800000049.127.1.1
[책의 향기]96세의 현역 철학자 “늙는 게 잘못은 아니잖소”

[책의	[/SS+책/NNG+의/JKG
향기]96세의	향기/NNG+]/SS+96/SN+세/NNB+의/JKG
현역	현역/NNG
철학자	철학자/NNG
“늙는	“/SS+늙/VV+는/ETM
게	거/NNB+이/JKS
잘못은	잘못/NNG+은/JX
아니잖소”	아니/VCN+잖소/EF+”/SS


# id : NWRW1800000049.127.2.1
◇백년을 살아보니/김형석 지음/300쪽·1만5000원/덴스토리

◇백년을	◇/SW+백/NR+년/NNB+을/JKO
살아보니/김형석	살/VV+아/EC+보/VX+니/EC+//SP+김형석/NNP
지음/300쪽·1만5000원/덴스토리	짓/VV+음/ETN+//SP+300/SN+쪽/NNG+·/SP+1/SN+만/NR+5000/SN+원/NNB+//SP+덴스토리/NNP


# id : NWRW1800000049.127.3.1
3·1운동 즈음 태어난 사람이 쓴 새 책을 보는 것은 정말 드문 일이다.

3·1운동	3/SN+·/SP+1/SN+운동/NNG
즈음	즈음/NNB
태어난	태어나/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
쓴	쓰/VV+ㄴ/ETM
새	새/MMA
책을	책/NNG+을/JKO
보는	보/VV+는/ETM
것은	것/NNB+은/JX
정말	정말/MAG
드문	드물/VA+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.127.3.2
1920년생인 저자는 중학교 3학년 때 신사참배 문제로 학교를 자퇴했고, 대학을 졸업하면서는 학도병으로 일본군에 끌려가는 문제를 두고 절망하기도 했다.

1920년생인	1920/SN+년/NNB+생/XSN+이/VCP+ㄴ/ETM
저자는	저자/NNG+는/JX
중학교	중학교/NNG
3학년	3/SN+학년/NNG
때	때/NNG
신사참배	신사/NNG+참배/NNG
문제로	문제/NNG+로/JKB
학교를	학교/NNG+를/JKO
자퇴했고,	자퇴/NNG+하/XSV+았/EP+고/EC+,/SP
대학을	대학/NNG+을/JKO
졸업하면서는	졸업/NNG+하/XSV+면서/EC+는/JX
학도병으로	학도병/NNG+으로/JKB
일본군에	일본군/NNG+에/JKB
끌려가는	끌려가/VV+는/ETM
문제를	문제/NNG+를/JKO
두고	두/VV+고/EC
절망하기도	절망/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.127.3.3
연세대 명예교수로 1960, 70년대 여러 수필을 냈던 철학계 1세대 교육자다.

연세대	연세대/NNP
명예교수로	명예/NNG+교수/NNG+로/JKB
1960,	1960/SN+,/SP
70년대	70/SN+년대/NNB
여러	여러/MMN
수필을	수필/NNG+을/JKO
냈던	내/VV+었/EP+던/ETM
철학계	철학/NNG+계/XSN
1세대	1/SN+세대/NNG
교육자다.	교육자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.127.4.1
뭐, 101세로 침을 놓으며 환자를 보는 구당 김남수 옹을 생각하면 저자의 나이가 많다고 놀랄 일도 아니다.

뭐,	뭐/IC+,/SP
101세로	101/SN+세/NNB+로/JKB
침을	침/NNG+을/JKO
놓으며	놓/VV+으며/EC
환자를	환자/NNG+를/JKO
보는	보/VV+는/ETM
구당	구당/NNP
김남수	김남수/NNP
옹을	옹/NNB+을/JKO
생각하면	생각/NNG+하/XSV+면/EC
저자의	저자/NNG+의/JKG
나이가	나이/NNG+가/JKS
많다고	많/VA+다고/EC
놀랄	놀라/VV+ㄹ/ETM
일도	일/NNG+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.127.4.2
책은 자신이 다니는 수영장의 최고령 회원이고, 하루에 50분은 걷고, 평소 버스와 지하철 등 대중교통을 이용하는 저자가 낸 새 수필이다.

책은	책/NNG+은/JX
자신이	자신/NNG+이/JKS
다니는	다니/VV+는/ETM
수영장의	수영장/NNG+의/JKG
최고령	최/XPN+고령/NNG
회원이고,	회원/NNG+이/VCP+고/EC+,/SP
하루에	하루/NNG+에/JKB
50분은	50/SN+분/NNB+은/JX
걷고,	걷/VV+고/EC+,/SP
평소	평소/NNG
버스와	버스/NNG+와/JC
지하철	지하철/NNG
등	등/NNB
대중교통을	대중교통/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
저자가	저자/NNG+가/JKS
낸	내/VV+ㄴ/ETM
새	새/MMA
수필이다.	수필/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.127.5.1
책에 등장하는 인물들도 나이가 적어도 80대다.

책에	책/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
인물들도	인물/NNG+들/XSN+도/JX
나이가	나이/NNG+가/JKS
적어도	적어도/MAG
80대다.	80/SN+대/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.127.5.2
지난해 가을 서울 영등포구 63빌딩의 한 식당에서 80세 전후의 노인 여러 명이 또 다른 노인에게 절을 하는 이색적인 풍경이 펼쳐진다.

지난해	지난해/NNG
가을	가을/NNG
서울	서울/NNP
영등포구	영등포구/NNP
63빌딩의	63빌딩/NNP+의/JKG
한	한/MMN
식당에서	식당/NNG+에서/JKB
80세	80/SN+세/NNB
전후의	전후/NNG+의/JKG
노인	노인/NNG
여러	여러/MMN
명이	명/NNB+이/JKS
또	또/MAG
다른	다른/MMD
노인에게	노인/NNG+에게/JKB
절을	절/NNG+을/JKO
하는	하/VV+는/ETM
이색적인	이색/NNG+적/XSN+이/VCP+ㄴ/ETM
풍경이	풍경/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.127.5.3
저자의 제자들이 은사에게 절을 한 것이다.

저자의	저자/NNG+의/JKG
제자들이	제자/NNG+들/XSN+이/JKS
은사에게	은사/NNG+에게/JKB
절을	절/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.127.6.1
저자는 ‘나에게 시한부 인생이 주어진다면 그 남은 시간에 무엇을 할 수 있을까’라고 질문한다.

저자는	저자/NNG+는/JX
‘나에게	‘/SS+나/NP+에게/JKB
시한부	시한부/NNG
인생이	인생/NNG+이/JKS
주어진다면	주어지/VV+ㄴ다면/EC
그	그/MMD
남은	남/VV+은/ETM
시간에	시간/NNG+에/JKB
무엇을	무엇/NP+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있을까’라고	있/VA+을까/EF+’/SS+라고/JKQ
질문한다.	질문/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.127.6.2
젊었을 때는 삶의 시간적 단위가 길어 20, 30년의 계획을 세우지만 50고개를 넘기면 10여 년의 설계를 하고, 다시 세월이 흘러 70대가 되면 10년의 계획도 가능할까 싶어지고, 자신은 계획이 2, 3년으로 짧아졌다고 저자는 말한다.

젊었을	젊/VA+었/EP+을/ETM
때는	때/NNG+는/JX
삶의	삶/NNG+의/JKG
시간적	시간/NNG+적/XSN
단위가	단위/NNG+가/JKS
길어	길/VA+어/EC
20,	20/SN+,/SP
30년의	30/SN+년/NNB+의/JKG
계획을	계획/NNG+을/JKO
세우지만	세우/VV+지만/EC
50고개를	50/SN+고개/NNG+를/JKO
넘기면	넘기/VV+면/EC
10여	10/SN+여/XSN
년의	년/NNB+의/JKG
설계를	설계/NNG+를/JKO
하고,	하/VV+고/EC+,/SP
다시	다시/MAG
세월이	세월/NNG+이/JKS
흘러	흐르/VV+어/EC
70대가	70/SN+대/NNB+가/JKC
되면	되/VV+면/EC
10년의	10/SN+년/NNB+의/JKG
계획도	계획/NNG+도/JX
가능할까	가능/NNG+하/XSA+ㄹ까/EF
싶어지고,	싶/VX+어/EC+지/VX+고/EC+,/SP
자신은	자신/NNG+은/JX
계획이	계획/NNG+이/JKS
2,	2/SN+,/SP
3년으로	3/SN+년/NNB+으로/JKB
짧아졌다고	짧아지/VV+었/EP+다고/EC
저자는	저자/NNG+는/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.127.7.1
그래도 새로운 일에 도전하고 싶은 것은 여전하다.

그래도	그렇/VA+어도/EC
새로운	새롭/VA+ㄴ/ETM
일에	일/NNG+에/JKB
도전하고	도전/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
것은	것/NNB+은/JX
여전하다.	여전하/VA+다/EF+./SF


# id : NWRW1800000049.127.7.2
저자는 사진 기술을 배워서 좋아하는 구름을 사진으로 찍어 남기고 싶다고 한다.

저자는	저자/NNG+는/JX
사진	사진/NNG
기술을	기술/NNG+을/JKO
배워서	배우/VV+어서/EC
좋아하는	좋아하/VV+는/ETM
구름을	구름/NNG+을/JKO
사진으로	사진/NNG+으로/JKB
찍어	찍/VV+어/EC
남기고	남기/VV+고/EC
싶다고	싶/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.127.7.3
저자는 “늙는 것은 내 잘못은 아니다.

저자는	저자/NNG+는/JX
“늙는	“/SS+늙/VV+는/ETM
것은	것/NNB+은/JX
내	나/NP+의/JKG
잘못은	잘못/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.127.7.4
가만히 있어도 세월은 흐르게 돼 있다.

가만히	가만히/MAG
있어도	있/VV+어도/EC
세월은	세월/NNG+은/JX
흐르게	흐르/VV+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.127.7.5
그런데 사회는 그 늙음을 바라지 않는다”고 꼬집는다.

그런데	그런데/MAJ
사회는	사회/NNG+는/JX
그	그/MMD
늙음을	늙/VV+음/ETN+을/JKO
바라지	바라/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
꼬집는다.	꼬집/VV+는다/EF+./SF


# id : NWRW1800000049.127.8.1
수없이 지인의 죽음을 마주했을 저자다.

수없이	수없이/MAG
지인의	지인/NNG+의/JKG
죽음을	죽음/NNG+을/JKO
마주했을	마주/MAG+하/XSV+았/EP+을/ETM
저자다.	저자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.127.8.2
배우자를 잃고 혼자 남은 괴로움이나 벗을 잃은 슬픔을 저자는 담담하게 마주하고 이겨낸다.

배우자를	배우자/NNG+를/JKO
잃고	잃/VV+고/EC
혼자	혼자/MAG
남은	남/VV+은/ETM
괴로움이나	괴로움/NNG+이나/JC
벗을	벗/NNG+을/JKO
잃은	잃/VV+은/ETM
슬픔을	슬픔/NNG+을/JKO
저자는	저자/NNG+는/JX
담담하게	담담하/VA+게/EC
마주하고	마주/MAG+하/XSV+고/EC
이겨낸다.	이기/VV+어/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.127.8.3
90세가 넘으면서는 자신을 위해 남기고 싶은 것은 다 없어지고 더 많은 사람에게 더 큰 사랑을 베풀 수 있었으면 감사하겠다는 마음만 남았다고 한다.

90세가	90/SN+세/NNB+가/JKS
넘으면서는	넘/VV+으면서/EC+는/JX
자신을	자신/NNG+을/JKO
위해	위하/VV+아/EC
남기고	남기/VV+고/EC
싶은	싶/VX+은/ETM
것은	것/NNB+은/JX
다	다/MAG
없어지고	없어지/VV+고/EC
더	더/MAG
많은	많/VA+은/ETM
사람에게	사람/NNG+에게/JKB
큰	크/VA+ㄴ/ETM
사랑을	사랑/NNG+을/JKO
베풀	베풀/VV+ㄹ/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
감사하겠다는	감사/NNG+하/XSA+겠/EP+다는/ETM
마음만	마음/NNG+만/JX
남았다고	남/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.127.8.4
저자는 “인간은 죽음을 전제로 하는 삶의 가치와 의미를 살피는 점이 다른 생명체와 다르다”고 말한다.

저자는	저자/NNG+는/JX
“인간은	“/SS+인간/NNG+은/JX
죽음을	죽음/NNG+을/JKO
전제로	전제/NNG+로/JKB
하는	하/VV+는/ETM
삶의	삶/NNG+의/JKG
가치와	가치/NNG+와/JC
의미를	의미/NNG+를/JKO
살피는	살피/VV+는/ETM
점이	점/NNG+이/JKS
다른	다른/MMD
생명체와	생명체/NNG+와/JKB
다르다”고	다르/VA+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


