# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.66
metadata : {}


# id : NWRW1800000028.66.1.1
‘펜과 붓’이 함께한 여행…‘잃어버린 나’를 찾다

‘펜과	‘/SS+펜/NNG+과/JC
붓’이	붓/NNG+’/SS+이/JKS
함께한	함께/MAG+하/XSV+ㄴ/ETM
여행…‘잃어버린	여행/NNG+…/SE+‘/SS+잃어버리/VV+ㄴ/ETM
나’를	나/NP+’/SS+를/JKO
찾다	찾/VV+다/EF


# id : NWRW1800000028.66.2.1
봄은 제주에 와 있었다.

봄은	봄/NNG+은/JX
제주에	제주/NNP+에/JKB
와	오/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.66.3.1
유난히 춥고 길었던 겨울도 제주의 훈훈한 봄바람 앞에서는 맥없이 녹아내리는 듯했다.

유난히	유난히/MAG
춥고	춥/VA+고/EC
길었던	길/VA+었/EP+던/ETM
겨울도	겨울/NNG+도/JX
제주의	제주/NNP+의/JKG
훈훈한	훈훈하/VA+ㄴ/ETM
봄바람	봄바람/NNG
앞에서는	앞/NNG+에서/JKB+는/JX
맥없이	맥없이/MAG
녹아내리는	녹아내리/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000028.66.3.2
겨울꽃 동백과 수선화는 물론 봄을 알리는 매화와 복수초, 제주의 상징인 유채꽃, 그리고 장다리꽃과 무꽃에 민들레며 개불알풀꽃 같은 들꽃들이 경쟁하듯 자태를 뽐냈다.

겨울꽃	겨울/NNG+꽃/NNG
동백과	동백/NNG+과/JC
수선화는	수선화/NNG+는/JX
물론	물론/MAG
봄을	봄/NNG+을/JKO
알리는	알리/VV+는/ETM
매화와	매화/NNG+와/JC
복수초,	복수초/NNG+,/SP
제주의	제주/NNP+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
유채꽃,	유채꽃/NNG+,/SP
그리고	그리고/MAJ
장다리꽃과	장다리꽃/NNG+과/JC
무꽃에	무꽃/NNG+에/JKB
민들레며	민들레/NNG+며/JC
개불알풀꽃	개불알풀꽃/NNG
같은	같/VA+은/ETM
들꽃들이	들꽃/NNG+들/XSN+이/JKS
경쟁하듯	경쟁/NNG+하/XSV+듯/EC
자태를	자태/NNG+를/JKO
뽐냈다.	뽐내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.66.3.3
목련 나무에는 어느덧 꽃망울이 터질 듯 맺혔고, 느릅나무와 찔레 새순도 수줍게 싹을 내밀었다.

목련	목련/NNG
나무에는	나무/NNG+에/JKB+는/JX
어느덧	어느덧/MAG
꽃망울이	꽃망울/NNG+이/JKS
터질	터지/VV+ㄹ/ETM
듯	듯/NNB
맺혔고,	맺히/VV+었/EP+고/EC+,/SP
느릅나무와	느릅나무/NNG+와/JC
찔레	찔레/NNG
새순도	새순/NNG+도/JX
수줍게	수줍/VA+게/EC
싹을	싹/NNG+을/JKO
내밀었다.	내밀/VV+었/EP+다/EF+./SF


