# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.47
metadata : {}


# id : NWRW1800000025.47.1.1
6·25戰史에 소년병 오른다

6·25戰史에	6/SN+·/SP+25/SN+戰史/SH+에/JKB
소년병	소년/NNG+병/NNG
오른다	오르/VV+ㄴ다/EF


# id : NWRW1800000025.47.2.1
6·25전쟁 당시 만 18세 미만의 나이로 참전했던 소년·소녀지원병들의 군 복무 사실이 병적에 기록된다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
당시	당시/NNG
만	만/MMA
18세	18/SN+세/NNB
미만의	미만/NNG+의/JKG
나이로	나이/NNG+로/JKB
참전했던	참전/NNG+하/XSV+았/EP+던/ETM
소년·소녀지원병들의	소년/NNG+·/SP+소녀/NNG+지원병/NNG+들/XSN+의/JKG
군	군/NNG
복무	복무/NNG
사실이	사실/NNG+이/JKS
병적에	병적/NNG+에/JKB
기록된다.	기록/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.47.2.2
또 이들의 활약상이 군사편찬연구소에서 발간하는 전사(戰史)에 공식 게재된다.

또	또/MAG
이들의	이/NP+들/XSN+의/JKG
활약상이	활약상/NNG+이/JKS
군사편찬연구소에서	군사/NNG+편찬/NNG+연구소/NNG+에서/JKB
발간하는	발간/NNG+하/XSV+는/ETM
전사(戰史)에	전사/NNG+(/SS+戰史/SH+)/SS+에/JKB
공식	공식/NNG
게재된다.	게재/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.47.2.3
이 같은 국방부의 조치는 2008년 소년·소녀지원병의 실체를 인정하라는 국민권익위원회의 권유를 받아들인 데 따른 것이다.

이	이/MMD
같은	같/VA+은/ETM
국방부의	국방부/NNG+의/JKG
조치는	조치/NNG+는/JX
2008년	2008/SN+년/NNB
소년·소녀지원병의	소년/NNG+·/SP+소녀/NNG+지원병/NNG+의/JKG
실체를	실체/NNG+를/JKO
인정하라는	인정/NNG+하/XSV+라는/ETM
국민권익위원회의	국민/NNG+권익/NNG+위원회/NNG+의/JKG
권유를	권유/NNG+를/JKO
받아들인	받아들이/VV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.47.2.4
2008년까지 이들의 실체는 인정받지 못했다.

2008년까지	2008/SN+년/NNB+까지/JX
이들의	이/NP+들/XSN+의/JKG
실체는	실체/NNG+는/JX
인정받지	인정/NNG+받/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.47.3.1
국방부 예비역정책발전태스크포스 관계자는 “현역으로 복무한 6·25참전 소년·소녀지원병들의 병적을 정정하는 작업을 연말까지 마무리할 계획”이라며 “각 군 본부는 지난해 12월부터 이들의 병적기록표에 ‘6·25참전 소년·소녀지원병’을 명시하는 작업을 시작했다”고 밝혔다.

국방부	국방부/NNG
예비역정책발전태스크포스	예비역/NNG+정책/NNG+발전/NNG+태스크포스/NNG
관계자는	관계자/NNG+는/JX
“현역으로	“/SS+현역/NNG+으로/JKB
복무한	복무/NNG+하/XSV+ㄴ/ETM
6·25참전	6/SN+·/SP+25/SN+참전/NNG
소년·소녀지원병들의	소년/NNG+·/SP+소녀/NNG+지원병/NNG+들/XSN+의/JKG
병적을	병적/NNG+을/JKO
정정하는	정정/NNG+하/XSV+는/ETM
작업을	작업/NNG+을/JKO
연말까지	연말/NNG+까지/JX
마무리할	마무리/NNG+하/XSV+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“각	“/SS+각/MMD
군	군/NNG
본부는	본부/NNG+는/JX
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
이들의	이/NP+들/XSN+의/JKG
병적기록표에	병적/NNG+기록표/NNG+에/JKB
‘6·25참전	‘/SS+6/SN+·/SP+25/SN+참전/NNG
소년·소녀지원병’을	소년/NNG+·/SP+소녀/NNG+지원병/NNG+’/SS+을/JKO
명시하는	명시/NNG+하/XSV+는/ETM
시작했다”고	시작/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.47.3.2
군은 현재 대상자 1만4400여 명(추정치) 중 절반인 7000여 명의 정정작업을 끝낸 것으로 알려졌다.

군은	군/NNG+은/JX
현재	현재/MAG
대상자	대상자/NNG
1만4400여	1/SN+만/NR+4400/SN+여/XSN
명(추정치)	명/NNB+(/SS+추정/NNG+치/XSN+)/SS
중	중/NNB
절반인	절반/NNG+이/VCP+ㄴ/ETM
7000여	7000/SN+여/XSN
명의	명/NNB+의/JKG
정정작업을	정정/NNG+작업/NNG+을/JKO
끝낸	끝내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.47.4.1
국방부 산하 군사편찬연구소는 ‘소년·소녀지원병 6·25참전사’(가칭) 편찬작업을 3단계로 나눠 2013년 말까지 완료할 방침이다.

국방부	국방부/NNG
산하	산하/NNG
군사편찬연구소는	군사/NNG+편찬/NNG+연구소/NNG+는/JX
‘소년·소녀지원병	‘/SS+소년/NNG+·/SP+소녀/NNG+지원병/NNG
6·25참전사’(가칭)	6/SN+·/SP+25/SN+참전사/NNG+’/SS+(/SS+가칭/NNG+)/SS
편찬작업을	편찬/NNG+작업/NNG+을/JKO
3단계로	3/SN+단계/NNG+로/JKB
나눠	나누/VV+어/EC
2013년	2013/SN+년/NNB
말까지	말/NNB+까지/JX
완료할	완료/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.47.4.2
1단계로 소년·소녀지원병과 관련된 개념을 정립하고 2단계에서 전투 시기별, 사안별로 각종 인터뷰를 통한 참전 증언록을 작성한 뒤 3단계에서 종합분석 및 전사를 발간할 계획이다.

1단계로	1/SN+단계/NNG+로/JKB
소년·소녀지원병과	소년/NNG+·/SP+소녀/NNG+지원병/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
개념을	개념/NNG+을/JKO
정립하고	정립/NNG+하/XSV+고/EC
2단계에서	2/SN+단계/NNG+에서/JKB
전투	전투/NNG
시기별,	시기/NNG+별/XSN+,/SP
