# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.208
metadata : {}


# id : NWRW1800000022.208.1.1
[6·10 서울광장 시위] 수만명 모여 "독재 타도" 反정부 구호 외쳐;100여개 정당·단체 참가 한때 태평로 차로 점거… 경찰과 몸싸움 벌이기도

[6·10	[/SS+6/SN+·/SP+10/SN
서울광장	서울광장/NNP
시위]	시위/NNG+]/SS
수만명	수만/NR+명/NNB
모여	모이/VV+어/EC
"독재	"/SS+독재/NNG
타도"	타도/NNG+"/SS
反정부	反/SH+정부/NNG
구호	구호/NNG
외쳐;100여개	외치/VV+어/EC+;/SP+100/SN+여/XSN+개/NNB
정당·단체	정당/NNG+·/SP+단체/NNG
참가	참가/NNG
한때	한때/MAG
태평로	태평로/NNP
차로	차/NNG+로/JKB
점거…	점거/NNG+…/SE
경찰과	경찰/NNG+과/JKB
몸싸움	몸싸움/NNG
벌이기도	벌이/VV+기/ETN+도/JX


# id : NWRW1800000022.208.2.1
10일 오후 7시30분쯤 서울시청 앞 서울광장에서 '6·10 범국민대회'가 시작됐다.

10일	10/SN+일/NNB
오후	오후/NNG
7시30분쯤	7/SN+시/NNB+30/SN+분/NNB+쯤/XSN
서울시청	서울시청/NNP
앞	앞/NNG
서울광장에서	서울광장/NNP+에서/JKB
'6·10	'/SS+6/SN+·/SP+10/SN
범국민대회'가	범/XPN+국민/NNG+대회/NNG+'/SS+가/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.208.2.2
민주당·민주노동당·진보신당·창조한국당·안티이명박·촛불시민연석회의·참여연대 등 100여 개 정당과 시민단체의 깃발이 펄럭였다.

민주당·민주노동당·진보신당·창조한국당·안티이명박·촛불시민연석회의·참여연대	민주당/NNP+·/SP+민주노동당/NNP+·/SP+진보신당/NNP+·/SP+창조한국당/NNP+·/SP+안티이명박/NNP+·/SP+촛불시민연석회의/NNP+·/SP+참여연대/NNP
등	등/NNB
100여	100/SN+여/XSN
개	개/NNB
정당과	정당/NNG+과/JC
시민단체의	시민/NNG+단체/NNG+의/JKG
깃발이	깃발/NNG+이/JKS
펄럭였다.	펄럭이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.208.2.3
