# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.429
metadata : {}


# id : NWRW1800000026.429.1.1
[강원] 구제역 보상금, 道 예비비로 우선 지급

[강원]	[/SS+강원/NNP+]/SS
구제역	구제역/NNG
보상금,	보상금/NNG+,/SP
道	道/SH
예비비로	예비비/NNG+로/JKB
우선	우선/MAG
지급	지급/NNG


# id : NWRW1800000026.429.2.1
구제역 피해농가에 대해 살처분 보상금 중 50%는 정부가 지급하기 전에 정부지원금과 도 예비비로 우선 지원된다.

구제역	구제역/NNG
피해농가에	피해/NNG+농가/NNG+에/JKB
대해	대하/VV+아/EC
살처분	살처분/NNG
보상금	보상금/NNG
중	중/NNB
50%는	50/SN+%/SW+는/JX
정부가	정부/NNG+가/JKS
지급하기	지급/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
정부지원금과	정부/NNG+지원금/NNG+과/JC
도	도/NNG
예비비로	예비비/NNG+로/JKB
우선	우선/MAG
지원된다.	지원/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.429.2.2
피해 농민들의 생계 안정을 위한 것으로 50억원 규모가 될 전망이다.

피해	피해/NNG
농민들의	농민/NNG+들/XSN+의/JKG
생계	생계/NNG
안정을	안정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
50억원	50/SN+억/NR+원/NNB
규모가	규모/NNG+가/JKC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.429.3.1
강원도는 구제역 관련 축산업종 영세 자영업자에 대한 융자금 2차보전을 실시한다고 28일 밝혔다.

강원도는	강원도/NNP+는/JX
구제역	구제역/NNG
관련	관련/NNG
축산업종	축산/NNG+업종/NNG
영세	영세/NNG
자영업자에	자영업자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
융자금	융자금/NNG
2차보전을	2/SN+차/NNB+보전/NNG+을/JKO
실시한다고	실시/NNG+하/XSV+ㄴ다고/EC
28일	28/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.429.3.2
지원대상은 축산물 가공·유통·판매업종 소상공인이며, 구제역 기간(발생~종료)중 정책자금 융자금을 신청한 대상자에 한해 지급된다.

지원대상은	지원/NNG+대상/NNG+은/JX
축산물	축산물/NNG
가공·유통·판매업종	가공/NNG+·/SP+유통/NNG+·/SP+판매/NNG+업종/NNG
소상공인이며,	소/XPN+상공인/NNG+이/VCP+며/EC+,/SP
구제역	구제역/NNG
기간(발생~종료)중	기간/NNG+(/SS+발생/NNG+~/SO+종료/NNG+)/SS+중/NNB
정책자금	정책/NNG+자금/NNG
융자금을	융자금/NNG+을/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
대상자에	대상자/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
