# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.337
metadata : {}


# id : NWRW1800000038.337.1.1
[朴당선인 청와대 추가 인선] 원조 親朴 '비서실장 허태열' '박정희 청와대'서 5년간 근무

[朴당선인	[/SS+朴/SH+당선인/NNG
청와대	청와대/NNP
추가	추가/NNG
인선]	인선/NNG+]/SS
원조	원조/NNG
親朴	親朴/SH
'비서실장	'/SS+비서실장/NNG
허태열'	허태열/NNP+'/SS
'박정희	'/SS+박정희/NNP
청와대'서	청와대/NNP+'/SS+서/JKB
5년간	5/SN+년/NNB+간/XSN
근무	근무/NNG


# id : NWRW1800000038.337.2.1
朴 前대통령과의 관계… 1974년부터 행정관으로 근무 "박정희 前대통령 가장 존경"

朴	朴/SH
前대통령과의	前/SH+대통령/NNG+과/JKB+의/JKG
관계…	관계/NNG+…/SE
1974년부터	1974/SN+년/NNB+부터/JX
행정관으로	행정관/NNG+으로/JKB
근무	근무/NNG
"박정희	"/SS+박정희/NNP
前대통령	前/SH+대통령/NNG
가장	가장/MAG
존경"	존경/NNG+"/SS


# id : NWRW1800000038.337.3.1
허태열(許泰烈·68) 청와대 비서실장 내정자는 18일 기자들과 만나 "무엇보다 책임을 통감한다. 여러모로 부족한 사람인데 제대로 (비서)실장직을 감당해낼 수 있을지 걱정부터 앞서는 게 솔직한 심정"이라며 "박 당선인의 국정 철학을 성공적으로 구현할 수 있도록 모든 능력을 다 바쳐서 보좌해 나가겠다"고 말했다.

허태열(許泰烈·68)	허태열/NNP+(/SS+許泰烈/SH+·/SP+68/SN+)/SS
청와대	청와대/NNP
비서실장	비서실장/NNG
내정자는	내정자/NNG+는/JX
18일	18/SN+일/NNB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"무엇보다	"/SS+무엇/NP+보다/JKB
책임을	책임/NNG+을/JKO
통감한다.	통감/NNG+하/XSV+ㄴ다/EF+./SF
여러모로	여러모로/MAG
부족한	부족/NNG+하/XSA+ㄴ/ETM
사람인데	사람/NNG+이/VCP+ㄴ데/EC
제대로	제대로/MAG
(비서)실장직을	(/SS+비서/NNG+)/SS+실장직/NNG+을/JKO
감당해낼	감당/NNG+하/XSV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
걱정부터	걱정/NNG+부터/JX
앞서는	앞서/VV+는/ETM
게	거/NNB+이/JKS
솔직한	솔직하/VA+ㄴ/ETM
심정"이라며	심정/NNG+"/SS+이/VCP+라며/EC
"박	"/SS+박/NNP
당선인의	당선인/NNG+의/JKG
국정	국정/NNG
철학을	철학/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
구현할	구현/NNG+하/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
모든	모든/MMN
능력을	능력/NNG+을/JKO
다	다/MAG
바쳐서	바치/VV+어서/EC
보좌해	보좌/NNG+하/XSV+아/EC
