# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.349
metadata : {}


# id : NWRW1800000049.349.1.1
“화학물질 3만5000여종 여전히 규제 사각”

“화학물질	“/SS+화학/NNG+물질/NNG
3만5000여종	3/SN+만/NR+5000/SN+여/XSN+종/NNG
여전히	여전히/MAG
규제	규제/NNG
사각”	사각/NNG+”/SS


# id : NWRW1800000049.349.2.1
가습기 살균제 특위 첫 기관보고… 여야, 유해물질 허술관리 질타 정부 “피해보상기금 마련 검토”

가습기	가습기/NNG
살균제	살균제/NNG
특위	특위/NNG
첫	첫/MMN
기관보고…	기관/NNG+보고/NNG+…/SE
여야,	여야/NNG+,/SP
유해물질	유해/NNG+물질/NNG
허술관리	허술/XR+관리/NNG
질타	질타/NNG
정부	정부/NNG
“피해보상기금	“/SS+피해/NNG+보상/NNG+기금/NNG
마련	마련/NNG
검토”	검토/NNG+”/SS


# id : NWRW1800000049.349.3.1
가습기 살균제 참사 책임을 외면하고 후속 대책도 제대로 내놓지 못하는 정부에 대해 여야 의원들이 한목소리로 질타했다.

가습기	가습기/NNG
살균제	살균제/NNG
참사	참사/NNG
책임을	책임/NNG+을/JKO
외면하고	외면/NNG+하/XSV+고/EC
후속	후속/NNG
대책도	대책/NNG+도/JX
제대로	제대로/MAG
내놓지	내놓/VV+지/EC
못하는	못하/VX+는/ETM
정부에	정부/NNG+에/JKB
대해	대하/VV+아/EC
여야	여야/NNG
의원들이	의원/NNG+들/XSN+이/JKS
한목소리로	한목소리/NNG+로/JKB
질타했다.	질타/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.4.1
국회 가습기 살균제 사고 진상 규명 국정조사 특별위원회는 국무조정실과 산업통상자원부, 환경부를 대상으로 16일 첫 기관보고 회의를 열고 정부의 유해화학물질에 대한 관리가 허점투성이고 피해자에 대한 사과가 없다며 포문을 열었다.

국회	국회/NNG
가습기	가습기/NNG
살균제	살균제/NNG
사고	사고/NNG
진상	진상/NNG
규명	규명/NNG
국정조사	국정/NNG+조사/NNG
특별위원회는	특별/NNG+위원회/NNG+는/JX
국무조정실과	국무/NNG+조정실/NNG+과/JC
산업통상자원부,	산업/NNG+통상/NNG+자원부/NNG+,/SP
환경부를	환경부/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
16일	16/SN+일/NNB
첫	첫/MMN
기관보고	기관/NNG+보고/NNG
회의를	회의/NNG+를/JKO
열고	열/VV+고/EC
정부의	정부/NNG+의/JKG
유해화학물질에	유해/NNG+화학/NNG+물질/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관리가	관리/NNG+가/JKS
허점투성이고	허점/NNG+투성이/XSN+이/VCP+고/EC
피해자에	피해자/NNG+에/JKB
사과가	사과/NNG+가/JKS
없다며	없/VA+다며/EC
포문을	포문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.349.5.1
특히 참사를 겪고도 유해물질 관리 대책에 큰 구멍이 확인된 점을 집중 추궁했다.

특히	특히/MAG
참사를	참사/NNG+를/JKO
겪고도	겪/VV+고/EC+도/JX
유해물질	유해/NNG+물질/NNG
관리	관리/NNG
대책에	대책/NNG+에/JKB
큰	크/VA+ㄴ/ETM
구멍이	구멍/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
점을	점/NNG+을/JKO
집중	집중/NNG
추궁했다.	추궁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.5.2
국민의당 송기석 의원은 질의자료를 통해 “1991년 유해화학물질관리법이 시행되기 전에 기존 화학물질로 지정된 화학물질은 대부분 유해성 검사 대상에서 빠지면서 지금도 3만5000여 종의 화학물질은 규제에서 제외돼 있다”고 지적했다.

국민의당	국민의당/NNP
송기석	송기석/NNP
의원은	의원/NNG+은/JX
질의자료를	질의/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
“1991년	“/SS+1991/SN+년/NNB
유해화학물질관리법이	유해/NNG+화학/NNG+물질/NNG+관리법/NNG+이/JKS
시행되기	시행/NNG+되/XSV+기/ETN
전에	전/NNG+에/JKB
기존	기존/NNG
화학물질로	화학/NNG+물질/NNG+로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
화학물질은	화학/NNG+물질/NNG+은/JX
대부분	대/XPN+부분/NNG
유해성	유해/NNG+성/XSN
검사	검사/NNG
대상에서	대상/NNG+에서/JKB
빠지면서	빠지/VV+면서/EC
지금도	지금/NNG+도/JX
3만5000여	3/SN+만/NR+5000/SN+여/XSN
종의	종/NNG+의/JKG
규제에서	규제/NNG+에서/JKB
제외돼	제외/NNG+되/XSV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.6.1
최근 정부가 가습기 살균제 피해자 접수를 재개하면서 문의가 폭주하는 가운데 지방 거주자는 신고 접수마저 어려움을 겪는다는 사실도 드러났다.

최근	최근/MAG
정부가	정부/NNG+가/JKS
가습기	가습기/NNG
살균제	살균제/NNG
피해자	피해자/NNG
접수를	접수/NNG+를/JKO
재개하면서	재개/NNG+하/XSV+면서/EC
문의가	문의/NNG+가/JKS
폭주하는	폭주/NNG+하/XSV+는/ETM
가운데	가운데/NNG
지방	지방/NNG
거주자는	거주자/NNG+는/JX
신고	신고/NNG
접수마저	접수/NNG+마저/JX
어려움을	어려움/NNG+을/JKO
겪는다는	겪/VV+는다는/ETM
사실도	사실/NNG+도/JX
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.6.2
새누리당 정태옥 의원은 “가습기 살균제 피해 조사·판정기관 중 지방 소재 병원은 1곳밖에 없다”며 “지방 피해자들은 수도권까지 와서 검사를 받다 보니 생업에 지장을 겪고 있다”고 말했다.

새누리당	새누리당/NNP
정태옥	정태옥/NNP
의원은	의원/NNG+은/JX
“가습기	“/SS+가습기/NNG
살균제	살균제/NNG
피해	피해/NNG
조사·판정기관	조사/NNG+·/SP+판정/NNG+기관/NNG
중	중/NNB
지방	지방/NNG
소재	소재/NNG
병원은	병원/NNG+은/JX
1곳밖에	1/SN+곳/NNG+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“지방	“/SS+지방/NNG
피해자들은	피해자/NNG+들/XSN+은/JX
수도권까지	수도/NNG+권/XSN+까지/JX
와서	오/VV+아서/EC
검사를	검사/NNG+를/JKO
받다	받/VV+다/EC
보니	보/VX+니/EC
생업에	생업/NNG+에/JKB
지장을	지장/NNG+을/JKO
겪고	겪/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.7.1
기금을 조성해 피해자를 지원하는 방안도 거론됐다.

기금을	기금/NNG+을/JKO
조성해	조성/NNG+하/XSV+아/EC
피해자를	피해자/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
거론됐다.	거론/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.349.7.2
이날 이석준 국무조정실장은 “명확하게 (피해) 인과관계 증명이 어려운 분들을 위해 제조, 판매회사들이 기금을 만드는 방안을 검토할 수 있을 것”이라고 말했다.

이날	이날/NNG
이석준	이석준/NNP
국무조정실장은	국무/NNG+조정실장/NNG+은/JX
“명확하게	“/SS+명확하/VA+게/EC
(피해)	(/SS+피해/NNG+)/SS
인과관계	인과/NNG+관계/NNG
증명이	증명/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
분들을	분/NNB+들/XSN+을/JKO
위해	위하/VV+아/EC
제조,	제조/NNG+,/SP
판매회사들이	판매/NNG+회사/NNG+들/XSN+이/JKS
기금을	기금/NNG+을/JKO
만드는	만들/VV+는/ETM
방안을	방안/NNG+을/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.8.1
한편 정부가 책임을 인정하고 사과하라는 질타도 쏟아졌지만 환경부와 국무조정실은 공식사과 요구를 외면해 눈총을 샀다.

한편	한편/MAG
정부가	정부/NNG+가/JKS
책임을	책임/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
사과하라는	사과/NNG+하/XSV+라는/ETM
질타도	질타/NNG+도/JX
쏟아졌지만	쏟아지/VV+었/EP+지만/EC
환경부와	환경부/NNG+와/JC
국무조정실은	국무/NNG+조정실/NNG+은/JX
공식사과	공식/NNG+사과/NNG
요구를	요구/NNG+를/JKO
외면해	외면/NNG+하/XSV+아/EC
눈총을	눈총/NNG+을/JKO
샀다.	사/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.8.2
의원들의 공식 사과 요구가 거듭 이어지자 이 실장은 “도의적 측면에서 일정 책임이 없다고 할 수 없지만 피해자와 유가족들이 더 이상 고통받지 않도록 최대한 지원하겠다”면서도 사과로 보일 수 있는 구체적 언급은 피해 갔다.

의원들의	의원/NNG+들/XSN+의/JKG
공식	공식/NNG
사과	사과/NNG
요구가	요구/NNG+가/JKS
거듭	거듭/MAG
이어지자	이어지/VV+자/EC
이	이/NNP
실장은	실장/NNG+은/JX
“도의적	“/SS+도의/NNG+적/XSN
측면에서	측면/NNG+에서/JKB
일정	일정/NNG
책임이	책임/NNG+이/JKS
없다고	없/VA+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
피해자와	피해자/NNG+와/JC
유가족들이	유가족/NNG+들/XSN+이/JKS
더	더/MAG
이상	이상/NNG
고통받지	고통/NNG+받/XSV+지/EC
않도록	않/VX+도록/EC
최대한	최대한/MAG
지원하겠다”면서도	지원/NNG+하/XSV+겠/EP+다/EF+”/SS+면서/EC+도/JX
사과로	사과/NNG+로/JKB
보일	보이/VV+ㄹ/ETM
있는	있/VA+는/ETM
구체적	구체/NNG+적/XSN
언급은	언급/NNG+은/JX
피해	피하/VV+아/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.349.8.3
이 실장과 함께 특위에 참석한 윤성규 환경부 장관도 “이 실장의 답변 범주를 벗어난 입장은 없다”고 말했다.

이	이/NNP
실장과	실장/NNG+과/JKB
함께	함께/MAG
특위에	특위/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
윤성규	윤성규/NNP
환경부	환경부/NNG
장관도	장관/NNG+도/JX
“이	“/SS+이/NNP
실장의	실장/NNG+의/JKG
답변	답변/NNG
범주를	범주/NNG+를/JKO
벗어난	벗어나/VV+ㄴ/ETM
입장은	입장/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.9.1
이에 대해 더불어민주당 우원식 특위 위원장은 “국가가 국민의 생명을 지키지 못한 부분에 대해 사과한다는 말씀을 한 분이 아무도 없다”고 비판했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
더불어민주당	더불어민주당/NNP
우원식	우원식/NNP
특위	특위/NNG
위원장은	위원장/NNG+은/JX
“국가가	“/SS+국가/NNG+가/JKS
국민의	국민/NNG+의/JKG
생명을	생명/NNG+을/JKO
지키지	지키/VV+지/EC
못한	못하/VX+ㄴ/ETM
부분에	부분/NNG+에/JKB
사과한다는	사과/NNG+하/XSV+ㄴ다는/ETM
말씀을	말씀/NNG+을/JKO
한	하/VV+ㄴ/ETM
분이	분/NNB+이/JKS
아무도	아무/NP+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.10.1
