# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.152
metadata : {}


# id : NWRW1800000024.152.1.1
동네 휩쓴 대형마트의 포식성 ‘카드의 증언’

동네	동네/NNG
휩쓴	휩쓸/VV+ㄴ/ETM
대형마트의	대형/NNG+마트/NNG+의/JKG
포식성	포식/NNG+성/XSN
‘카드의	‘/SS+카드/NNG+의/JKG
증언’	증언/NNG+’/SS


# id : NWRW1800000024.152.2.1
지난해 9월 서울 성동구 행당동 지역의 카드 사용액이 갑자기 급증했다.

지난해	지난해/NNG
9월	9/SN+월/NNB
서울	서울/NNP
성동구	성동구/NNP
행당동	행당동/NNP
지역의	지역/NNG+의/JKG
카드	카드/NNG
사용액이	사용액/NNG+이/JKS
갑자기	갑자기/MAG
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.2.2
<한겨레>가 입수한 A카드와 B카드의 성동구 동별 매출액 추이 자료를 보면, A카드의 이 지역 매출액은 54억8600만원으로 2007년 9월의 30억3200만원보다 1.8배 증가했고, B카드의 매출도 2배나 늘었다.

<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
입수한	입수/NNG+하/XSV+ㄴ/ETM
A카드와	A/SL+카드/NNG+와/JC
B카드의	B/SL+카드/NNG+의/JKG
성동구	성동구/NNP
동별	동/NNG+별/XSN
매출액	매출액/NNG
추이	추이/NNG
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
A카드의	A/SL+카드/NNG+의/JKG
이	이/MMD
지역	지역/NNG
매출액은	매출액/NNG+은/JX
54억8600만원으로	54/SN+억/NR+8600/SN+만/NR+원/NNB+으로/JKB
2007년	2007/SN+년/NNB
9월의	9/SN+월/NNB+의/JKG
30억3200만원보다	30/SN+억/NR+3200/SN+만/NR+원/NNB+보다/JKB
1.8배	1/SN+./SP+8/SN+배/NNG
증가했고,	증가/NNG+하/XSV+았/EP+고/EC+,/SP
매출도	매출/NNG+도/JX
2배나	2/SN+배/NNG+나/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.152.2.3
그러나 행당동을 제외한 성동구의 다른 동들은 같은 기간 매출이 감소하거나 매출 상승세가 크게 꺾인 것으로 나타났다.

그러나	그러나/MAJ
행당동을	행당동/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
성동구의	성동구/NNP+의/JKG
다른	다른/MMD
동들은	동/NNG+들/XSN+은/JX
같은	같/VA+은/ETM
기간	기간/NNG
매출이	매출/NNG+이/JKS
감소하거나	감소/NNG+하/XSV+거나/EC
매출	매출/NNG
상승세가	상승세/NNG+가/JKS
크게	크/VA+게/EC
꺾인	꺾이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.2.4
지난해 9월4일 행당동에 매장면적 1만2210㎡의 이마트 왕십리역점이 문을 열면서 일어난 현상이다.

지난해	지난해/NNG
9월4일	9/SN+월/NNB+4/SN+일/NNB
행당동에	행당동/NNP+에/JKB
매장면적	매장/NNG+면적/NNG
1만2210㎡의	1/SN+만/NR+2210/SN+㎡/SW+의/JKG
이마트	이마트/NNP
왕십리역점이	왕십리역점/NNG+이/JKS
문을	문/NNG+을/JKO
열면서	열/VV+면서/EC
일어난	일어나/VV+ㄴ/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.152.2.5
대형마트의 입점으로 이 지역 자영업자들의 매출이 대폭 줄어든 셈이다.

대형마트의	대형/NNG+마트/NNG+의/JKG
입점으로	입점/NNG+으로/JKB
이	이/MMD
지역	지역/NNG
자영업자들의	자영업자/NNG+들/XSN+의/JKG
매출이	매출/NNG+이/JKS
대폭	대폭/MAG
줄어든	줄어들/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.152.2.6
대형마트의 입점이 인근 지역 자영업자 매출에 큰 영향을 미친다는 것은 잘 알려진 사실이지만 신용카드회사의 매출액을 통해 분석된 것은 이번이 처음이다.

대형마트의	대형/NNG+마트/NNG+의/JKG
입점이	입점/NNG+이/JKS
인근	인근/NNG
지역	지역/NNG
자영업자	자영업자/NNG
매출에	매출/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미친다는	미치/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
사실이지만	사실/NNG+이/VCP+지만/EC
신용카드회사의	신용/NNG+카드/NNG+회사/NNG+의/JKG
매출액을	매출액/NNG+을/JKO
통해	통하/VV+아/EC
분석된	분석/NNG+되/XSV+ㄴ/ETM
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.152.3.1
대형마트의 입점으로 가장 타격을 입은 곳은 같은 동에서 사업을 하는 자영업자들인 것으로 추정된다.

대형마트의	대형/NNG+마트/NNG+의/JKG
입점으로	입점/NNG+으로/JKB
가장	가장/MAG
타격을	타격/NNG+을/JKO
입은	입/VV+은/ETM
곳은	곳/NNG+은/JX
같은	같/VA+은/ETM
동에서	동/NNG+에서/JKB
사업을	사업/NNG+을/JKO
하는	하/VV+는/ETM
자영업자들인	자영업자/NNG+들/XSN+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.152.3.2
2008년 9월 A카드의 행당동 매출은 54억8600만원인데 이 가운데 이마트 왕십리역점 매출(30억5500만원)이 차지하는 비중은 56%나 됐다.

2008년	2008/SN+년/NNB
9월	9/SN+월/NNB
