# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.248
metadata : {}


# id : NWRW1800000029.248.1.1
[2012학년도 수능점수 분석]서울대 주요학과 535∼552점 예상… 의예과 합격선 크게 올라갈 듯

[2012학년도	[/SS+2012/SN+학년도/NNG
수능점수	수능/NNG+점수/NNG
분석]서울대	분석/NNG+]/SS+서울대/NNP
주요학과	주요/NNG+학과/NNG
535∼552점	535/SN+∼/SO+552/SN+점/NNB
예상…	예상/NNG+…/SE
의예과	의예과/NNG
합격선	합격선/NNG
크게	크/VA+게/EC
올라갈	올라가/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000029.248.2.1
■ 정시지원 전략

■	■/SW
정시지원	정시/NNG+지원/NNG
전략	전략/NNG


# id : NWRW1800000029.248.3.1
올해 대학입시에서 정시모집의 경쟁이 더 치열해질 것으로 전망된다.

올해	올해/NNG
대학입시에서	대학/NNG+입시/NNG+에서/JKB
정시모집의	정시/NNG+모집/NNG+의/JKG
경쟁이	경쟁/NNG+이/JKS
더	더/MAG
치열해질	치열/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.248.3.2
수시모집이 늘어난 데다 처음으로 미등록자를 충원하는 탓에 정시로 넘어가는 정원이 지난해보다 대폭 줄어들기 때문이다.

수시모집이	수시/NNG+모집/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
데다	데/NNB+다/JX
처음으로	처음/NNG+으로/JKB
미등록자를	미/XPN+등록자/NNG+를/JKO
충원하는	충원/NNG+하/XSV+는/ETM
탓에	탓/NNG+에/JKB
정시로	정시/NNG+로/JKB
넘어가는	넘어가/VV+는/ETM
정원이	정원/NNG+이/JKS
지난해보다	지난해/NNG+보다/JKB
대폭	대폭/MAG
줄어들기	줄어들/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.248.3.3
수험생들은 대학수학능력시험 성적표를 놓고 치밀한 전략을 세워야 한다.

수험생들은	수험/NNG+생/XSN+들/XSN+은/JX
대학수학능력시험	대학/NNG+수학/NNG+능력/NNG+시험/NNG
성적표를	성적표/NNG+를/JKO
