# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.94
metadata : {}


# id : NWRW1800000041.94.1.1
경복대, 재학생 10명 중 7명이 장학금 받는 수도권 특성화 우수대학

경복대,	경복대/NNP+,/SP
재학생	재학/NNG+생/XSN
10명	10/SN+명/NNB
중	중/NNB
7명이	7/SN+명/NNB+이/JKS
장학금	장학금/NNG
받는	받/VV+는/ETM
수도권	수도/NNG+권/XSN
특성화	특성/NNG+화/XSN
우수대학	우수/NNG+대학/NNG


# id : NWRW1800000041.94.2.1
[전문대 업그레이드]매년 240명 싱가포르 무료 어학연수 보건의료, 사회복지, 유통분야 강점… 수시 90%선발… 산업체 인사 면접참여

[전문대	[/SS+전문대/NNG
업그레이드]매년	업그레이드/NNG+]/SS+매년/MAG
240명	240/SN+명/NNB
싱가포르	싱가포르/NNP
무료	무료/NNG
어학연수	어학연수/NNG
보건의료,	보건/NNG+의료/NNG+,/SP
사회복지,	사회/NNG+복지/NNG+,/SP
유통분야	유통/NNG+분야/NNG
강점…	강점/NNG+…/SE
수시	수시/NNG
90%선발…	90/SN+%/SW+선발/NNG+…/SE
산업체	산업체/NNG
인사	인사/NNG
면접참여	면접/NNG+참여/NNG


# id : NWRW1800000041.94.3.1
개교 22년을 맞이한 경복대(총장 전지용)는 수도권 동북부에 위치한 재학생 6500여 명의 중견대학이다.

개교	개교/NNG
22년을	22/SN+년/NNB+을/JKO
맞이한	맞이하/VV+ㄴ/ETM
경복대(총장	경복대/NNP+(/SS+총장/NNG
전지용)는	전지용/NNP+)/SS+는/JX
수도권	수도/NNG+권/XSN
동북부에	동북부/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
재학생	재학/NNG+생/XSN
6500여	6500/SN+여/XSN
명의	명/NNB+의/JKG
중견대학이다.	중견/NNG+대학/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.94.3.2
서울·경기북부에서 유일한 2014년 교육부 선정 특성화 우수대학으로 이름을 높이고 있다.

서울·경기북부에서	서울/NNP+·/SP+경기/NNP+북부/NNG+에서/JKB
유일한	유일/NNG+하/XSA+ㄴ/ETM
2014년	2014/SN+년/NNB
교육부	교육부/NNG
선정	선정/NNG
특성화	특성/NNG+화/XSN
우수대학으로	우수/NNG+대학/NNG+으로/JKB
이름을	이름/NNG+을/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.94.4.1
경복대는 수도권 최대의 학생복지 제도를 운영하고 있으며, 재학생 10명 중 7명이 각종 교내외 장학금(총 178억 원)을 받을 만큼 장학금을 많이 준다.

경복대는	경복대/NNP+는/JX
수도권	수도/NNG+권/XSN
최대의	최대/NNG+의/JKG
학생복지	학생/NNG+복지/NNG
제도를	제도/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
재학생	재학/NNG+생/XSN
10명	10/SN+명/NNB
중	중/NNB
7명이	7/SN+명/NNB+이/JKS
각종	각종/NNG
교내외	교내외/NNG
장학금(총	장학금/NNG+(/SS+총/MMA
178억	178/SN+억/NR
원)을	원/NNB+)/SS+을/JKO
받을	받/VV+을/ETM
만큼	만큼/NNB
장학금을	장학금/NNG+을/JKO
많이	많이/MAG
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.4.2
싱가포르 해외무료 어학연수를 통해 매년 240명에게 어학연수 기회를 주고, 글로벌 인턴십 프로그램을 통해 해마다 10여 명이 미국 등에서 현장실습에 참여한다.

싱가포르	싱가포르/NNP
해외무료	해외/NNG+무료/NNG
어학연수를	어학연수/NNG+를/JKO
통해	통하/VV+아/EC
매년	매년/MAG
240명에게	240/SN+명/NNB+에게/JKB
어학연수	어학연수/NNG
기회를	기회/NNG+를/JKO
주고,	주/VV+고/EC+,/SP
글로벌	글로벌/NNG
인턴십	인턴십/NNG
프로그램을	프로그램/NNG+을/JKO
해마다	해마다/MAG
10여	10/SN+여/XSN
명이	명/NNB+이/JKS
미국	미국/NNP
등에서	등/NNB+에서/JKB
현장실습에	현장/NNG+실습/NNG+에/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.5.1
전지용 총장

전지용	전지용/NNP
총장	총장/NNG


# id : NWRW1800000041.94.6.1
서울·경기 지역에 수도권 최대 규모인 38대의 무료 통학버스를 운영한다.

서울·경기	서울/NNP+·/SP+경기/NNP
지역에	지역/NNG+에/JKB
수도권	수도/NNG+권/XSN
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
38대의	38/SN+대/NNB+의/JKG
무료	무료/NNG
통학버스를	통학/NNG+버스/NNG+를/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.6.2
남양주캠퍼스는 서울 잠실에서 30분대 거리이며, 지하철 4호선 진접역이 개통될 예정이어서 서울과의 접근성이 좋다.

남양주캠퍼스는	남양주/NNP+캠퍼스/NNG+는/JX
서울	서울/NNP
잠실에서	잠실/NNP+에서/JKB
30분대	30/SN+분/NNB+대/XSN
거리이며,	거리/NNG+이/VCP+며/EC+,/SP
지하철	지하철/NNG
4호선	4/SN+호선/NNB
진접역이	진접역/NNP+이/JKS
개통될	개통/NNG+되/XSV+ㄹ/ETM
예정이어서	예정/NNG+이/VCP+어서/EC
서울과의	서울/NNP+과/JKB+의/JKG
접근성이	접근/NNG+성/XSN+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000041.94.6.3
학생편의 시설도 수도권 북부 최고 수준을 자랑한다.

학생편의	학생/NNG+편의/NNG
시설도	시설/NNG+도/JX
수도권	수도/NNG+권/XSN
북부	북부/NNG
최고	최고/NNG
수준을	수준/NNG+을/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.7.1
경복대는 국가직무능력표준(NCS) 기반 교육과정 도입, 100% 취업보장형 학과 운영 등 혁신적인 교육 프로그램을 운영해왔다.

경복대는	경복대/NNP+는/JX
국가직무능력표준(NCS)	국가/NNG+직무/NNG+능력/NNG+표준/NNG+(/SS+NCS/SL+)/SS
기반	기반/NNG
교육과정	교육/NNG+과정/NNG
도입,	도입/NNG+,/SP
100%	100/SN+%/SW
취업보장형	취업/NNG+보장/NNG+형/XSN
학과	학과/NNG
운영	운영/NNG
등	등/NNB
혁신적인	혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
교육	교육/NNG
프로그램을	프로그램/NNG+을/JKO
운영해왔다.	운영/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.94.7.2
브랜드 슬로건을 ‘퓨처리스틱 이노베이터’로 정해 대학 구성원 모두가 창의와 혁신 역량을 발휘하고 있다.

브랜드	브랜드/NNG
슬로건을	슬로건/NNG+을/JKO
‘퓨처리스틱	‘/SS+퓨처리스틱/NNG
이노베이터’로	이노베이터/NNG+’/SS+로/JKB
정해	정하/VV+아/EC
대학	대학/NNG
구성원	구성원/NNG
모두가	모두/NNG+가/JKS
창의와	창의/NNG+와/JC
혁신	혁신/NNG
역량을	역량/NNG+을/JKO
발휘하고	발휘/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.94.8.1
경복대는 교육부의 2014 특성화 전문대학 육성사업에 선정됐다.

경복대는	경복대/NNP+는/JX
교육부의	교육부/NNG+의/JKG
2014	2014/SN
특성화	특성/NNG+화/XSN
전문대학	전문/NNG+대학/NNG
육성사업에	육성/NNG+사업/NNG+에/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.94.8.2
