# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.423
metadata : {}


# id : NWRW1800000022.423.1.1
[길] "기사님, 샌드위치 드세요"… 안전운전 위한 점심 봉사

[길]	[/SS+길/NNG+]/SS
"기사님,	"/SS+기사/NNG+님/XSN+,/SP
샌드위치	샌드위치/NNG
드세요"…	들/VV+시/EP+어요/EF+"/SS+…/SE
안전운전	안전/NNG+운전/NNG
위한	위하/VV+ㄴ/ETM
점심	점심/NNG
봉사	봉사/NNG


# id : NWRW1800000022.423.2.1
지난 1일 오전 11시 40분, 서울 서대문구 창천교회 앞 연세로는 주차장을 방불케 했다.

지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
40분,	40/SN+분/NNB+,/SP
서울	서울/NNP
서대문구	서대문구/NNP
창천교회	창천교회/NNP
앞	앞/NNG
연세로는	연세로/NNP+는/JX
주차장을	주차장/NNG+을/JKO
방불케	방불하/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.423.2.2
연세대 사거리와 신촌 로터리를 잇는 병목지역이라 툭하면 차가 막히는 곳이다.

연세대	연세대/NNP
사거리와	사거리/NNG+와/JC
신촌	신촌/NNP
로터리를	로터리/NNG+를/JKO
잇는	잇/VV+는/ETM
병목지역이라	병목/NNG+지역/NNG+이/VCP+라/EC
툭하면	툭하면/MAG
차가	차/NNG+가/JKS
막히는	막히/VV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.423.2.3
택시기사 김현수(56)씨가 짜증스러운 얼굴로 가다 서기를 반복했다.

택시기사	택시/NNG+기사/NNG
김현수(56)씨가	김현수/NNP+(/SS+56/SN+)/SS+씨/NNB+가/JKS
짜증스러운	짜증/NNG+스럽/XSA+ㄴ/ETM
얼굴로	얼굴/NNG+로/JKB
가다	가/VV+다/EC
서기를	서/VV+기/ETN+를/JKO
반복했다.	반복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.423.2.4
한 중년 여성이 운전석 창문에 다가갔다.

한	한/MMN
중년	중년/NNG
여성이	여성/NNG+이/JKS
운전석	운전석/NNG
창문에	창문/NNG+에/JKB
다가갔다.	다가가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.423.2.5
"기사님, 샌드위치 드세요!"

"기사님,	"/SS+기사/NNG+님/XSN+,/SP
샌드위치	샌드위치/NNG
드세요!"	들/VV+시/EP+어요/EF+!/SF+"/SS


# id : NWRW1800000022.423.3.1
김씨가 "사라는 거냐"고 퉁명스레 묻자, 여성은 "안전운전 하라고 무료로 드리는 것"이라고 했다.

김씨가	김/NNP+씨/NNB+가/JKS
"사라는	"/SS+사/VV+라는/ETM
거냐"고	거/NNB+이/VCP+냐/EF+"/SS+고/JKQ
퉁명스레	퉁명스레/MAG
묻자,	묻/VV+자/EC+,/SP
여성은	여성/NNG+은/JX
"안전운전	"/SS+안전/NNG+운전/NNG
하라고	하/VV+라고/EC
무료로	무료/NNG+로/JKB
드리는	드리/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.423.3.2
김씨가 "허허, 별일이 다 있네" 하며 샌드위치를 받아 들었다.

김씨가	김/NNP+씨/NNB+가/JKS
"허허,	"/SS+허허/IC+,/SP
별일이	별일/NNG+이/JKS
다	다/MAG
있네"	있/VA+네/EF+"/SS
하며	하/VV+며/EC
샌드위치를	샌드위치/NNG+를/JKO
받아	받/VV+아/EC
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.423.4.1
김씨에게 샌드위치를 건넨 정공림(55·마포구 서교동)씨는 창천교회 신도들로 구성된 봉사단체 '달사랑(달리는 사람들과 함께 하는 작은 사랑 나눔 캠페인)' 회원이다.

김씨에게	김/NNP+씨/NNB+에게/JKB
샌드위치를	샌드위치/NNG+를/JKO
건넨	건네/VV+ㄴ/ETM
정공림(55·마포구	정공림/NNP+(/SS+55/SN+·/SP+마포구/NNP
서교동)씨는	서교동/NNP+)/SS+씨/NNB+는/JX
창천교회	창천교회/NNP
신도들로	신도/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
봉사단체	봉사/NNG+단체/NNG
'달사랑(달리는	'/SS+달사랑/NNP+(/SS+달리/VV+는/ETM
사람들과	사람/NNG+들/XSN+과/JKB
함께	함께/MAG
하는	하/VV+는/ETM
작은	작/VA+은/ETM
사랑	사랑/NNG
나눔	나누/VV+ㅁ/ETN
캠페인)'	캠페인/NNG+)/SS+'/SS
회원이다.	회원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.423.4.2
51명의 회원들은 10~11명씩 조를 짜서 매일 오전 9시 30분쯤 교회 식당에 모인다.

51명의	51/SN+명/NNB+의/JKG
회원들은	회원/NNG+들/XSN+은/JX
10~11명씩	10/SN+~/SO+11/SN+명/NNB+씩/XSN
조를	조/NNG+를/JKO
짜서	짜/VV+아서/EC
매일	매일/MAG
오전	오전/NNG
9시	9/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
교회	교회/NNG
식당에	식당/NNG+에/JKB
모인다.	모이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.423.4.3
감자 30개·양파 6개·오이 14개·당근 3개·양배추 반 통·마요네즈(3.2㎏)·참치(1.8㎏)로 알차게 속을 채운 샌드위치 100개를 만들어 교회 앞을 지나는 택시기사들에게 나눠준다.

감자	감자/NNG
30개·양파	30/SN+개/NNB+·/SP+양파/NNG
6개·오이	6/SN+개/NNB+·/SP+오이/NNG
14개·당근	14/SN+개/NNB+·/SP+당근/NNG
3개·양배추	3/SN+개/NNB+·/SP+양배추/NNG
반	반/NNG
통·마요네즈(3.2㎏)·참치(1.8㎏)로	통/NNG+·/SP+마요네즈/NNG+(/SS+3/SN+./SP+2/SN+㎏/SW+)/SS+·/SP+참치/NNG+(/SS+1/SN+./SP+8/SN+㎏/SW+)/SS+로/JKB
알차게	알차/VA+게/EC
속을	속/NNG+을/JKO
채운	채우/VV+ㄴ/ETM
샌드위치	샌드위치/NNG
100개를	100/SN+개/NNB+를/JKO
만들어	만들/VV+어/EC
교회	교회/NNG
앞을	앞/NNG+을/JKO
지나는	지나/VV+는/ETM
택시기사들에게	택시/NNG+기사/NNG+들/XSN+에게/JKB
나눠준다.	나누/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.423.4.4
1년 예산 2500만원은 교회 예산으로 충당한다.

1년	1/SN+년/NNB
예산	예산/NNG
2500만원은	2500/SN+만/NR+원/NNB+은/JX
교회	교회/NNG
예산으로	예산/NNG+으로/JKB
충당한다.	충당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.423.5.1
이들의 '샌드위치' 봉사는 지난해 9월 미국발(發) 금융위기가 닥쳤을 때 시작됐다.

이들의	이/NP+들/XSN+의/JKG
'샌드위치'	'/SS+샌드위치/NNG+'/SS
봉사는	봉사/NNG+는/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
미국발(發)	미국/NNP+발/XSN+(/SS+發/SH+)/SS
금융위기가	금융/NNG+위기/NNG+가/JKS
닥쳤을	닥치/VV+었/EP+을/ETM
때	때/NNG
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.423.5.2
창천교회 서호석(50) 담임목사가 "불황으로 힘들어하는 이웃을 돕자. 꼭 거창한 일이 아니라도 좋다"고 아이디어를 냈다.

창천교회	창천교회/NNP
서호석(50)	서호석/NNP+(/SS+50/SN+)/SS
담임목사가	담임/NNG+목사/NNG+가/JKS
"불황으로	"/SS+불황/NNG+으로/JKB
힘들어하는	힘들/VA+어/EC+하/VX+는/ETM
이웃을	이웃/NNG+을/JKO
돕자.	돕/VV+자/EF+./SF
꼭	꼭/MAG
거창한	거창하/VA+ㄴ/ETM
일이	일/NNG+이/JKC
아니라도	아니/VCN+라도/EC
좋다"고	좋/VA+다/EF+"/SS+고/JKQ
아이디어를	아이디어/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.423.5.3
교회 앞이 상습 정체구역인 데다, 불황으로 손님이 줄어 마음고생이 심하다는 점 등을 감안해 택시기사들에게 간편한 점심을 제공하기로 했다.

교회	교회/NNG
앞이	앞/NNG+이/JKS
상습	상습/NNG
정체구역인	정체/NNG+구역/NNG+이/VCP+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
불황으로	불황/NNG+으로/JKB
손님이	손/NNG+님/XSN+이/JKS
줄어	줄/VV+어/EC
마음고생이	마음고생/NNG+이/JKS
