# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.215
metadata : {}


# id : NWRW1800000046.215.1.1
"어깨통증 없지만 복귀시점은 몰라"

"어깨통증	"/SS+어깨/NNG+통증/NNG
없지만	없/VA+지만/EC
복귀시점은	복귀/NNG+시점/NNG+은/JX
몰라"	모르/VV+아/EC+"/SS


# id : NWRW1800000046.215.2.1
류현진 공개적으로 밝혀 "당장 불펜피칭도 괜찮아"

류현진	류현진/NNP
공개적으로	공개/NNG+적/XSN+으로/JKB
밝혀	밝히/VV+어/EC
"당장	"/SS+당장/NNG
불펜피칭도	불펜/NNG+피칭/NNG+도/JX
괜찮아"	괜찮/VA+아/EC+"/SS


# id : NWRW1800000046.215.3.1
"이제는 안 아파요."

"이제는	"/SS+이제/NNG+는/JX
안	안/MAG
아파요."	아프/VA+아요/EF+./SF+"/SS


# id : NWRW1800000046.215.4.1
류현진(28·LA 다저스·얼굴)이 어깨 통증에서 벗어났다고 공개적으로 밝혔다.

류현진(28·LA	류현진/NNP+(/SS+28/SN+·/SP+LA/SL
다저스·얼굴)이	다저스/NNP+·/SP+얼굴/NNG+)/SS+이/JKS
어깨	어깨/NNG
통증에서	통증/NNG+에서/JKB
벗어났다고	벗어나/VV+았/EP+다고/EC
공개적으로	공개/NNG+적/XSN+으로/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.215.4.2
그는 20일(한국 시각) 콜로라도 로키스전이 끝난 다음 팀 클럽하우스에서 현지 언론과 가진 인터뷰에서 "캐치볼을 하는 과정에서 전혀 불편함이 없었다"며 "당장 불펜 피칭을 해도 괜찮을 정도"라고 말했다.

그는	그/NP+는/JX
20일(한국	20/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
콜로라도	콜로라도/NNP
로키스전이	로키스전/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
다음	다음/NNG
팀	팀/NNG
클럽하우스에서	클럽하우스/NNG+에서/JKB
현지	현지/NNG
언론과	언론/NNG+과/JKB
가진	가지/VV+ㄴ/ETM
인터뷰에서	인터뷰/NNG+에서/JKB
"캐치볼을	"/SS+캐치볼/NNG+을/JKO
하는	하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
전혀	전혀/MAG
불편함이	불편/NNG+하/XSA+ㅁ/ETN+이/JKS
없었다"며	없/VA+었/EP+다/EF+"/SS+며/EC
"당장	"/SS+당장/NNG
불펜	불펜/NNG
피칭을	피칭/NNG+을/JKO
해도	하/VV+아도/EC
괜찮을	괜찮/VA+을/ETM
정도"라고	정도/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.5.1
지난 3월 18일 텍사스 레인저스와의 시범경기에 선발 등판한 뒤 왼쪽 어깨 통증을 호소한 그는 이후 DL(부상자 명단)에 올라 재활에 매진했다.

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
18일	18/SN+일/NNB
텍사스	텍사스/NNP
레인저스와의	레인저스/NNP+와/JKB+의/JKG
시범경기에	시범/NNG+경기/NNG+에/JKB
선발	선발/NNG
등판한	등판/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
왼쪽	왼쪽/NNG
어깨	어깨/NNG
통증을	통증/NNG+을/JKO
호소한	호소/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
이후	이후/NNG
DL(부상자	DL/SL+(/SS+부상자/NNG
명단)에	명단/NNG+)/SS+에/JKB
올라	오르/VV+아/EC
재활에	재활/NNG+에/JKB
매진했다.	매진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.5.2
한동안 공을 잡지 않고 휴식을 취했고, 최근 캐치볼을 재개했다.

한동안	한/XPN+동안/NNG
공을	공/NNG+을/JKO
잡지	잡/VV+지/EC
않고	않/VX+고/EC
휴식을	휴식/NNG+을/JKO
취했고,	취하/VV+았/EP+고/EC+,/SP
최근	최근/NNG
캐치볼을	캐치볼/NNG+을/JKO
재개했다.	재개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.5.3
캐치볼 횟수와 개수를 꾸준히 늘려 이날까지 3일 연속 70개씩의 공을 던졌다.

캐치볼	캐치볼/NNG
횟수와	횟수/NNG+와/JC
개수를	개수/NNG+를/JKO
꾸준히	꾸준히/MAG
늘려	늘리/VV+어/EC
이날까지	이날/NNG+까지/JX
3일	3/SN+일/NNB
연속	연속/NNG
70개씩의	70/SN+개/NNB+씩/XSN+의/JKG
공을	공/NNG+을/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.215.6.1
그가 직접 전한 몸 상태와는 달리 마운드 복귀 시점은 아직 미정이다.

그가	그/NP+가/JKS
직접	직접/MAG
전한	전하/VV+ㄴ/ETM
몸	몸/NNG
상태와는	상태/NNG+와/JKB+는/JX
달리	달리/MAG
마운드	마운드/NNG
복귀	복귀/NNG
시점은	시점/NNG+은/JX
아직	아직/MAG
미정이다.	미정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.215.6.2
LA 다저스 돈 매팅리 감독은 "류현진은 순조롭게 회복하고 있지만 여전히 팀 의료진의 관할 아래 있다"고 전했다.

LA	LA/SL
다저스	다저스/NNP
돈	돈/NNP
매팅리	매팅리/NNP
감독은	감독/NNG+은/JX
"류현진은	"/SS+류현진/NNP+은/JX
순조롭게	순조/NNG+롭/XSA+게/EC
회복하고	회복/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
여전히	여전히/MAG
팀	팀/NNG
의료진의	의료진/NNG+의/JKG
관할	관할/NNG
아래	아래/NNG
있다"고	있/VA+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.6.3
류현진은 "언제쯤 마운드에 설 수 있을지는 모르겠다"며 "트레이너들이 짜주는 스케줄을 소화하다 보면 복귀 일정이 나올 것"이라고 말했다.

류현진은	류현진/NNP+은/JX
