# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.131
metadata : {}


# id : NWRW1800000025.131.1.1
국민임대단지 6곳, ‘보금자리’로 바뀐다

국민임대단지	국민/NNG+임대/NNG+단지/NNG
6곳,	6/SN+곳/NNG+,/SP
‘보금자리’로	‘/SS+보금자리/NNG+’/SS+로/JKB
바뀐다	바뀌/VV+ㄴ다/EF


# id : NWRW1800000025.131.2.1
수도권 6개 국민임대주택단지가 보금자리주택단지로 새롭게 단장된다.

수도권	수도/NNG+권/XSN
6개	6/SN+개/NNB
국민임대주택단지가	국민/NNG+임대/NNG+주택/NNG+단지/NNG+가/JKS
보금자리주택단지로	보금자리/NNG+주택/NNG+단지/NNG+로/JKB
새롭게	새롭/VA+게/EC
단장된다.	단장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.131.2.2
이로써 원래 국민임대주택(30년)과 일부 민간 분양주택만 들어설 예정이었던 이들 지역에 전용면적 85m² 이하의 공공분양주택을 비롯해 다양한 조건의 공공임대주택이 건설된다.

이로써	이/NP+로써/JKB
원래	원래/MAG
국민임대주택(30년)과	국민/NNG+임대/NNG+주택/NNG+(/SS+30/SN+년/NNB+)/SS+과/JC
일부	일부/NNG
민간	민간/NNG
분양주택만	분양/NNG+주택/NNG+만/JX
들어설	들어서/VV+ㄹ/ETM
예정이었던	예정/NNG+이/VCP+었/EP+던/ETM
이들	이/NP+들/XSN
지역에	지역/NNG+에/JKB
전용면적	전용/NNG+면적/NNG
85m²	85/SN+m²/SW
이하의	이하/NNG+의/JKG
공공분양주택을	공공/NNG+분양/NNG+주택/NNG+을/JKO
비롯해	비롯하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
조건의	조건/NNG+의/JKG
공공임대주택이	공공/NNG+임대/NNG+주택/NNG+이/JKS
건설된다.	건설/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.131.3.1
국토해양부는 7일 경기 성남 여수, 군포 송정, 군포 당동2, 의정부 민락2, 시흥 목감, 고양 지축 등 수도권 6개 국민임대단지를 보금자리주택지구로 전환한다고 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
7일	7/SN+일/NNB
경기	경기/NNP
성남	성남/NNP
여수,	여수/NNP+,/SP
군포	군포/NNP
송정,	송정/NNP+,/SP
당동2,	당동/NNP+2/SN+,/SP
의정부	의정부/NNP
민락2,	민락/NNP+2/SN+,/SP
시흥	시흥/NNP
목감,	목감/NNP+,/SP
고양	고양/NNP
지축	지축/NNP
등	등/NNB
수도권	수도/NNG+권/XSN
6개	6/SN+개/NNB
국민임대단지를	국민/NNG+임대/NNG+단지/NNG+를/JKO
