# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.296
metadata : {}


# id : NWRW1800000049.296.1.1
[허문명의 프리킥]한국, 트럼프시대 희생양 될 수 있다

[허문명의	[/SS+허문명/NNP+의/JKG
프리킥]한국,	프리킥/NNG+]/SS+한국/NNP+,/SP
트럼프시대	트럼프/NNP+시대/NNG
희생양	희생양/NNG
될	되/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EF


# id : NWRW1800000049.296.2.1
15일 세종연구소와 스탠퍼드대 아태연구소가 주최한 ‘미국 신(新)행정부 대외정책’ 세미나에서 미 전직 외교 관료들을 만났다.

15일	15/SN+일/NNB
세종연구소와	세종연구소/NNP+와/JC
스탠퍼드대	스탠퍼드대/NNP
아태연구소가	아태연구소/NNP+가/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
‘미국	‘/SS+미국/NNP
신(新)행정부	신/XPN+(/SS+新/SH+)/SS+행정부/NNG
대외정책’	대외/NNG+정책/NNG+’/SS
세미나에서	세미나/NNG+에서/JKB
미	미/NNP
전직	전직/NNG
외교	외교/NNG
관료들을	관료/NNG+들/XSN+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.296.2.2
예상치 못했던 미 대선 결과와 한국의 리더십 위기로 양국 관계의 불확실성이 커지고 있다는 데 모두 동의했다.

예상치	예상/NNG+하/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
미	미/NNP
대선	대선/NNG
결과와	결과/NNG+와/JC
한국의	한국/NNP+의/JKG
리더십	리더십/NNG
위기로	위기/NNG+로/JKB
양국	양국/NNG
관계의	관계/NNG+의/JKG
불확실성이	불확실/NNG+성/XSN+이/JKS
커지고	커지/VV+고/EC
있다는	있/VX+다는/ETM
데	데/NNB
모두	모두/MAG
동의했다.	동의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.296.2.3
윌리엄 페리 전 국방장관은 “미 대선과 한국의 국정 중단 사태는 민주주의의 위기라기보다 ‘정치의 위기’라는 점에서 같다”고 말하기도 했다.

윌리엄	윌리엄/NNP
페리	페리/NNP
전	전/MMD
국방장관은	국방/NNG+장관/NNG+은/JX
“미	“/SS+미/NNP
대선과	대선/NNG+과/JC
한국의	한국/NNP+의/JKG
국정	국정/NNG
중단	중단/NNG
사태는	사태/NNG+는/JX
민주주의의	민주주의/NNG+의/JKG
위기라기보다	위기/NNG+이/VCP+라기/ETN+보다/JKB
‘정치의	‘/SS+정치/NNG+의/JKG
위기’라는	위기/NNG+’/SS+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.296.3.1
한미관계 변화 예고

한미관계	한미/NNP+관계/NNG
변화	변화/NNG
예고	예고/NNG


# id : NWRW1800000049.296.4.1
세미나를 관통한 키워드는 ‘불확실성’이었다.

세미나를	세미나/NNG+를/JKO
관통한	관통/NNG+하/XSV+ㄴ/ETM
키워드는	키워드/NNG+는/JX
‘불확실성’이었다.	‘/SS+불확실/NNG+성/XSN+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.296.4.2
정치 신인 도널드 트럼프 미국 대통령 당선인이 선거 과정에서 내건 외교·안보 정책들이 현실화 단계에서는 반대에 직면할 것이라는 관측이 많았다.

정치	정치/NNG
신인	신인/NNG
도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령	대통령/NNG
당선인이	당선인/NNG+이/JKS
선거	선거/NNG
과정에서	과정/NNG+에서/JKB
내건	내걸/VV+ㄴ/ETM
외교·안보	외교/NNG+·/SP+안보/NNG
정책들이	정책/NNG+들/XSN+이/JKS
현실화	현실/NNG+화/XSN
단계에서는	단계/NNG+에서/JKB+는/JX
반대에	반대/NNG+에/JKB
직면할	직면/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.296.4.3
버락 오바마 정부에서 안보 고문을 했던 마이클 맥폴 전 주러시아 미국 대사는 “백악관으로 출근한 첫날, 우리가 계획한 이상을 드디어 실현할 수 있으리라는 벅찬 기대에 부풀었지만 이내 ‘쉽지 않겠다’는 생각에 퇴근길부터 머리가 무거웠다.

버락	버락/NNP
오바마	오바마/NNP
정부에서	정부/NNG+에서/JKB
안보	안보/NNG
고문을	고문/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
마이클	마이클/NNP
맥폴	맥폴/NNP
전	전/MMD
주러시아	주러시아/NNG
미국	미국/NNP
대사는	대사/NNG+는/JX
“백악관으로	“/SS+백악관/NNP+으로/JKB
출근한	출근/NNG+하/XSV+ㄴ/ETM
첫날,	첫날/NNG+,/SP
우리가	우리/NP+가/JKS
