# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.87
metadata : {}


# id : NWRW1800000028.87.1.1
서울 야권 단일화땐 한명숙-오세훈 격차 8%p로 좁혀져

서울	서울/NNP
야권	야권/NNG
단일화땐	단일/NNG+화/XSN+때/NNG+ㄴ/JX
한명숙-오세훈	한명숙/NNP+-/SO+오세훈/NNP
격차	격차/NNG
8%p로	8/SN+%/SW+p/SL+로/JKB
좁혀져	좁히/VV+어/EC+지/VX+어/EC


# id : NWRW1800000028.87.2.1
6·2 지방선거의 최대 승부처인 수도권 광역단체장 대결 구도가 요동치고 있다.

6·2	6/SN+·/SP+2/SN
지방선거의	지방/NNG+선거/NNG+의/JKG
최대	최대/NNG
승부처인	승부처/NNG+이/VCP+ㄴ/ETM
수도권	수도/NNG+권/XSN
광역단체장	광역/NNG+단체장/NNG
대결	대결/NNG
구도가	구도/NNG+가/JKS
요동치고	요동치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.87.2.2
‘현역 프리미엄’과 ‘대안부재론’을 앞세운 한나라당의 현역 단체장들이 여전히 앞서고 있지만 야권 후보들과의 격차가 점점 좁혀지는 추세다.

‘현역	‘/SS+현역/NNG
프리미엄’과	프리미엄/NNG+’/SS+과/JC
‘대안부재론’을	‘/SS+대안/NNG+부재/NNG+론/XSN+’/SS+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
한나라당의	한나라당/NNP+의/JKG
현역	현역/NNG
단체장들이	단체장/NNG+들/XSN+이/JKS
여전히	여전히/MAG
앞서고	앞서/VV+고/EC
있지만	있/VX+지만/EC
야권	야권/NNG
후보들과의	후보/NNG+들/XSN+과/JKB+의/JKG
격차가	격차/NNG+가/JKS
점점	점점/MAG
좁혀지는	좁히/VV+어/EC+지/VX+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.87.3.1
■ 서울시장 대혼전 한나라당 소속 오세훈 서울시장은 야권 후보들이 난립하는 구도에선 13.9%포인트 차이로 한명숙 민주당 예비후보를 앞서는 것으로 나타났다.

■	■/SW
서울시장	서울시장/NNG
대혼전	대/XPN+혼전/NNG
한나라당	한나라당/NNP
소속	소속/NNG
오세훈	오세훈/NNP
서울시장은	서울시장/NNG+은/JX
야권	야권/NNG
후보들이	후보/NNG+들/XSN+이/JKS
난립하는	난립/NNG+하/XSV+는/ETM
구도에선	구도/NNG+에서/JKB+ㄴ/JX
13.9%포인트	13/SN+./SP+9/SN+%/SW+포인트/NNG
차이로	차이/NNG+로/JKB
한명숙	한명숙/NNP
민주당	민주당/NNP
예비후보를	예비/NNG+후보/NNG+를/JKO
앞서는	앞서/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.87.3.2
하지만 한 전 총리가 야권의 단일후보로 나설 경우 두 사람의 지지율 격차는 8%포인트 차이로 좁혀졌다.

하지만	하지만/MAJ
한	한/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
야권의	야권/NNG+의/JKG
단일후보로	단일/NNG+후보/NNG+로/JKB
나설	나서/VV+ㄹ/ETM
경우	경우/NNG
두	두/MMN
사람의	사람/NNG+의/JKG
지지율	지지/NNG+율/XSN
격차는	격차/NNG+는/JX
8%포인트	8/SN+%/SW+포인트/NNG
차이로	차이/NNG+로/JKB
좁혀졌다.	좁히/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.87.3.3
4월9일로 잡힌 한 전 총리의 1심 선고 공판에서 무죄가 날 경우 차이는 더욱 좁혀질 가능성이 크다.

4월9일로	4/SN+월/NNB+9/SN+일/NNB+로/JKB
잡힌	잡히/VV+ㄴ/ETM
한	한/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
1심	1심/NNG
선고	선고/NNG
공판에서	공판/NNG+에서/JKB
무죄가	무죄/NNG+가/JKS
날	나/VV+ㄹ/ETM
경우	경우/NNG
차이는	차이/NNG+는/JX
더욱	더욱/MAG
좁혀질	좁히/VV+어/EC+지/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000028.87.3.4
한 전 총리가 ‘정권의 표적수사’를 온몸으로 돌파한 여세를 몰아 ‘정권 심판론’에 공감하는 야권 지지표를 결집할 수 있기 때문이다.

한	한/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
‘정권의	‘/SS+정권/NNG+의/JKG
표적수사’를	표적/NNG+수사/NNG+’/SS+를/JKO
온몸으로	온몸/NNG+으로/JKB
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
여세를	여세/NNG+를/JKO
몰아	몰/VV+아/EC
‘정권	‘/SS+정권/NNG
심판론’에	심판/NNG+론/XSN+’/SS+에/JKB
