# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.353
metadata : {}


# id : NWRW1800000030.353.1.1
[수도권III] "용인경전철 부실 감사"… 용인시 맞불

[수도권III]	[/SS+수도/NNG+권/XSN+III/SL+]/SS
"용인경전철	"/SS+용인경전철/NNP
부실	부실/NNG
감사"…	감사/NNG+"/SS+…/SE
용인시	용인시/NNP
맞불	맞불/NNG


# id : NWRW1800000030.353.2.1
•40여건 하자 발견 주장

•40여건	•/SW+40/SN+여/XSN+건/NNB
하자	하자/NNG
발견	발견/NNG
주장	주장/NNG


# id : NWRW1800000030.353.3.1
용인시가 사업해지통보를 한 용인경전철 사업시행자에 대해 사업해지 및 부실공사 감사를 하겠다는 입장을 밝혔다.

용인시가	용인시/NNP+가/JKS
사업해지통보를	사업/NNG+해지/NNG+통보/NNG+를/JKO
한	하/VV+ㄴ/ETM
용인경전철	용인경전철/NNP
사업시행자에	사업/NNG+시행자/NNG+에/JKB
대해	대하/VV+아/EC
사업해지	사업/NNG+해지/NNG
및	및/MAG
부실공사	부실/NNG+공사/NNG
감사를	감사/NNG+를/JKO
하겠다는	하/VV+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.353.4.1
용인경전철 사업시행사인 용인경전철㈜은 11일 "시가 그동안 준공확인을 거부해 실시협약상 의무를 불이행했다"며 사업해지를 통보했다.

용인경전철	용인경전철/NNP
사업시행사인	사업/NNG+시행사/NNG+이/VCP+ㄴ/ETM
용인경전철㈜은	용인경전철/NNP+㈜/SW+은/JX
11일	11/SN+일/NNB
"시가	"/SS+시/NNG+가/JKS
그동안	그동안/NNG
준공확인을	준공/NNG+확인/NNG+을/JKO
거부해	거부/NNG+하/XSV+아/EC
실시협약상	실시/NNG+협약/NNG+상/XSN
의무를	의무/NNG+를/JKO
불이행했다"며	불/XPN+이행/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
사업해지를	사업/NNG+해지/NNG+를/JKO
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.353.4.2
용인경전철㈜는 "적법하게 공사를 끝내고 개통만 남겨두고 있는데 용인시가 그 동안 전혀 근거 없는 사유를 들어 준공 및 개통절차를 부당하게 지연해 사업시행자로서 적자운영을 감당할 수 없는 상황에 이르렀다"고 설명했다.

용인경전철㈜는	용인경전철/NNP+㈜/SW+는/JX
"적법하게	"/SS+적법/NNG+하/XSA+게/EC
공사를	공사/NNG+를/JKO
끝내고	끝내/VV+고/EC
개통만	개통/NNG+만/JX
남겨두고	남기/VV+어/EC+두/VX+고/EC
있는데	있/VX+는데/EC
용인시가	용인시/NNP+가/JKS
그	그/MMD
동안	동안/NNG
전혀	전혀/MAG
근거	근거/NNG
없는	없/VA+는/ETM
사유를	사유/NNG+를/JKO
들어	들/VV+어/EC
준공	준공/NNG
및	및/MAG
개통절차를	개통/NNG+절차/NNG+를/JKO
부당하게	부당/NNG+하/XSA+게/EC
지연해	지연/NNG+하/XSV+아/EC
사업시행자로서	사업/NNG+시행자/NNG+로서/JKB
적자운영을	적자/NNG+운영/NNG+을/JKO
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
상황에	상황/NNG+에/JKB
이르렀다"고	이르/VV+었/EP+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.353.5.1
그러자 시는 사업시행자에게 사업해지통보를 하고, 부실공사 여부까지 따지겠다고 맞불을 놓았다.

