# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.345
metadata : {}


# id : NWRW1800000045.345.1.1
오바마, 만찬서 일본어로 ‘하이쿠’ 낭송… 아베 극진대접

오바마,	오바마/NNP+,/SP
만찬서	만찬/NNG+서/JKB
일본어로	일본어/NNP+로/JKB
‘하이쿠’	‘/SS+하이쿠/NNG+’/SS
낭송…	낭송/NNG+…/SE
아베	아베/NNP
극진대접	극진/XR+대접/NNG


# id : NWRW1800000045.345.2.1
美-日 밀월… 글로벌동맹으로

美-日	美/SH+-/SO+日/SH
밀월…	밀월/NNG+…/SE
글로벌동맹으로	글로벌/NNG+동맹/NNG+으로/JKB


# id : NWRW1800000045.345.3.1
아베 신조 일본 총리의 미국 의회 상하원 합동 연설 전날 열린 미일 정상회담은 양국 밀월의 현주소를 극명하게 보여줬다.

아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리의	총리/NNG+의/JKG
미국	미국/NNP
의회	의회/NNG
상하원	상하원/NNG
합동	합동/NNG
연설	연설/NNG
전날	전날/NNG
열린	열리/VV+ㄴ/ETM
미일	미일/NNP
정상회담은	정상/NNG+회담/NNG+은/JX
양국	양국/NNG
밀월의	밀월/NNG+의/JKG
현주소를	현주소/NNG+를/JKO
극명하게	극명/NNG+하/XSA+게/EC
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.345.4.1
28일 정상회담 후 백악관 로즈가든에서 열린 기자회견에서는 통상의 외교적 표현을 뛰어넘는 이례적인 수사와 평가가 잇따랐다.

28일	28/SN+일/NNB
정상회담	정상/NNG+회담/NNG
후	후/NNG
백악관	백악관/NNP
로즈가든에서	로즈가든/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
기자회견에서는	기자/NNG+회견/NNG+에서/JKB+는/JX
통상의	통상/NNG+의/JKG
외교적	외교/NNG+적/XSN
표현을	표현/NNG+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
수사와	수사/NNG+와/JC
평가가	평가/NNG+가/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.345.4.2
두 정상은 회담 후 발표한 공동비전성명에서 미일 관계를 ‘부동의 동맹(unshakable alliance)’이자 ‘글로벌 협력을 위한 플랫폼’으로 규정했다.

두	두/MMN
정상은	정상/NNG+은/JX
회담	회담/NNG
후	후/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
공동비전성명에서	공동/NNG+비전/NNG+성명/NNG+에서/JKB
미일	미일/NNP
관계를	관계/NNG+를/JKO
‘부동의	‘/SS+부동/NNG+의/JKG
동맹(unshakable	동맹/NNG+(/SS+unshakable/SL
alliance)’이자	alliance/SL+)/SS+’/SS+이/VCP+자/EC
‘글로벌	‘/SS+글로벌/NNG
협력을	협력/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
플랫폼’으로	플랫폼/NNG+’/SS+으로/JKB
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.345.4.3
또 “미일 양국의 안보와 번영은 서로 얽혀 있으며(intertwined) 떼어놓을 수 없고(inseparable) 국경을 초월한다(not defined by national border)”고도 했다.

또	또/MAG
“미일	“/SS+미일/NNP
양국의	양국/NNG+의/JKG
안보와	안보/NNG+와/JC
번영은	번영/NNG+은/JX
서로	서로/MAG
얽혀	얽히/VV+어/EC
있으며(intertwined)	있/VX+으며/EC+(/SS+intertwined/SL+)/SS
떼어놓을	떼/VV+어/EC+놓/VX+을/ETM
수	수/NNB
없고(inseparable)	없/VA+고/EC+(/SS+inseparable/SL+)/SS
국경을	국경/NNG+을/JKO
초월한다(not	초월/NNG+하/XSV+ㄴ다/EF+(/SS+not/SL
defined	defined/SL
by	by/SL
national	national/SL
border)”고도	border/SL+)/SS+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.345.5.1
버락 오바마 미 대통령은 미일 방위협력지침(가이드라인) 개정 등 정상회담 성과를 설명하면서 아베 총리 이름을 부르며 일본말로 “신조, 아리가토 고자이마스(ありがとうございます·감사합니다)”라고 말했다.

버락	버락/NNP
오바마	오바마/NNP
미	미/NNP
대통령은	대통령/NNG+은/JX
미일	미일/NNP
